,Unnamed: 0,Authors,Title,Year,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Type,Article Title,Keywords Plus,Publication Date,Publication Year,DOI Link
108,15,"Temesgen A., Storsletten V., Jakobsen O.",Circular Economy – Reducing Symptoms or Radical Change?,2021.0,10.1007/s40926-019-00112-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064495686&doi=10.1007%2fs40926-019-00112-1&partnerID=40&md5=4235b5693f3ae443a827f5243e8ae420,"In this article, we address why our management of the economy, community and business has led to global warming and we discuss the importance of worldviews, ontology, epistemology and axiology in the search for alternative paths of development. We do this by focusing on the concept of Circular Economy. Circular Economy is often presented as a solution to the problems of a globalized economy in the form of over-exploitation of resources, climate change and pollution of the environment. Within the mainstream economics paradigm, the aim is how to increase the effectiveness of resource extraction and utilization in order to maintain growth. We contrast this with the paradigm of Ecological Economics where the goal of the economy is to achieve and secure a higher quality of life. Circular Economy often side steps the deep ontological and epistemological questions we need to answer if we are to address the complex and interrelated environmental, economic and social problems we face today. This can be a limiting factor in the search for creative and long-term solutions. However, within the Circular Economy discourse, we find strands that critically engage with the foundations of mainstream Economics and so, innovative solutions for the society of the future are a possibility. We argue that to bring about a lasting solution to the interconnected social, economic and environmental problems, Circular Economy must engage with the ontological, epistemological and axiological foundations of mainstream economics. To further this argument, we apply Imre Lakatos’ ‘research program’ model to philosophy of science as our framework of analysis and draw lessons for business and communities. © 2019, Springer Nature Switzerland AG.",Circular economy; Ecological economics; Lakatos; Quality of life,,Article,,,,,,
124,324,"Lima C., Zarli A., Storer G.","Controlled Vocabularies in the European construction sector: Evolution, current developments, and future trends",2007.0,10.1007/978-1-84628-976-7_63,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878251916&doi=10.1007%2f978-1-84628-976-7_63&partnerID=40&md5=8c734df6598213fb9bfb4709947c9885,"In the last 40 years, the development of Controlled Vocabularies (CVs), such as dictionaries, classifications, taxonomies, and of course the ""appealing"" ontologies, has been the focus of many research projects around the world targeting the Construction sector. Being involved in several pan-European initiatives, the authors of this paper show milestones on the path of evolution (what has happened so far), the current situation (where we are now) in terms of development and adoption of results, the main problems found regarding both development and adoption of the CVs, and finally, present some speculative and provocative ideas about the future of CVs in the European Construction sector. © 2007 Springer-Verlag London Limited.",Construction; Controlled Vocabularies; Ontologies; Taxonomies; Thesaurus,Construction sectors; Current situation; Future trends; Concurrent engineering; Construction; Construction industry; Ontology; Taxonomies; Thesauri; Vocabulary control,Conference Paper,,,,,,
125,363,"Schevers H., Drogemuller R.",Converting the industry foundation classes to the web ontology language,2005.0,10.1109/SKG.2005.59,https://www.scopus.com/inward/record.uri?eid=2-s2.0-42749104905&doi=10.1109%2fSKG.2005.59&partnerID=40&md5=86294af672b5c48370ba06a59fd38faa,"The upcoming next generation of the internet, often referred to as the Semantic Web, will bring a lot of new technologies, one of which is the Web Ontology Language (OWL). One feature of this language is to support interoperability between software applications, including web services and intelligent agents. Another technology to bring interoperability between software programs is ISO-10303 Standard Exchange of Product data (STEP). The Industry Foundation Classes (IFC) have been developed as a building information model for the building and construction industry using technology from STEP. Converting IFC to OWL can be done on different ways. A unidirectional conversion from an IFC to an OWL has been developed for research purposes. The developed prototype converts not all the IFC data to OWL but supports the search for a more appropriate mapping. As the conversion is not straightforward, reengineering the building model to gain more advantages of functionality offered by OWL has to be investigated. © 2006 IEEE.",,Computer programming languages; Data structures; Intelligent agents; Interoperability; Ontology; Semantic Web; Information model; Standard Exchange of Product data (STEP); Web Ontology Language (OWL); World Wide Web,Conference Paper,,,,,,
126,203,"Pauwels P., Terkaj W., Krijnen T., Beetz J.",Coping with lists in the ifcOWL ontology,2015.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983208933&partnerID=40&md5=b8d493ce07ef54efda5dcccd905a91a6,"Over the past few years, several suggestions have been made of how to convert an EXPRESS schema into an OWL ontology. The conversion from EXPRESS to OWL is of particular use to architectural design and construction industry, because one of the key data models in architectural design and construction industry, namely the Industry Foundation Classes (IFC) is represented using the EXPRESS information modelling language. In each of these conversion options, the way in which lists are converted (e.g. lists of coordinates, lists of spaces in a floor) is key to the structure and eventual strength of the resulting ontology. In this article, we outline and discuss the main decisions that can be made in converting LIST concepts in EXPRESS to equivalent OWL expressions. This allows one to identify which conversion option is appropriate to support proper and efficient information reuse in the domain of architecture and construction.",Industry Foundation Classes; Resource Descriptions Framework; Semantic Web,Architectural design; Architecture; Birds; Construction industry; Information use; Modeling languages; Semantic Web; Design and construction; Industry Foundation Classes - IFC; Information modelling; Information re use; OWL ontologies; Resource description; Intelligent computing,Conference Paper,,,,,,
134,276,Tweed C.,Developing and using ontologies in practice,2011.0,10.1007/978-0-85729-724-2_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032271332&doi=10.1007%2f978-0-85729-724-2_11&partnerID=40&md5=31ec102f533449f0804d74d5b8f4462f,"The previous sections have presented and described ontologies developed for use in a wide range of applications linked to the urban built environment domain. In many cases these ontologies have been developed through university-based research projects to achieve interoperability between different software systems. The interface, therefore, is between systems. In contrast, this section of the book seeks to explore some of the issues that arise when ontologies are introduced into working organisations. What happens at the user-ontology interface? And how does an ontology impinge on the working practices of an organisation? Although it is beyond the scope of the COST Action C21 to answer such questions, we can begin to consider what shape the answers may take. © Springer-Verlag London Limited 2011.",,,Book Chapter,,,,,,
140,216,"Zhang L., Issa R.R.A.",Development of IFC-based construction industry ontology for information retrieval from IFC models,2014.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912567136&partnerID=40&md5=5dbc7434cf037e0bc1808537d7932f80,"The Industry Foundation Classes (IFC) is the preferred format for addressing the interoperability issues in using Building Information Modeling (BIM) in the information-intensive construction industry. IFC specifies virtual representation of building objects as well as their attributes and relationships. Although IFC is an open standard, its complex nature makes information retrieval from an IFC model difficult. This paper proposes an ontology built with Web Ontology Language (OWL) based on IFC specifications to help the information retrieval process from an IFC model. With simple reasoning build into the ontology, an information retrieval system could query the IFC model in XML format directly. The development of the ontology is reviewed and test cases are designed to validate the ontology. Limitations and future studies are also discussed at the end.",,Architectural design; Construction industry; Information retrieval; Intelligent computing; Building Information Model - BIM; Complex nature; Industry Foundation Classes - IFC; Open Standards; Test case; Virtual representations; Web ontology language; XML format; Search engines,Conference Paper,,,,,,
147,24,"Mboli J.S., Thakker D., Mishra J.L., Sivarajah S.",Domain Experts and Natural language Processing in the Evaluation of Circular Economy Business Model Ontology,2021.0,10.1109/ICSC50631.2021.00069,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102615546&doi=10.1109%2fICSC50631.2021.00069&partnerID=40&md5=6e7e1b16c342f0962b8db06af7cc3944,"There are efforts been made globally, to switch from the take-make-dispose linear economy to Circular Economy (CE) due to the effects and wasteful nature of linear economic model. However, there are challenges and barriers that are keeping businesses from this transition despite the benefits. One of such challenge is uncertainty regarding the residual value of used products which often lead to incentives misalignment among others. While research efforts are being made to proffer solutions by proposing circular business models, the question of how reliable the new models are remains unanswered. In this paper, we propose a hybrid model of domain experts and Natural Language Processing (NLP) techniques for evaluating and validating CE Business Model (CEBM) ontology. Textual data on competency questions and comments is collected from domain experts and used in the proposed model. The model identified gaps in the ontology used here, calling for further work on the ontology and the result appear satisfactory to the domain experts who participated. © 2021 IEEE.",business model ontology; CE; CE business model; data analysis; Natural language processing; Ontology; textual data analytic,Economics; Natural language processing systems; Ontology; Semantics; Business modeling; Business models; Circular economy; Domain experts; Economic modeling; NAtural language processing; Research efforts; Residual value; Knowledge acquisition,Conference Paper,,,,,,
149,359,"Ei-Diraby T.A., Lima C., Feis B.",Domain taxonomy for construction concepts: Toward a formal ontology for construction knowledge,2005.0,10.1061/(ASCE)0887-3801(2005)19:4(394),https://www.scopus.com/inward/record.uri?eid=2-s2.0-26644458833&doi=10.1061%2f%28ASCE%290887-3801%282005%2919%3a4%28394%29&partnerID=40&md5=8b37cfe921a65c7ebe0314f084540f85,"With the advancement of the semantic web, the construction industry is at a stage where intelligent knowledge management systems can be used. Such systems support more effective collaboration, where virtual teams of skilled users, not software, exchange ideas, decisions, and best practice. To achieve that, there is a need to create consistent semantic representation of construction knowledge. Existing representations, in the form of classification systems and product data models, lack effective modeling of concept semantics - a fundamental requirement for human-based exchange of knowledge. Toward this objective, this paper presents a domain taxonomy that was developed as part of the e-COGNOS project. The taxonomy was developed as a first step in the establishment of domain ontology for construction. The taxonomy was developed to be process-centered and to allow for utilization of already existing classification systems (BS6100, Master Format, and UniClass, for example). The taxonomy uses seven major domains to classify construction concepts: Process, Product, Project, Actor, Resource, Technical Topics, and Systems. The taxonomy was developed and validated through extensive interaction with domain experts. The taxonomy was used to develop a prototype ontology for the construction domain including semantic relationships and axioms. The ontology was used to support several applications in semantic knowledge management as part of the e-COGNOS portal, including semantic indexing and retrieval of information and ontology-based collaborative project development. © ASCE.",Construction industry; Information management; Internet; Knowledge-based systems,Computer supported cooperative work; Construction industry; Decision making; Indexing (of information); Information management; Internet; Mathematical models; Semantics; Software prototyping; World Wide Web; Domain taxonomy; Ontology; Semantic indexing; Semantic web; Knowledge based systems,Review,,,,,,
152,184,"Pauwels P., Terkaj W.",EXPRESS to OWL for construction industry: Towards a recommendable and usable ifcOWL ontology,2016.0,10.1016/j.autcon.2015.12.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952362213&doi=10.1016%2fj.autcon.2015.12.003&partnerID=40&md5=7b68d6f1ef26264826834638644175ab,"An increasing number of information management and information exchange applications in construction industry is relying on semantic web technologies or tools from the Linked Open Data (LOD) domain to support data interoperability, flexible data exchange, distributed data management and the development of reusable tools. These goals tend to be overlapped with the purposes of the Industry Foundation Classes (IFC), which is a standard for the construction industry defined through an EXPRESS schema. A connecting point between semantic web technologies and the IFC standard would be represented by an agreed Web Ontology Language (OWL) ontology for IFC (termed ifcOWL) that allows to (1) keep on using the well-established IFC standard for representing construction data, (2) exploit the enablers of semantic web technologies in terms of data distribution, extensibility of the data model, querying, and reasoning, and (3) re-use general purpose software implementations for data storage, consistency checking and knowledge inference. Therefore, in this paper we will look into existing efforts in obtaining an ifcOWL ontology from the EXPRESS schemas of IFC and analyse which features would be required in a usable and recommendable ifcOWL ontology. In making this analysis, we present our implementations of an EXPRESS-to-OWL converter and the key features of the resulting ifcOWL ontology. © 2015 Elsevier B.V. All rights reserved.",Building; Construction; Industry Foundation Classes (IFC); Information technology; Resource Description Framework (RDF); Semantic web; Web Ontology Language (OWL),Birds; Buildings; Computational linguistics; Computer software reusability; Construction; Construction industry; Digital storage; Electronic data interchange; Information management; Information technology; Ontology; World Wide Web; Distributed data managements; General purpose software; Industry Foundation Classes - IFC; Information exchanges; Linked open data (LOD); Resource description framework; Semantic Web technology; Web ontology language; Semantic Web,Article,,,,,,
159,156,"Pauwels P., Krijnen T., Terkaj W., Beetz J.",Enhancing the ifcOWL ontology with an alternative representation for geometric data,2017.0,10.1016/j.autcon.2017.03.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017365533&doi=10.1016%2fj.autcon.2017.03.001&partnerID=40&md5=e0baaa1cdebd7436e114ace83089d39f,"Over the past few years, several suggestions have been made of how to convert an EXPRESS schema into an OWL ontology. The conversion from EXPRESS to OWL is of particular use to the architectural design and construction industry, because one of the key data models in this domain, namely the Industry Foundation Classes (IFC), is represented using the EXPRESS information modelling language. These conversion efforts have by now resulted in a recommended ifcOWL ontology that stays semantically close to the EXPRESS schema. Two major improvements could be made in addition to this ifcOWL basis. First, the ontology could be split into diverse modules, making it easier to use subsets of the entire ontology. Second, geometric aggregated data (e.g. lists of coordinates) could be serialised into alternative, less complex semantic structures. The purpose of both improvements is to make ifcOWL data smaller in size and complexity. In this article, we focus entirely on the second topic, namely the optimization of geometric data in the semantic representation. We outline and discuss the diverse available options in optimizing the data representations used. We quantify the impact of these measures on the ifcOWL ontology and instance model size. We conclude with an explicit recommendation and give an indication of how this recommendation might be implemented in combination with the already available ifcOWL ontology. © 2017 Elsevier B.V.",BIM; Data exchange; Geometry; IFC; Linked data; OWL,Architectural design; Birds; Construction industry; Electronic data interchange; Geometry; Modeling languages; Semantics; Aggregated datum; Complex semantic structures; Data representations; Design and construction; Industry Foundation Classes - IFC; Information modelling; Linked datum; Semantic representation; Ontology,Article,,,,,,
164,94,Gómez-Pérez A.,Evaluation of ontologies,2001.0,10.1002/1098-111X(200103)16:3<391::AID-INT1014>3.0.CO;2-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035278980&doi=10.1002%2f1098-111X%28200103%2916%3a3%3c391%3a%3aAID-INT1014%3e3.0.CO%3b2-2&partnerID=40&md5=af50901aa7996cd735d9656357e92bec,"The evaluation of ontologies is an emerging field. At present, there is an absence of a deep core of preliminary ideas and guidelines for evaluating ontologies. This paper presents a brief summary of previous work done on evaluating ontologies and the criteria (consistency, completeness, conciseness, expandability, and sensitiveness) used to evaluate and to assess ontologies. It also addresses the possible types of errors made when domain knowledge is structured in taxonomies in an ontology and in knowledge bases: circularity errors, exhaustive and nonexhaustive class partition errors, redundancy errors, grammatical errors, semantic errors, and incompleteness errors. It also describes the process followed to evaluate the standard-units ontology already published at the Ontology Server.",,Computational complexity; Computational linguistics; Computer programming languages; Errors; Knowledge engineering; Knowledge sharing; Ontology; Ontology server; Knowledge based systems,Article,,,,,,
166,197,"Kamsu-Foguem B., Abanda F.H.",Experience modeling with graphs encoded knowledge for construction industry,2015.0,10.1016/j.compind.2015.02.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928492020&doi=10.1016%2fj.compind.2015.02.004&partnerID=40&md5=93eba9dbafb3562b50d0ea18aafce4b9,"The Architecture, Engineering and Construction (AEC) industry is becoming increasingly knowledge intensive. Knowledge management has been hailed as an enabler for tapping this knowledge to improve efficiency in the AEC industry. In this study, the main concepts and benefits of knowledge management, relationships between knowledge management and continuous improvement have been examined. Furthermore, emphasis has been laid on knowledge management through experience feedback processes which constitute valuable assets for the AEC industry. This is done through the employment of ontologies and graph-based reasoning operations in eliciting and visualizing knowledge concepts in the AEC domain. The proposed approach which consists of two main aspects provides the opportunity to examine the conceptual and ontological knowledge models with associated reasoning. In the first, the concepts of knowledge management, their significance and application in the AEC field are discussed. The second deals with a methodological framework for the modeling and reasoning in the domain ontology. To facilitate automation, an ontology graph-based editor, Conceptual Graphs User Interface (CoGui) was used to model knowledge and encoded reasoning in the knowledge base. CoGui encodes knowledge as conceptual graphs and reasoning as graph operations that can be visualized in a logically precise way, based on domain ontologies. It emerged that CoGui could be very useful in acquiring information that can be used in collaboration with others to continuously improve information sharing and re-use. A French AEC company located in the Southwest region was employed as a case study in illustrating knowledge modeling through the experience feedback process. For each phase of experience feedback, actions that were implemented in the company are discussed. © 2015 Elsevier B.V. All rights reserved.",AEC industry; Conceptual graphs; Domain ontology; Knowledge formalization; Visual reasoning,Construction industry; Graphic methods; Knowledge based systems; Ontology; User interfaces; AEC industry; Conceptual graph; Domain ontologies; Knowledge formalizations; Visual reasoning; Knowledge management,Article,,,,,,
175,222,"Costa R., Lima C., Sarraipa J., Jardim-Gonçalves R.",Facilitating knowledge sharing and reuse in building and construction domain: An ontology-based approach,2013.0,10.1007/s10845-013-0856-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027945652&doi=10.1007%2fs10845-013-0856-5&partnerID=40&md5=a8a9a662740f10cda8ff32f85a989a83,"This paper brings a contribution focused on collaborative engineering projects where knowledge plays a key role in the process. Collaboration is the arena, engineering projects are the target, knowledge is the currency used to provide harmony into the arena since it can potentially support innovation and, hence, a successful collaboration. The building and construction domain is challenged with significant problems for exchanging, sharing and integrating information between actors. For example, semantic gaps or lack of meaning definition at the conceptual and technical level, are problems fundamentally created through the employment of representations to map the ‘world’ into models in an endeavour to anticipate different actors’ views, vocabulary, and objectives. One of the primary research challenges addressed in this work is the process of formalization and representation of document content, where most existing approaches are limited in their capability and only take into account the explicit, word-based information in the document. The research described in this paper explores how traditional knowledge representations can be enriched by incorporation of implicit information derived from the complex relationships (the Semantic Associations) modelled by domain ontologies combined with the information presented in documents, thereby providing a baseline for facilitating knowledge interpretation and sharing between humans and machines. The paper introduces a novel conceptual framework for representation of knowledge sources, where each knowledge source is semantically represented (within its domain of use) by a Semantic Vector. This work contributes to the enrichment of Semantic Vectors, using the classical vector space model approach extended with ontological support, employing ontology concepts and their relations in the enrichment process. The test bed for the assessment of the approach is the Building and Construction industry, using an appropriateB&CdomainOntology. Preliminary results were collected using a clustering algorithm for document classification, which indicates that the proposed approach does improve the precision and recall of classifications. Future work and open issues are also discussed. © Springer Science+Business Media New York 2013.",Knowledge sharing; Ontology engineering; Semantic interoperability; Unsupervised document classification; Vector space models,Clustering algorithms; Construction; Construction industry; Data mining; Engineering research; Information management; Information retrieval systems; Knowledge management; Knowledge representation; Ontology; Semantics; Vectors; Document Classification; Knowledge-sharing; Ontology engineering; Semantic interoperability; Vector space models; Vector spaces,Article,,,,,,
186,85,"Loebe F., Herre H.",Formal semantics and ontologies: Towards an ontological account of formal semantics,2008.0,10.3233/978-1-58603-923-3-49,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875951179&doi=10.3233%2f978-1-58603-923-3-49&partnerID=40&md5=1acc2737ce54797779d58ec5bee7e2e0,"Formal ontology relies on representation languages for expressing ontologies. This involves the formal semantics of these languages which is typically based on a limited set of abstract mathematical notions. In this paper, we discuss the interplay between formal semantics and the intended role of ontologies as semantic foundation. In this connection a circularity is identified if ontologies are to determine the conceptual equivalence of expressions. This is particularly relevant for ontologies which are to be provided in multiple formalisms. In order to overcome this situation, ontological semantics is generally defined as a novel kind of semantics which is purely and directly based on ontological entities. We sketch a specific application of this semantics to the syntax of first order logic. In order to beneficially rely on theoretical results and reasoning systems, an approximation of the proposed semantics in terms of the conventional approach is established. This results in a formalization method for first order logic and a translation-based variant of ontological semantics. Both variants involve an ontology for their application. In the context of developing a top-level ontology, we outline an ontology which serves as a meta-ontology in applying ontological semantics to the formalization of ontologies. Finally, resolved and remaining issues as well as related approaches are briefly discussed. © 2008 The authors and IOS Press. All rights reserved.",first order logic; formal semantics; ontological semantics; ontology,Computational linguistics; Formal logic; Ontology; Semantics; Conventional approach; First order logic; Formal Semantics; Formalization method; Mathematical notion; Reasoning system; Representation languages; Semantic foundation; Formal methods,Conference Paper,,,,,,
190,72,"Fierro G., Koh J., Nagare S., Zang X., Agarwal Y., Gupta R.K., Culler D.E.",Formalizing Tag-Based Metadata With the Brick Ontology,2020.0,10.3389/fbuil.2020.558034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092310442&doi=10.3389%2ffbuil.2020.558034&partnerID=40&md5=1481596d9f9fc9b06d102c1fad1111c8,"Current efforts establishing semantic metadata standards for the built environment span academia, industry and standards bodies. For these standards to be effective, they must be clearly defined and easily extensible, encourage consistency in their usage, and integrate cleanly with existing industrial standards, such as BACnet. There is a natural tension between informal tag-based systems that rely upon idiom and convention for meaning, and formal ontologies amenable to automated tooling. We present a qualitative analysis of Project Haystack, a popular tagging system for building metadata, and identify a family of inherent interpretability and consistency issues in the tagging model that stem from its lack of a formal definition. To address these issues, we present the design and implementation of the Brick+ ontology, a drop-in replacement for Brick with clear formal semantics that enables the inference of a valid Brick model from an informal Haystack model, and demonstrate this inference across five Haystack models. © Copyright © 2020 Fierro, Koh, Nagare, Zang, Agarwal, Gupta and Culler.",Brick; building management; metadata; ontologies; OWL; Project Haystack; RDF; smart buildings,,Article,,,,,,
191,297,"Ramaprasad A., Prakash A.N.",Fostering knowledge sharing in project management,2009.0,10.1109/HICSS.2009.222,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650760329&doi=10.1109%2fHICSS.2009.222&partnerID=40&md5=0a0fe3fe218909428f580be44bea3787,"We present an ontological analysis of the problem of fostering knowledge sharing in project management. The ontology has five dimensions derived by parsing the problem statement, namely: (a) fostering methods, (b) fostering factors, (c) fostering functions, (d) knowledge types, and (e) knowledge sharing methods. Each dimension is a taxonomy of discrete categories. The exhaustive set of combinations of categories across the five dimensions, together with appropriate connecting words and phrases, constitutes a closed description of the problem. We map (a) the extant literature on knowledge sharing, and (b) the extensive experience of one of the authors in construction project management, to these combinations to synthesize (a) the current state-of-the-knowledge on the topic, (b) the gaps in it, and (c) an agenda for further research. The method is systematic, logical, repeatable, and extensible. © 2009 IEEE.",,Construction project managements; Knowledge types; Knowledge-sharing; Ontological analysis; Problem statements; Construction industry; Ontology; Taxonomies; Project management,Conference Paper,,,,,,
210,263,"Zhang L., Issa R.R.A.",IFC-based construction industry ontology and semantic web services framework,2011.0,10.1061/41182(416)81,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053167665&doi=10.1061%2f41182%28416%2981&partnerID=40&md5=5bd35c8cca834737260a9270f60ef8f6,"A construction project is a multi-disciplinary team effort combining inputs from various domains, for which interoperability is of great importance. Currently existing data exchange problems between different software applications is adversely impacting the overall productivity of the Architecture, Engineering and Construction (AEC) industry. The use of Industry Foundation Classes (IFC) has been proposed to help address the lack of interoperability throughout construction industry. But the IFC specification itself is too complicated for normal users without special training. This paper proposes a semantic Web Services framework utilizing IFC-based industry ontology to address the interoperability problem. First, the possibility of building an IFC-based construction industry ontology is reviewed. Then, a framework to build semantic Web Services on this ontology is suggested. Both a core service and an assistant service is included. The framework could be easily expanded as long as the same Web Services model and the common ontology is observed. Once implemented, the framework could be utilized by any IFC-supported BIM applications, as well as personnel without extensive knowledge of IFC specifications, for more precise, consistent and up-to-date project information retrieval. This approach is expected to further the effort of IFC and enhance and improve interoperability in the AEC industry without requiring extremely technologically savvy users. © 2011 ASCE.",Construction industry; Information management; Internet,"AEC industry; Architecture , engineering and construction industries; Construction projects; Industry Foundation Classes - IFC; Multi-disciplinary teams; Software applications; Architectural design; Civil engineering; Construction industry; Electronic data interchange; Information management; Information retrieval; Internet; Interoperability; Ontology; Semantic Web; Specifications; Web services",Conference Paper,,,,,,
213,358,Ekholm A.,ISO 12006-2 and IFC - Prerequisites for coordination of standards for classification and interoperability,2005.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-26844580927&partnerID=40&md5=43bca29cc462b87f94bb94b5e9ef2411,"There are two major candidates for Core Ontologies for the construction and facilities management sector, the ISO 12006-2 Framework for classification of information, and the Industry Foundation Classes, IFC. ISO 12006-2 has been developed to harmonize different national and regional classification systems. It is applied world wide in the development of classification systems for everyday use in the construction industry. The IFCs are intended to enable effective information sharing within the AEC/FM industry, but are still mainly at a prototype stage of development. The standards have similar objectives but show fundamental differences in semantics and structure. This work compares the standards and points out similarities and differences, firstly in order to understand their structure, and secondly to initiate a discussion about the need and the possibility to coordinate them. An integration of IFC with ISO 12006-2 would facilitate and speed up the application in everyday practise of object-based information management. According to the documentation, the starting point of IFC was to reject classification, and therefore integration with ISO 12006-2 would require a major shift of approach. Development of a common meta model, a generic domain model, and a coordinated domain framework are considered necessary tasks.",Construction classification; IFC; Interoperability; ISO 12006-2; Onstruction ontology,,Review,,,,,,
216,299,"Beetz J., Van Leeuwen J., De Vries B.",IfcOWL: A case of transforming EXPRESS schemas into ontologies,2009.0,10.1017/S0890060409000122,https://www.scopus.com/inward/record.uri?eid=2-s2.0-68349154149&doi=10.1017%2fS0890060409000122&partnerID=40&md5=c7747d560e734da00c4cc439139b474b,"Ontologies have been successfully applied as a semantic enabler of communication between both users and applications in fragmented, heterogeneous multinational business environments. In this paper we discuss the underlying principles, their current implementation status, and most importantly, their applicability to problems in the building information modeling domain. We introduce the development of an ontology for the building and construction sector based on the industry foundation classes. We discuss several approaches of lifting modeling information that is based on the express family of languages for data modeling onto a logically rigid and semantically enhanced ontological level encoded in the W3C Ontology Web Language. We exemplify the added value of such formal notation of building models by providing several examples where generic query and reasoning algorithms can be applied to problems that otherwise have to be manually hard-wired into applications for processing building information. Furthermore, we show how the underlying resource description framework and the set of technologies evolving around it can be tailored to the need of distributed collaborative work in the building and construction industry. Copyright © 2009 Cambridge University Press.",Building Information Modeling; Knowledge Representation; Model-Driven Architectures; Ontologies,Added values; Building and construction; Building Information Modeling; Building model; Collaborative Work; Data modeling; Formal notations; Industry Foundation Classes - IFC; Model-Driven Architectures; Multinational business; Ontology web language; Reasoning algorithms; Resource description framework; Schemas; Underlying principles; Architectural design; Construction industry; Knowledge representation; Linguistics; Model buildings; Query languages; Systems analysis; Ontology,Article,,,,,,
225,113,"Agdas D., Miska M., Memon S.A., Rowlinson S., Walker D.H.T.",Information management in the built environment,2019.0,10.1201/9781315185774-24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075641060&doi=10.1201%2f9781315185774-24&partnerID=40&md5=d52d3676d61734c38de7f5bf7f8605f3,"This chapter addresses the root causes of the lack of enthusiasm and technologies that other industries and other sectors are warmly embracing. It discusses information management that pertains to integrated project delivery (IPD) and the impact of Big Data in the built environment. The chapter provides an overview of the data-management practices in the construction industry, its relationship with IPD, and a succinct summary of opportunities in the future. It summarizes the need for a holistic approach to information technology management, discuss some potential applications in the built environment and introduce our data-management protocol which can seamlessly integrate across many applications to enable improved capability. Consider a practical application where travel speed and travel volume towards the airport could inform staff about the expected fluctuation in demand on check-in counters, facility usage and service requirements. The general ontology is used for data discovery, negotiation of delivery format, and connecting data with available tools and algorithms for manipulation. © 2020 selection and editorial matter, Derek Walker and Steve Rowlinson. All rights reserved.",,,Book Chapter,,,,,,
228,190,"Niknam M., Karshenas S.",Integrating BIM and Project Schedule Information Using Semantic Web Technology,2016.0,10.1061/9780784479827.070,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976428115&doi=10.1061%2f9780784479827.070&partnerID=40&md5=e8abcd9a2c88f96e97baf94f1dfbd678,"A construction project requires collaboration of a large number of individuals working in different organizations to deliver the project on time and within the budget. Architecture, engineering, and construction industry spends time and money to solve the information sharing and interoperability issues between different domains. With the advent of building information modeling, a 3D CAD model of a project is used as a shared knowledge resource during the design, construction, and facility management phases of a project's life cycle. Currently, 4D models are created by combining CAD and schedule information. A 4D model is useful for detecting potential construction conflicts during the project planning and design and a valuable tool during construction. However, creating 4D models requires a great amount of human involvement. An approach that facilitates integrating BIM and schedule information can improve efficiency and is highly desirable. This paper presents a new approach to information modeling using the Semantic Web technology. The Semantic Web provides an infrastructure and a data modeling format that allows computers to access and combine information distributed over the Internet. The paper discusses: (1) ontologies that the authors have developed for BIM and project schedule information; (2) how ontologies are used for creating project knowledge bases in RDF/OWL format; and (3) how project knowledge bases can facilitate machine processing of project information and semantic interoperability among project knowledge bases. The Semantic Web approach allows information to be saved once at the provider source and be used by authorized users as needed. This means BIM information is created and maintained by designers and project schedule is created and maintained by schedulers on their respective servers. This would allow the latest BIM and project schedule information to be accessed over the Internet and combined for various purposes. © ASCE.",,"Architectural design; Budget control; Computer aided design; Construction industry; Information analysis; Information management; Information theory; Information use; Internet; Interoperability; Life cycle; Office buildings; Semantic Web; Architecture , engineering , and constructions; Building Information Model - BIM; Construction projects; Information Modeling; Project informations; Semantic interoperability; Semantic web approach; Semantic Web technology; Project management",Conference Paper,,,,,,
