Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
[No author name available],[No author id available],"22nd IFIP WG 5.5 Working Conference on Virtual Enterprises, PRO-VE 2021",2021,"IFIP Advances in Information and Communication Technology","629 IFIPAICT",,,"","",796,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120549395&partnerID=40&md5=ff1bbf4b10e1005ac72ac5fd6c32b15d",,"","The proceedings contain 76 papers. The special focus in this conference is on Virtual Enterprises. The topics include: Collaborative Plan to Reduce Inequalities Among the Farms Through Optimization; working Beside Robots: A Glimpse into the Future; supporting Predictive Maintenance in Virtual Factory; reconfigurable Supply Chain Performance: A Bibliometric Analysis; A MILP Model for Reusable Containers Management in Automotive Plastic Components Supply Chain; end-of-Life Product Recovery Optimization of Disassembled Parts Based on Collaborative Decision-Making; analysis Model to Identify the Regional “Strategic Bets” of Startup Porto’s Network; behavior Data Collection in Collaborative Virtual Learning Environments; collaborative Trusted Digital Services for Citizens; a Systematic Review of Sustainable Supply Chain Management Practices in Food Industry; Collaborative Safety Requirements Engineering: An Approach for Modelling and Assessment of Nuclear Safety Requirements in MBSE Context; a Model to Manage Organizational Collaborative Networks in a Pandemic (Covid-19) Context; measuring Complexity for Collaborative Business Processes Management; research on Configuration Framework of Simulation Rules Based on Existing Simulation Teaching Platform; a Federated Simulation Framework for Cross-organisational Processes; robust Optimization for Collaborative Distribution Network Design Problem; simulating Impact of Smart Product-Service Systems; compliance Checking of Collaborative Processes for Sustainable Collaborative Network; identification of Service Platform Requirements from Value Propositions: A Service Systems Engineering Method; a Modular Ontology Framework for Building Renovation Domain; getting Collaborative Networks Sustainable: Drivers and Barriers Within a Digital Laboratories Network; value Co-creation in the Context of Digitally-Enabled Product-Service Systems; selling the Value of Complex Data-Based Solution for Industrial Customers; towards Sustainable Manufacturing Through Collaborative Circular Economy Strategies.",,,Conference Review,"Final","",Scopus,2-s2.0-85120549395
"Akila K., Indra Priyadharshini S., Ulaganathan P., Prempriya P., Yuvasri B., Suriya Praba T., Veeramuthuvenkatesh","56578728500;56359218800;57221753901;57351722900;57352466900;57212467371;53664640900;","Ontology based multiobject segmentation and classification in sports videos",2021,"Journal of Intelligent and Fuzzy Systems","41","5",,"5399","5409",,1,"10.3233/JIFS-189862","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119852568&doi=10.3233%2fJIFS-189862&partnerID=40&md5=7fd14cb8f8ae8c8712158967f6352c78","SRM Institution of Science and Technology, Vadapalani, Tamil Nadu, Chennai, India; Department of C.S.E., R.M.K College of Engineering Technology, India; School of Computing, SASTRA Deemed University, Thanjavur, India","Akila, K., SRM Institution of Science and Technology, Vadapalani, Tamil Nadu, Chennai, India; Indra Priyadharshini, S., Department of C.S.E., R.M.K College of Engineering Technology, India; Ulaganathan, P., Department of C.S.E., R.M.K College of Engineering Technology, India; Prempriya, P., Department of C.S.E., R.M.K College of Engineering Technology, India; Yuvasri, B., Department of C.S.E., R.M.K College of Engineering Technology, India; Suriya Praba, T., School of Computing, SASTRA Deemed University, Thanjavur, India; Veeramuthuvenkatesh, School of Computing, SASTRA Deemed University, Thanjavur, India","The primary objective is to identify and segments the multiple, partly occluded objects in the image. The subsequent stage carry out our approach, primarily start with frame conversion. Next in the preprocessing stage, the Gaussian filter is employed for image smoothening. Then from the preprocessed image, Multi objects are segmented through modified ontology-based segmentation, and the edge is detected from the segmented images. After that, from the edge detected frames area is extracted, which results in object detected frames. In the feature extraction stage, attributes such as area, contrast, correlation, energy, homogeneity, color, perimeter, circularity are extorted from the detected objects. The objects are categorized as human or other objects (bat/ball) through the feed-forward back propagation neural network classifier (FFBNN) based upon the extracted attributes. © 2021 - IOS Press. All rights reserved.","feature extraction; gaussian filtering; object classification; object detection; Object segmentation; ontology","Backpropagation; Extraction; Feature extraction; Feedforward neural networks; Image segmentation; Object detection; Object recognition; Features extraction; Gaussian filtering; Multi-object segmentation; Object classification; Objects segmentation; Occluded objects; Ontology's; Ontology-based; Primary objective; Sport video; Ontology",Article,"Final","",Scopus,2-s2.0-85119852568
"Liu Z., Liu Q., Chen S., Su H., Jiang T.","57214118603;57226639108;57226643913;57192669313;57196097847;","Circular RNA Circ_0005564 promotes osteogenic differentiation of bone marrow mesenchymal cells in osteoporosis",2021,"Bioengineered","12","1",,"4911","4923",,10,"10.1080/21655979.2021.1959865","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112166828&doi=10.1080%2f21655979.2021.1959865&partnerID=40&md5=920abb2b10e6ec700ea64a7e157fc90e","Department of Orthopaedics, Hospital of Guangzhou University of Chinese Medicine, Guangzhou, Guangdong, China","Liu, Z., Department of Orthopaedics, Hospital of Guangzhou University of Chinese Medicine, Guangzhou, Guangdong, China; Liu, Q., Department of Orthopaedics, Hospital of Guangzhou University of Chinese Medicine, Guangzhou, Guangdong, China; Chen, S., Department of Orthopaedics, Hospital of Guangzhou University of Chinese Medicine, Guangzhou, Guangdong, China; Su, H., Department of Orthopaedics, Hospital of Guangzhou University of Chinese Medicine, Guangzhou, Guangdong, China; Jiang, T., Department of Orthopaedics, Hospital of Guangzhou University of Chinese Medicine, Guangzhou, Guangdong, China","Circular RNA (CircRNA) plays a potential role in bone formation. We aimed to study the circRNAs expression profiles and their functions in osteogenic differentiation of human bone marrow stromal cells (BMSCs). Firstly, we established osteogenic differentiation of BMSCs displaying increased mRNA expression of osteogenic differentiation marker (RUNX2, OPN, and OCN), increased ALP activity and protein expression, and increased mineralized nodules formation, as well as morphological alteration. Then, we employed high-throughput sequencing to analyze circRNA expression and found that 3440 and 3893 circRNAs in non-induced and induced groups, respectively. We further validated the 10 differentially expressed circRNAs with the most significant difference between induced and non-induced groups. Among these ten circRNAs, five of them with more than one miRNA binding site were used to construct a ceRNA network exhibiting 81 miRNAs and 182 target mRNAs. Furthermore, among these five circRNAs, we found only circ_0005564 significantly reduced the mRNA expression of RUNX2, OPN, and OCN. The circularity of circ_0005564 was verified. Our results showed that knockdown of circ_0005564 inhibited osteoblast differentiation in BMSCs. Taken together, our study demonstrates that circ_0005564 is a potential positive regulator of osteogenic differentiation of BMSCs. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","BMSCs; Circ_0005564; high-throughput sequencing; osteogenic differentiation","alkaline phosphatase; circular ribonucleic acid; circ_0005564; long untranslated RNA; mitogen activated protein kinase 3; RNA binding protein; transcription factor RUNX2; unclassified drug; Article; bone development; bone marrow stroma cell; cell differentiation; cell proliferation; down regulation; epithelial mesenchymal transition; gene expression; gene ontology; gene silencing; genetic transfection; high throughput sequencing; human; human cell; MAPK signaling; mesenchyme cell; ossification; osteoporosis; protein expression; real time polymerase chain reaction; RNA extraction; RNA interference; RNA sequence; tissue regeneration; transcription initiation; upregulation; Western blotting; cell culture; genetics; high throughput sequencing; mesenchymal stem cell; metabolism; osteoporosis; sequence analysis; Cell Differentiation; Cells, Cultured; High-Throughput Nucleotide Sequencing; Humans; Mesenchymal Stem Cells; Osteogenesis; Osteoporosis; RNA, Circular; Sequence Analysis, RNA",Article,"Final","",Scopus,2-s2.0-85112166828
"Beetz J.","31567466700;","Semantic Digital Twins for the Built Environment-A key facilitator for the European Green Deal? (Keynote)",2021,"CEUR Workshop Proceedings","2887",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108914119&partnerID=40&md5=31a88c7614deea4b13861f5479b7353d","Rwth Aachen University, Design Computation, Schinkelstrasse65064, Germany","Beetz, J., Rwth Aachen University, Design Computation, Schinkelstrasse65064, Germany","1.1 Environmental Impact and Challenges in the Built Environment Reducing the amount of resources that are used in the creation, maintenance and use of the Built Environment from buildings to infrastructure is a key factor in achieving the climate goals. A vast amount of primary resources is spent during the construction of buildings, which uses 50% of raw materials taken from earth. The energy needed to heat, cool, illuminate, connect the fabric of the built environment contributes 36% to global energy use and 39% of energy-related CO2 emissions. At the same time, the building industry is one of the most fragmented, decen-tralized and diverse industries with nearly 3 million workers organized in 800.000 predominantly small enterprises. The vast spectrum of trades and sub-domains along with the diversity of its products ranging from residential buildings to tun-nels and bridges leads to a wide spectrum of information exchanged in temporary processes with fragile value chains. At the same time, the building sector as a whole is trailing in many productivity indices and in its state of digitalization. The potential to save energy and to contribute to the reduction of the car-bon footprint from the sector can be approached from a number of different angles: Improved design and planning for the few new and the many existing buildings; re-use and circular economy for the materials involved and synergetic effects through increased vertical and horizontal integration of processes, and subsystems. All this requires the integration of knowledge domains. 1.2 Semantic DTs in the Built Environment The individual cyberphysical sub-systems that comprise the built environment from individual buildings to vast and highly connected infrastructure networks including traffic, energy, water and waste networks, are designed, operated and maintained in completely separated, heterogeneous information silos with a very low rate of digitalization. Representing, monitoring, simulating and optimizing even of single nodes in these interconnected, multi-layered networks using dig-ital twins has only just begun. Within a single domain of these networks such as an individual building, a road-network or bridge, the current and past sys-tem states, their long-term monitoring and improvement requires comprehensive semantic models digital twin models. Such models are still in their infancy. Cur-rent and evolving information models are still mostly designed to capture static as-planned individual lifecycle stages, have bespoke and disparate insular solu-tions and little to no vertical and horizontal connectivity with other nodes in the network. Information exchange models for different aspects at various levels of granularity from geospatial superstructures (GIS) to building components (BIM) often have hundreds or even thousands of semantic entities and the sheer size of the structured vocabularies to describe products range in the tens of thousands of concepts which often differ on national or even regional levels. 1.3 Use cases and examples In the presentation an overview of ongoing research, development and standard-ization efforts regarding the creation, integration and interoperability of seman-tic Digital Twins for the built environment is provided. Concrete challenges and solution approaches of past and ongoing research from different use cases and application domains of Semantic Digital Twins for-the assessment and energy refurbishing of residential buildings-monitoring and predictive maintenance of bridges-road network interoperability with Linked Data across European borders are used to illustrate these challenges. These include the semantic lifting of legacy data models, the alignment and integration of vast domain vocabularies, multi-modal integration of heterogeneous status information (sensor, images, measure-ments) and ongoing efforts to create reference frameworks for semantically rich Digital Twins in the built environment. Copyright © 2021 for this paper by its authors.","Buildings; Digital twins; Infrastructure; Ontologies; Open standards","Construction industry; Digital twin; Energy utilization; Environmental impact; Highway bridges; Housing; Integration; Interoperability; Life cycle; Network layers; Roads and streets; Temporary bridges; Construction of buildings; Heterogeneous information; Information exchanges; Infrastructure networks; Integration of knowledge; Long term monitoring; Reference frameworks; Vertical and horizontal integrations; Architectural design",Conference Paper,"Final","",Scopus,2-s2.0-85108914119
"Miller J.T.M.","57190139245;","Easy Ontology, Regress, and Holism",2021,"Erkenntnis",,,,"","",,,"10.1007/s10670-021-00432-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107610108&doi=10.1007%2fs10670-021-00432-7&partnerID=40&md5=5f0a680ec197ee6eb6fe72cd057e1033","Durham University, Durham, United Kingdom","Miller, J.T.M., Durham University, Durham, United Kingdom","In this paper, I distinguish between two possible versions of Amie Thomasson’s easy ontology project that differ in virtue of positing atomic or holistic application conditions, and evaluate the strengths of a holistic version over a non-holistic version. In particular, I argue that neither of the recently identified regress or circularity problems are troublesome for the supporter of easy ontology if they adopt a holistic account of application conditions. This is not intended to be a defence of easy ontology from all possible objections, but rather to compare holistic and non-holistic versions of the view. This discussion is also significant in that it serves to highlight two distinct forms of easy ontology, which, I argue, need to be distinguished when assessing the merits of the easy approach in future work. © 2021, The Author(s).",,,Article,"Article in Press","",Scopus,2-s2.0-85107610108
"Cuffari E.C., Di Paolo E.A., de Jaegher H.","48361022500;57202216834;22933431300;","Letting language be: Reflections on enactive method [Deixando a linguagem ser: Reflexões sobre o método enativo]",2021,"Filosofia Unisinos","22","1",,"117","124",,2,"10.4013/fsu.2021.221.14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106555469&doi=10.4013%2ffsu.2021.221.14&partnerID=40&md5=9525aee21df0d7a3a0bf9768cc64e0a4","Franklin and Marshall College, Department of Psychology, Scientific and Philosophical Studies of Mind, United States; Ikerbasque, Basque Foundation for Science, Bizkaia, Spain; Centre for Computational Neuroscience and Robotics, University of Sussex, Brighton, United Kingdom; IAS-Research Center for Life, Mind and Society, University of the Basque Country, Donostia, Spain; IAS-Research Center for Life, Department of Philosophy Mind and Society, University of the Basque Country, Donostia, Spain; ChatLab, School of Psychology, University of Sussex, Brighton, United Kingdom","Cuffari, E.C., Franklin and Marshall College, Department of Psychology, Scientific and Philosophical Studies of Mind, United States; Di Paolo, E.A., Ikerbasque, Basque Foundation for Science, Bizkaia, Spain, Centre for Computational Neuroscience and Robotics, University of Sussex, Brighton, United Kingdom, IAS-Research Center for Life, Mind and Society, University of the Basque Country, Donostia, Spain; de Jaegher, H., IAS-Research Center for Life, Department of Philosophy Mind and Society, University of the Basque Country, Donostia, Spain, ChatLab, School of Psychology, University of Sussex, Brighton, United Kingdom","Prompted by our commentators, we take this response as an opportunity to clarify the premises, attitudes, and methods of our enactive approach to human languaging. We highlight the need to recognize that any investigation, particularly one into language, is always a concretely situated and self-grounding activity; our attitude as researchers is one of knowing as engagement with our subject matter. Our task, formulating the missing categories that can bridge embodied cognitive science with language research, requires avoiding premature abstractions and clarifying the multiple circularities at play. Our chosen method is dialectical, which has prompted several interesting observations that we respond to, particularly with respect to what this method means for enactive epistemology and ontology. We also clarify the important question of how best to conceive of the variety of social skills we progressively identify with our method and are at play in human languaging. Are these skills socially constituted or just socially learned? The difference, again, leads to a clarification that acts, skills, actors, and interactions are to be conceived as co-emerging categories. We illustrate some of these points with a discussion of an example of aspects of the model at play in a study of gift giving in China. © 2021 Universidade do Vale do Rio dos Sinos. All rights reserved.","Dialectics; Enactive epistemology; Enactive ontology; Languaging; Shared know-how",,Review,"Final","",Scopus,2-s2.0-85106555469
"Mboli J.S., Thakker D., Mishra J.L., Sivarajah S.","57216256507;15062035000;55227598500;57222406003;","Domain Experts and Natural language Processing in the Evaluation of Circular Economy Business Model Ontology",2021,"Proceedings - 2021 IEEE 15th International Conference on Semantic Computing, ICSC 2021",,,"9364548","374","379",,,"10.1109/ICSC50631.2021.00069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102615546&doi=10.1109%2fICSC50631.2021.00069&partnerID=40&md5=6e7e1b16c342f0962b8db06af7cc3944","Faculty of Engineering and Informatics, University of Bradford, Bradford, United Kingdom; Leeds University Business School, University of Leeds, Leeds, United Kingdom; Faculty of Mgmt, Law Social Sciences, University of Bradford, Bradford, United Kingdom","Mboli, J.S., Faculty of Engineering and Informatics, University of Bradford, Bradford, United Kingdom; Thakker, D., Faculty of Engineering and Informatics, University of Bradford, Bradford, United Kingdom; Mishra, J.L., Leeds University Business School, University of Leeds, Leeds, United Kingdom; Sivarajah, S., Faculty of Mgmt, Law Social Sciences, University of Bradford, Bradford, United Kingdom","There are efforts been made globally, to switch from the take-make-dispose linear economy to Circular Economy (CE) due to the effects and wasteful nature of linear economic model. However, there are challenges and barriers that are keeping businesses from this transition despite the benefits. One of such challenge is uncertainty regarding the residual value of used products which often lead to incentives misalignment among others. While research efforts are being made to proffer solutions by proposing circular business models, the question of how reliable the new models are remains unanswered. In this paper, we propose a hybrid model of domain experts and Natural Language Processing (NLP) techniques for evaluating and validating CE Business Model (CEBM) ontology. Textual data on competency questions and comments is collected from domain experts and used in the proposed model. The model identified gaps in the ontology used here, calling for further work on the ontology and the result appear satisfactory to the domain experts who participated. © 2021 IEEE.","business model ontology; CE; CE business model; data analysis; Natural language processing; Ontology; textual data analytic","Economics; Natural language processing systems; Ontology; Semantics; Business modeling; Business models; Circular economy; Domain experts; Economic modeling; NAtural language processing; Research efforts; Residual value; Knowledge acquisition",Conference Paper,"Final","",Scopus,2-s2.0-85102615546
"van Capelleveen G., Amrit C., Zijm H., Yazan D.M., Abdi A.","55825057600;23488128600;56436800700;35115911100;56545316700;","Toward building recommender systems for the circular economy: Exploring the perils of the European Waste Catalogue",2021,"Journal of Environmental Management","277",,"111430","","",,16,"10.1016/j.jenvman.2020.111430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092650465&doi=10.1016%2fj.jenvman.2020.111430&partnerID=40&md5=7fdc3d43606fba483c4f78b5fbeb3ca2","Department of Industrial Engineering and Business Information Systems, University of Twente, Netherlands; Faculty of Economics and Business Section Operations Management, University of Amsterdam, Netherlands","van Capelleveen, G., Department of Industrial Engineering and Business Information Systems, University of Twente, Netherlands; Amrit, C., Faculty of Economics and Business Section Operations Management, University of Amsterdam, Netherlands; Zijm, H., Department of Industrial Engineering and Business Information Systems, University of Twente, Netherlands; Yazan, D.M., Department of Industrial Engineering and Business Information Systems, University of Twente, Netherlands; Abdi, A., Department of Industrial Engineering and Business Information Systems, University of Twente, Netherlands","The growth in the number of industries aiming at more sustainable business processes is driving the use of the European Waste Catalogue (EWC). For example, the identification of industrial symbiosis opportunities, in which a user-generated item description has to be annotated with exactly one EWC tag from an a priori defined tag ontology. This study aims to help researchers understand the perils of the EWC when building a recommender system based on natural language processing techniques. We experiment with semantic enhancement (an EWC thesaurus) and the linguistic contexts of words (learned by Word2vec) for detecting term vector similarity in addition to direct term matching algorithms, which often fail to detect an identical term in the short text generated by users. Our in-depth analysis provides an insight into why the different recommenders were unable to generate a correct annotation and motivates a discussion on the current design of the EWC system. © 2020 The Author(s)","Circular economy; European waste catalogue (EWC); Industrial symbiosis; Recommender system; Tag recommendation","algorithm; data processing; depth determination; detection method; numerical model; support vector machine; algorithm; article; economic aspect; linguistics; natural language processing; symbiosis; commercial phenomena; comprehension; semantics; Algorithms; Commerce; Comprehension; Semantics",Article,"Final","",Scopus,2-s2.0-85092650465
"Fernández J.L.","57216319737;","Circularity in searle’s social ontology: With a hegelian reply",2020,"International Journal of Society, Culture and Language","8","1",,"16","24",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083109187&partnerID=40&md5=f4e808e9e60dc8c0d6932b5f83b2fd1f","Fairfield University, United States","Fernández, J.L., Fairfield University, United States","John Searle’s theory of social ontology posits that there are indispensable normative components in the linguistic apparatuses termed status functions, collective intentionality, and collective recognition, all of which, he argues, make the social world. In this paper, I argue that these building blocks of Searle’s social ontology are caught in a petitio of constitutive circularity. Moreover, I note how Searle fails to observe language in reciprocal relation to the institutions which not only are shaped by it but also shape language’s practical applications. According to Searle, social theorists that tried to show a connection between society, culture, and language all failed to see the constitutive role of language in the making of social reality. Consequently, I believe that Searle is himself guilty of a certain kind of blind presumption, and argue that Hegel’s philosophy of culture, which Searle dismisses as implausible, offers a more cohesive account of the normative transactions between human beings and their social world. © 2020 IJSCL. All rights reserved.","Collective intentionality; Culture; Hegel; Social ontology; Status functions",,Article,"Final","",Scopus,2-s2.0-85083109187
"Stern J.M.","7402955457;","A sharper image: The quest of science and recursive production of objective realities",2020,"Principia","24","2",,"255","297",,1,"10.5007/1808-1711.2020v24n2p255","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096551286&doi=10.5007%2f1808-1711.2020v24n2p255&partnerID=40&md5=8e599c2c003199d39537b0ff02327d77","IME-USP, Institute of Mathematics and Statistics, University of São Paulo, Brazil","Stern, J.M., IME-USP, Institute of Mathematics and Statistics, University of São Paulo, Brazil","This article explores the metaphor of Science as provider of sharp images of our environment, using the epistemological framework of Objective Cognitive Constructivism. These sharp images are conveyed by precise scientific hypotheses that, in turn, are encoded by mathematical equations. Furthermore, this article describes how such knowledge is produced by a cyclic and recursive development, perfection and reinforcement process, leading to the emergence of eigen-solutions characterized by the four essential properties of precision, stability, separability and composability. Finally, this article discusses the role played by ontology and metaphysics in the scientific production process, and in which sense the resulting knowledge can be considered objective. © 2020 The author(s). Open access under the terms of the Creative Commons Attribution-NonCommercial 4.0 International License.","Circularity; Eigen-solution; Epistemic value; Objectivity; Scientific ontology; Sharp hypothesis",,Article,"Final","",Scopus,2-s2.0-85096551286
"Albrecht M., Lukkarinen J.","36241395200;57216801771;","Blue bioeconomy localities at the margins: Reconnecting Norwegian seaweed farming and Finnish small-scale lake fisheries with blue policies",2020,"Environment and Planning C: Politics and Space","38","7-8",,"1465","1483",,5,"10.1177/2399654420932572","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086726794&doi=10.1177%2f2399654420932572&partnerID=40&md5=a7d6215e2c45b0f8a0fb94e64c0530e1","Department of Geographical and Historical Studies, University of Eastern Finland, Joensuu, Finland; Department of Geographical and Historical Studies, University of Eastern Finland, Joensuu, Finland; Finnish Environment Institute, Environmental Policy Centre, Joensuu, Finland","Albrecht, M., Department of Geographical and Historical Studies, University of Eastern Finland, Joensuu, Finland; Lukkarinen, J., Department of Geographical and Historical Studies, University of Eastern Finland, Joensuu, Finland, Finnish Environment Institute, Environmental Policy Centre, Joensuu, Finland","The blue bioeconomy is gaining momentum in EU policy debate and various national government strategies as a pathway towards a more sustainable society. Linked to the circularity of economic processes, it combines the promise of (regional) economic development with a sustainable, bio-based transition focused on increased and novel utilisation of aquatic resources. Nonetheless, portrayed as a holistic approach, the political visions of blue bioeconomy reside predominantly in marine environments with little integration of freshwater perspectives or alternative development paths. Rooted in concepts of policy mobility, assembling processes and the positionalities of involved entities, this paper displays two regionally embedded blue bioeconomy developments – Norwegian coastal seaweed farming and Finnish lake fisheries – and their spatially diverse reconnections with national and international policy narratives. By framing a freshwater and a coastal marine case, and their spatial reconnections with an overarching yet diversely translated policy realm, the paper taps into the multiple ontologies of water in blue bioeconomy governance and presents initial empirical and methodological steps towards a relational understanding of its governance processes. Based on four key topical reconnections, the article points to a variety of challenging mismatches between policy narratives, local development processes and potentials. It also suggests conceptual and methodological implications of this approach for further research into “blue” resource governance. © The Author(s) 2020.","Blue bioeconomy; policy mobility; positionality; seaweed; small-scale fisheries","European Union; fishery economics; fishery management; fishery policy; governance approach; resource management; seaweed; small scale industry; Finland",Article,"Final","",Scopus,2-s2.0-85086726794
"Altomare A.A., Baron G., Aldini G., Carini M., D'Amato A.","55587251500;57194169937;7003627860;56271103700;7007065191;","Silkworm pupae as source of high-value edible proteins and of bioactive peptides",2020,"Food Science and Nutrition","8","6",,"2652","2661",,14,"10.1002/fsn3.1546","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084978226&doi=10.1002%2ffsn3.1546&partnerID=40&md5=24dbe9a2ae3085f86e3c0404e19695f7","Department of Pharmaceutical Sciences, Università degli Studi di Milano, Milan, Italy","Altomare, A.A., Department of Pharmaceutical Sciences, Università degli Studi di Milano, Milan, Italy; Baron, G., Department of Pharmaceutical Sciences, Università degli Studi di Milano, Milan, Italy; Aldini, G., Department of Pharmaceutical Sciences, Università degli Studi di Milano, Milan, Italy; Carini, M., Department of Pharmaceutical Sciences, Università degli Studi di Milano, Milan, Italy; D'Amato, A., Department of Pharmaceutical Sciences, Università degli Studi di Milano, Milan, Italy","To characterize the high-value protein content and to discover new bioactive peptides, present in edible organisms, as silkworm pupae, semiquantitative analytical approach has been applied. The combination of appropriate protein extraction methods, semiquantitative high-resolution mass spectrometry analyses of peptides, in silico bioactivity and gene ontology analyses, allowed protein profiling of silkworm pupae (778 gene products) and the characterization of bioactive peptides. The semiquantitative analysis, based on the measurement of the emPAI, revealed the presence of high-abundance class of proteins, such as larval storage protein (LSP) class. This class of proteins, beside its nutrient reservoir activity, is of great pharmaceutical interest for their efficacy in cardiovascular diseases. Potential allergens were also characterized and quantified, such as arginine kinase, thiol peroxiredoxin, and Bom m 9. This powerful bioanalytical approach proved the potential industrial applications of Bombyx mori pupae, as source of high-value proteins in a green and “circular” economy perspective. © 2020 The Authors. Food Science & Nutrition published by Wiley Periodicals, Inc","bioactive peptides; Bombyx mori; high-resolution mass spectrometry; protein profiling; semiquantitative analyses",,Article,"Final","",Scopus,2-s2.0-85084978226
"Mitra S., Chittimalli P.K., Banerjee A.","57193901031;24470042700;55757780530;","Analyzing Business Systems comprised of Rules and Processes using Decision Diagrams",2020,"ACM International Conference Proceeding Series",,,"3385051","","",,,"10.1145/3385032.3385051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082726460&doi=10.1145%2f3385032.3385051&partnerID=40&md5=d6afbfc0d1339a1360285c11a2aca91b","Tata Research Development and Design, Centre TCS Innovation Labs, Pune, India; Indian Statistical Institute, Kolkata, India","Mitra, S., Tata Research Development and Design, Centre TCS Innovation Labs, Pune, India; Chittimalli, P.K., Tata Research Development and Design, Centre TCS Innovation Labs, Pune, India; Banerjee, A., Indian Statistical Institute, Kolkata, India","Modern Businesses are rapidly growing in complexity and functionalities. To ensure smooth functioning, businesses need to adhere to a set of guidelines and constraints which are efficiently represented by Business Rules(BRs). Due to the large number of inter-dependent BRs, anomalies such as inconsistencies, redundancies and circularities creep in to the rule base, which if not dealt with properly can cause the business to function improperly causing significant damage at multiple levels. Present state of the art methods identify such anomalies in BRs by converting the rules to knowledge representation (Ontology, SMT-LIBv2, etc.) and then running them on solvers. These approaches suffer from certain drawbacks, namely incomplete mappings and scalability of solvers. To overcome these shortcomings, in this paper we propose to represent the Business Rules(BRs) as Decision Diagrams (BDD, SDD, MDD, etc.) and use graph algorithms on top of their canonical representations to identify anomalies. Presently, business rules and processes are treated separately. We model rules as Decision Diagrams(DDs) to integrate with certain graphical representations of business processes (e.g., DCR Graphs, BPMN, etc.), enabling us to efficiently analyze a much more enriched set of business information. We show an initial set of mappings from business rules to Binary Decision Diagrams (BDD's), integrate with processes, identify various anomalies and outline our vision and prospective reach of this ap. © 2020 Association for Computing Machinery.","Bdd; Business rules; Decision diagrams; Mdd; Ontology; Processes; Sbvr; Sdd; Smt; Test case","Boolean functions; Graph algorithms; Knowledge representation; Mapping; Ontology; Processing; Software engineering; Surface mount technology; Business information; Business rules; Canonical representations; Decision diagram; Graphical representations; Sbvr; State-of-the-art methods; Test case; Binary decision diagrams",Conference Paper,"Final","",Scopus,2-s2.0-85082726460
"Huian G.","57399585000;","Perfect transparency in circular motion: Three divine persons [Vollkommene Durchsichtigkeit in kreisförmiger Bewegung: drei göttliche Personen]",2020,"Internationale Kirchliche Zeitschrift","110","1",,"35","59",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135128403&partnerID=40&md5=e48ea203c581fb00d55b78493c56cfe9","Institut für Christkatholische Theologie, Universität Bern, Länggassstrasse 51, Bern, CH-3012, Switzerland","Huian, G., Institut für Christkatholische Theologie, Universität Bern, Länggassstrasse 51, Bern, CH-3012, Switzerland","One theological model that attempts to explain the unity without confusion of the three persons of the Trinity is Perichoresis, which can be understood both as mutual indwelling and as interpenetration. The first part of this article studies the intratrinitarian dynamics according to Jiirgen Moltmann, Hans Urs von Baltha-sar. Herwig Aldenhoven and Ioannis Zizioulas - it aims to show how circular processuality, drama, non-linearity and relational ontology contain or prepare new conceptual patterns for the trinitarian Perichoresis. The second part proposes a systematical approach where the relationships between the persons of the Trinity are characterized by perfect transparency and dialogical circularity. It addresses the reconfiguration of Perichoresis in terms of «intersubjectivity» following Dumitru Staniloae, attempts to conceptualize the dynamic of love as depicted in Rubljov's icon of the Trinity, and finally questions both the potential and the limits of the understanding of the intratrinitarian dynamism as «dance». © 2020 Stampfli Publikationen AG. All rights reserved.","Durchsichtigkeit; Dynamik der Liebe; Perichorese; Rundbewegung; Trinitiit",,Article,"Final","",Scopus,2-s2.0-85135128403
