,Publication Type,Authors,Article Title,Document Type,Author Keywords,Keywords Plus,Abstract,Publication Date,Publication Year,DOI,DOI Link
57,J,"Xu, S; Liu, KC; Tang, LCM; Li, WZ","A framework for integrating syntax, semantics and pragmatics for computer-aided professional practice: With application of costing in construction industry",Article,Rule-based; Semantic; Ontology; IFC; BIM; Cost estimation; Computer-aided professional practice; Expert system,ONTOLOGY; ORGANIZATIONS; EXTENSION; DESIGN,"Producing a bill of quantity is a knowledge-based, dynamic and collaborative process, and evolves with variances and current evidence. However, within the context of information system practice in BIM, knowledge of cost estimation has not been represented, nor has it been integrated into the processes based on BIM. This paper intends to establish an innovative means of taking data from the BIM linked to a project, and using it to create the necessary items for a bill of quantity that will enable cost estimation to be undertaken for the project. Our framework is founded upon the belief that three components are necessary to gain a full awareness of the domain which is being computerised; the information type which is to be assessed for compatibility (syntax), the definition for the pricing domain (semantics), and the precise implementation environment for the standards being taken into account (pragmatics). In order to achieve this, a prototype is created that allows a cost item for the bill of quantity to be spontaneously generated, by means of the semantic web ontology and a forward chain algorithm. Within this paper, 'cost items' signify the elements included in a bill of quantity, including details of their description, quantity and price. As a means of authenticating the process being developed, the authors of this work effectively implemented it in the production of cost items. In addition, the items created were contrasted with those produced by specialists. For this reason, this innovative framework introduces the possibility of a new means of applying semantic web ontology and forward chain algorithm to construction professional practice resulting in automatic cost estimation. These key outcomes demonstrate that, decoupling the professional practice into three key components of syntax, semantics and pragmatics can provide tangible benefits to domain user. (C) 2016 Published by Elsevier B.V.",DEC,2016.0,10.1016/j.compind.2016.08.004,0.0
45,J,"Park, CS; Lee, DY; Kwon, OS; Wang, X","A framework for proactive construction defect management using BIM, augmented reality and ontology-based data collection template",Article,Construction defect management; Augmented reality; Ontology; Data collection template; BIM,KNOWLEDGE MANAGEMENT; QUALITY INSPECTION; SYSTEM; DESIGN; REWORK; COSTS; TAXONOMY; AEC,"In construction process, defects occur inevitably and repeatedly. It is one of the primary causes of project schedule and cost overruns. Many studies on defect causation analysis and management system have been conducted to facilitate defect measures and rectifications as well as to reduce the reoccurrence of the defect. However, those studies did not sufficiently consider the relationship of defect information flow in the construction process, which resulted in reactive rather than proactive defect management plan. This paper investigates the issues and needs of current defect management practices in the construction industry. It also presents a conceptual system framework for construction defect management that integrates ontology and augmented reality (AR) with building information modeling (BIM). The following three main technical solutions are proposed in the system framework: 1) defect data collection template to assure data quality and accuracy; 2) defect domain ontology to search and retrieve project or work-specific defect information; and 3) AR-based Defect Inspection System to support field defect management. It is envisaged that the system framework and solutions could enable proactive reduction of the defect occurrence during the construction process and that could greatly improve current defect management practices in the construction industry. (C) 2012 Elsevier B.V. All rights reserved.",AUG,2013.0,10.1016/j.autcon.2012.09.010,0.0
35,J,"Jiang, XY; Wang, S; Liu, Y; Xia, B; Skitmore, M; Nepal, M; Ghanbaripour, AN",A method for the ontology-based risk management of PPP construction projects,Article; Early Access,Public-private partnership; Project management; Risk management; Domain ontology; Risk knowledge; Rule-based reasoning,PUBLIC-PRIVATE PARTNERSHIP; DOMAIN ONTOLOGY; KNOWLEDGE; INFRASTRUCTURE; SAFETY; ALLOCATION; FRAMEWORK; RETRIEVAL; SUPPORT,"Purpose With the increasing complexity of public-private partnership (PPP) projects, the amount of data generated during the construction process is massive. This paper aims to develop a new information management method to cope with the risk problems involved in dealing with such data, based on domain ontologies of the construction industry, to help manage PPP risks, share and reuse risk knowledge. Design/methodology/approach Risk knowledge concepts are acquired and summarized through PPP failure cases and an extensive literature review to establish a domain framework for risk knowledge using ontology technology to help manage PPP risks. Findings The results indicate that the risk ontology is capable of capturing key concepts and relationships involved in managing PPP risks and can be used to facilitate knowledge reuse and storage beneficial to risk management. Research limitations/implications The classes in the risk knowledge ontology model constructed in this research do not yet cover all the information in PPP project risks and need to be further extended. Moreover, only the framework and basic methods needed are developed, while the construction of a working ontology model and the relationship between implicit and explicit knowledge is a complicated process that requires repeated modifications and evaluations before it can be implemented. Practical implications The ontology provides a basis for turning PPP risk information into risk knowledge to allow the effective sharing and communication of project risks between different project stakeholders. It can also have the potential to help reduce the dependence on subjectivity by mining, using and storing tacit knowledge in the risk management process. Originality/value The apparent suitability of the nine classes of PPP risk knowledge (project model, risk type, risk occurrence stage, risk source, risk consequence, risk likelihood, risk carrier, risk management measures and risk case) is identified, and the proposed construction method and steps for a complete domain ontology for PPP risk management are unique. A combination of criteria- and task-based evaluations is also developed for assessing the PPP risk ontology for the first time.",,,10.1108/CI-02-2022-0029,0.0
202,J,"Zhou, ZP; Irizarry, J; Guo, WY",A network-based approach to modeling safety accidents and causations within the context of subway construction project management,Article,Network theory; Construction safety; Subway construction safety risk network (SCSRN); Topological feature; Robustness assessment,OCCUPATIONAL ACCIDENTS; RISK-MANAGEMENT; SYSTEM; PREVENTION; IDENTIFICATION; PERFORMANCE; CAUSALITY; INJURIES; DYNAMICS; ONTOLOGY,"It is widely accepted that the construction industry is dangerous, and subway construction projects are more inherently dangerous than general construction projects. On the basis of identifying intra-relationships between causations, intra-relationships between accidents, and inter-relationships between causations and accidents, this research aims to develop a subway construction safety risk network (SCSRN) with two layers of 56 causations and 44 accidents. Topological features were identified to denote the roles of individual nodes of causation or accident in the total network of SCSRN. Robustness assessment was conducted in the consideration of three strategies of node failure, namely, random attack, deliberate attack according to the decreasing order of node's total degree, and deliberate attack according to the decreasing order of node's betweenness centrality. The results indicated that the second strategy was more efficient in reducing the connectivity of SCSRN. It was suggested that managers should not pay equal attention to causations and accidents with unequal roles in the SCSRN. This research was beneficial to capturing complex cause-and-effect relationships of accident occurrence at subway construction sites. It can provide the opportunities for optimizing safety-related decisions on the elimination of causations and controlling accidents with high efficiency on site.",JUL,2021.0,10.1016/j.ssci.2021.105261,0.0
52,J,"Pauwels, P; de Farias, TM; Zhang, C; Roxin, A; Beetz, J; De Roo, J; Nicolle, C",A performance benchmark over semantic rule checking approaches in construction industry,Article,ifcOWL; Rule checking; Linked data; Reasoning; Semantic web; Benchmark,WEB; BIM; FRAMEWORK; EXPRESS; IFCOWL; DOMAIN; OWL,"As more and more architectural design and construction data is represented using the Resource Description Framework (RDF) data model, it makes sense to take advantage of the logical basis of RDF and implement a semantic rule checking process as it is currently not available in the architectural design and construction industry. The argument for such a semantic rule checking process has been made a number of times by now. However, there are a number of strategies and approaches that can be followed regarding the realization of such a rule checking process, even when limiting to the use of semantic web technologies. In this article, we compare three reference rule checking approaches that have been reported earlier for semantic rule checking in the domain of architecture, engineering and construction (AEC). Each of these approaches has its advantages and disadvantages. A criterion that is tremendously important to allow adoption and uptake of such semantic rule checking approaches, is performance. Hence, this article provides an overview of our collaborative test results in order to obtain a performance benchmark for these approaches. In addition to the benchmark, a documentation of the actual rule checking approaches is discussed. Furthermore, we give an indication of the main features and decisions that impact performance for each of these three approaches, so that system developers in the construction industry can make an informed choice when deciding for one of the documented rule checking approaches. (C) 2017 Elsevier Ltd. All rights reserved.",AUG,2017.0,10.1016/j.aei.2017.05.001,0.0
89,J,"Newaz, MT; Ershadi, M; Carothers, L; Jefferies, M; Davis, P",A review and assessment of technologies for addressing the risk of falling from height on construction sites,Review,Falling from height; Safety technology; Construction industry; Feasibility assessment,SAFETY MANAGEMENT; WEARABLE TECHNOLOGY; VIRTUAL-REALITY; WORKERS SAFETY; DESIGN; SYSTEM; BIM; PREVENTION; PROTECTION; IDENTIFICATION,"Falling from height (FFH) is blamed for causing significant injuries and deaths on construction sites. Previous research has outlined a broad range of technological advances facilitating the management of the FFH safety risk. However, the extant literature lacks a comprehensive assessment to investigate the contribution of various FFH technologies, as well as their implementation feasibility on construction sites, which provides rationale for this study. The study aims to assess recent safety technologies which can be used to control the risk of FFH on construction sites, especially in urban building construction projects. A scoping review was conducted to identify such technologies and provide insight into their application in the construction industry. As a result of searching Scopus, Web of Science, and Google Scholar databases between 2010 and 2021, a total of 86 representative studies were selected and reviewed. Following this stage, an assessment of their feasibility was carried out based on a set of criteria from the literature. A total of 7 FFH technologies were identified, characterising the contri-bution of recent technologies to the prediction, prevention, and mitigation of FFH risks. These technologies include (1) Safety risk assessment and propagation, (2) real-time sensing and monitoring, (3) automated pre-vention through design, (4) ontology and knowledge modelling, (5) virtual reality for FFH training, (6) personal fall arrest systems, and (7) collective fall protection systems. This research contributes to an improved under-standing of the status of FFH technologies. The feasibility assessment provides insight into suitable technologies for construction projects of various sizes and features.",MAR,2022.0,10.1016/j.ssci.2021.105618,0.0
6,J,"Abeynayake, DN; Perera, B; Hadiwattege, C",A roadmap for business model adaptation in the construction industry: a structured review of business model research,Review; Early Access,Construction industry; Business model; Roadmap; Business model ontology; Business model research; Construction business development,INNOVATION; FIRMS; FRAMEWORK; DESIGN,"Purpose Survival challenges compel construction firms to change their business thinking on adapting business models (BMs). Unlike in the other fields, in the construction field, it is still a novel concept, probably because BM adaptation in the industry has not been sufficiently studied. Hence, the purpose of this study is to set a roadmap for the effective adaptation of the BM concept in the construction industry. Design/methodology/approach To develop a roadmap, this study analysed BM literature through a comprehensive literature review by finding the BM research development stages using studies done in other fields and locating construction industry BM literature. Findings No stage-wise development of BM research has taken place in the construction industry. The four BM research development stages, namely, defining BMs, listing BM components, describing BM components and modelling BM components as a business model ontology (BMO) in relation to the construction industry have to be followed for proper BM adaptation in the construction industry. Originality/value This study provided an overview of and a roadmap for BM adaptation in the construction industry for the benefit of future researchers. The proper adaptation of the BM concept through a BMO will enable construction business managers to easily innovate, design and change construction BMs to streamline their business thinking.",,,10.1108/CI-05-2020-0077,0.0
3,J,"Zhong, BT; Wu, HT; Li, H; Sepasgozar, S; Luo, HB; He, L",A scientometric analysis and critical review of construction related ontology research,Review,Ontology; Research trends; Scientometrics; CiteSpace; Construction industry,INFORMATION EXTRACTION; DOMAIN ONTOLOGY; KNOWLEDGE; BIM; MANAGEMENT; INDUSTRY; DESIGN; IFCOWL; MODEL; REPRESENTATION,"There is a wide range of literature on adopting ontology to solve construction problems, but no review of existing studies has systematically analyzed and visualized the trends in ontology research. This study reviews ontology research mainly published in the Scopus database from 2007 to 2017 with the combination of scientometric analysis and critical review. Scientometric analysis (e.g. co-author, co-word, co-citation, and clusters) objectively visualized the research status quo while a critical review was used to identify the research themes and challenges of ontology research in the construction industry. The results identified a large network of co-authors in this field to understand collaboration relationships. Over half the papers (53%) were published by the following three countries: the United States, the United Kingdom, and Canada. The top co-occurring keywords were project management at which ontology facilitates knowledge management and information retrieval. When the time factor was taken into consideration, keywords naturally evolved from project management, and knowledge management to building information modeling, and compliance control with the successful adoption of information techniques in the construction industry. Four research themes were identified with the combination of cluster analysis and critical review: Domain ontology, Industry foundation classes, Automated compliance checking, and Building information modeling. This review provides an in-depth understanding of existing ontology research and indicates the emerging trends in this research domain.",MAY,2019.0,10.1016/j.autcon.2018.12.013,0.0
171,J,"Zhao, XB",A scientometric review of global BIM research: Analysis and visualization,Review,Building information modeling; Co-citation; Research trend; Scientometrics; Visualization,INFORMATION MODELING BIM; CONSTRUCTION; MANAGEMENT; FRAMEWORK; SCIENCE; DESIGN; FUTURE; TOOLS,"In the recent years, building information modeling (BIM) has transformed the architecture, engineering, and construction industry, and attracted attentions from both researchers and practitioners. However, few studies have attempted to map the global research on BIM. This study conducts a scientometric review of global BIM research in 2005-2016, through co-author analysis, co-word analysis and co-citation analysis. A total of 614 bibliographic records from the Web of Science core collection database were analyzed. The results indicated that Charles M. Eastman received the most co-citations and that the most significant development in BIM research occurred primarily in the USA, South Korea and China. Additionally, BIM research has primarily focused on the subject categories of engineering, civil engineering and construction & building technology, and the keywords visualization and industry foundation classes (IFC) received citation bursts in the recent years. Furthermore, 10 co-citation clusters were identified, and the hot topics of BIM research were: mobile and cloud computing, laser scan, augmented reality, ontology, safety rule and code checking, semantic web technology, and automated generation. This study provides researchers and practitioners with an in-depth understanding of the status quo and trend of the BIM research in the world.",AUG,2017.0,10.1016/j.autcon.2017.04.002,0.0
37,C,"Li, N; Wang, YW; Yao, B",A semantic web based Knowledge Management system in construction industry,Proceedings Paper,knowledge management; RDF; semantic web,,"Currently, Knowledge Management (KM), which involves in capturing, managing, sharing and reusing knowledge from one project to the next, has been identified as one of the critical. success factors to effectively improve the performance of organizations in construction industry. However, KM for project construction is now facing problems brought out by the nature of construction project: information, overload, heterogeneous information integration, and inefficient keyword searching and geographically distributed intranet problems. In response to these problems, many research initiatives and enterprises have been set up to explore the use. of new ICT technology for sharing of knowledge among all project actors during the project process. Resource Description Framework (RDF) can provide meta-level data structures. Semantic web with the use of Extensible Markup Language (XML), RDF, Ontology, and embedded reasoning techniques can make the knowledge machine-readable. This paper explains that there are many problems related to KM in current KM system in construction industry. In order to resolve the problems and improving the performance of construction, a semantic-based framework that consists of four layers that provide an intelligent approach to knowledge sharing, retrieving, and renewing the knowledge resource. The framework provides an effective platform to simulate KM process for geographically dispersed team members and facilitate collaboration and communication.",,2006.0,,
103,J,"Le, QT; Lee, DY; Park, CS",A social network system for sharing construction safety and health knowledge,Article,Social network; Semantic wiki; Ontology; Safety information; Safety knowledge,MANAGEMENT; COLLABORATION,"Due to the complicated and complex working environments, construction site still presents high accident rate, which is causing serious project delay and cost overrun. Abundant studies have focused on cause and effect on fatalities or safety training system, and so on. Most of them on this issue have been emphasized the necessity and utilization of information, rather than how to exchange, share and transfer safety data efficiently in the construction industry. With this regard, this paper proposes the Social Network System for Sharing Construction Safety & Health Knowledge (SNSS), which utilizes state-of-the-art of semantic wild web and ontology construction technologies for better communication and representation for construction safety information. The SNSS is developed on the basis of safety semantic wiki template (SSWT), which consists of the following three modules: 1) A Safety information module (SIM) which upload common accident and hazard information for sharing; 2) A Safety knowledge module (SKM) where the safety information is refined, confirmed and transferred to safety knowledge; 3) A Safety dissemination module (SDM) which allows its users to monitor, manage and retrieve safety information and knowledge easily. The SNSS is tested by a scenario of using falling accident information by which the potentials and limitations of the system were addressed. The study emphasizes the potential applicability and benefits of social network system that could be utilized to enhance communication among participants in the construction industry. (C) 2014 Elsevier B.V. All rights reserved.",OCT,2014.0,10.1016/j.autcon.2014.01.001,0.0
26,J,"Edum-Fotwe, FT; Price, ADF",A social ontology for appraising sustainability of construction projects and developments,Article,Sustainability; Social issues; Construction; Project; Ontology,,"The social dimension of sustainability has been growing in importance as a criterion for evaluating the viability of projects in the construction sector. The authors present an ontology that can be employed to provide a systematic articulation to the issues that impinge on the social dimension of sustainability appraisals. The development of the social ontology was a consequence of a research project that explored the tools, metrics and models (SUE-Mot) employed in the evaluation of sustainability within the urban built environment. The development was achieved by the method of focus group interaction. The proposed ontology can be combined with the environmental and economic requirements of projects to assist developers and others stakeholders gain a more comprehensive and holistic view of the sustainable issues that attend construction and urban developments. (C) 2008 Elsevier Ltd and IPMA. All rights reserved.",MAY,2009.0,10.1016/j.ijproman.2008.04.003,0.0
167,J,"Wu, HT; Li, H; Fang, X; Luo, XC",A survey on teaching workplace skills to construction robots,Article,Construction robots; Workplace skill; Semantic methods; Learning from demonstrations; Robot skill learning,MANIPULATION TASKS; MOVEMENT PRIMITIVES; ACTION RECOGNITION; KNOWLEDGE; IMITATION; ONTOLOGY; SAFETY; REPRESENTATION; CONSEQUENCES; INTERFACE,"The construction industry is seeking a robotic revolution to meet increasing demands for productivity, quality, and safety. Typically, construction robots are usually pre-programmed for a single task, such as painting. Their behavior is fixed when they leave the factory. However, it is difficult to pre-program all capabilities (referred to as workplace skills) that construction workers may require. Construction robots are expected to have the same ability of skill learning as human apprentices, allowing them to acquire a wide range of workplace skills from experienced workers and eventually complete relevant construction tasks autonomously. However, workplace skill learning of robots has rarely been investigated in the construction industry. This survey reviews state-of-the-art approaches to help robots learn skills from human demonstrations. To begin, the workplace skill is represented as 'Know That' and 'Know How' problems. 'Know That' is a high-level task planning ability aimed at understanding human activities from demonstrations. 'Know How' refers to the ability to learn specific actions for completing the construction task. Sematic methods and learn from demonstration (LfD) methods are reviewed to tackle these two problems. Finally, we discuss the open issues of past research, present future directions, and highlight the survey's knowledge contributions. We believe that this survey will provide a new perspective on robots in the construction industry and inspire more discussions about skill learning of construction robots.",NOV 1,2022.0,10.1016/j.eswa.2022.117658,0.0
32,C,"Krystallis, I; Rickaby, B; Murtagh, N",A sustainable built environment for healthcare: generative mechanisms for future-proofing,Proceedings Paper,,REAL OPTIONS; INNOVATION; SYSTEMS,"Construction projects are planned from a set of deterministic objectives and constraints that dictates what designers must accomplish. In the case of healthcare facilities, where the policy environment is characterized by change on several fronts, fixed requirements could constrain their evolvability and sustainability. Future-proofing is a response to uncertainty whereby a physical structure is designed to respond to future changes in requirements, change of use, strategic perspectives, business drivers, new policies and changing climate. The paper investigates the causal powers that explain how and why future-proofing decisions achieve a sustainable outcome. A critical realist lens is adopted to develop a configurational perspective of future-proofing design evolution. Critical Realism's open systems ontology of social reality can account for the fact that outcomes are not predictable and can better explain the nature of causation in complex social interactions such as construction projects. A case study research design was conducted comprising in-depth interviews with healthcare construction professionals in a UK setting. The study contributes to the sustainability literature by offering four generative mechanisms of future-proofing decision making and how they contingently lead - or fail to lead - to future-proof outcomes. Two change mechanisms and two problem mechanisms are presented, together with their configuration under the right conditions and context to lead to design decisions for construction projects capable of adapting to a range of possible futures.",,2019.0,10.1088/1755-1315/297/1/012039,0.0
