,Publication Type,Authors,Article Title,Document Type,Author Keywords,Keywords Plus,Abstract,Publication Date,Publication Year,DOI,DOI Link
42,J,"Lin, XC; Okazaki, T; Hayashi, K; Nakashima, M",Bolted Built-Up Columns Constructed of High-Strength Steel under Combined Flexure and Compression,Article,High-strength steel; Bolted built-up column; Seismic behavior; Continuous use; Combined flexure and compression; Metal and composite structures,,"New high-strength structural steel, named H-SA700, is utilized to achieve a structural system that enables continuous use after very large earthquakes. Columns are built up of H-SA700 plates using bolts only, and bolted connections are adopted extensively for easier replacement or reuse of structural components. An analytical study is performed to predict three distinctive local buckling modes of the column and estimate its elastic flexural stiffness, yield strength, and maximum strength subjected to combined flexure and compression. Cyclic loading behavior of the column is examined through five half-scale specimens, which vary with axial force, bolt pitch, and loading direction (about major or minor axis). The columns achieve a very large elastic rotation, approximately 0.02 rad at the axial force ratio of 0.2, and a maximum bending strength surpassing the plastic moment of the reduced section accounting for bolt holes without fracture. The proposed equations predict the local buckling modes well and present a reasonably conservative estimation on the column strength subjected to combined flexure and compression. (C) 2016 American Society of Civil Engineers.",FEB,2017.0,10.1061/(ASCE)ST.1943-541X.0001648,0.0
23,J,"Allan, K; Phillips, AR",Comparative Cradle-to-Grave Life Cycle Assessment of Low and Mid-Rise Mass Timber Buildings with Equivalent Structural Steel Alternatives,Article,cross-laminated timber; steel; sustainability; life cycle assessment; LCIA,RESIDENTIAL BUILDINGS; CARBON; IMPACTS,"The objective of this paper was to quantify and compare the environmental impacts associated with alternative designs of typical North American low and mid-rise buildings. Two scenarios were considered: a traditional structural steel frame or an all-wood mass timber design, utilizing engineered wood products for both gravity and lateral load resistance. The boundary of the quantitative analysis was cradle-to-grave with considerations taken to discuss end-of-life and material reuse scenarios. The TRACI methodology was followed to conduct a Life Cycle Impact Assessment (LCIA) analysis that translates building quantities to environmental impact indicators using the Athena Impact Estimator for Buildings Life Cycle analysis software tool and Athena's Life Cycle Inventory database. The results of the analysis show that mass timber buildings have an advantage with respect to several environmental impact categories, including eutrophication potential, human health particulate, and global warming potential where a 31% to 41% reduction was found from mass timber to steel designs, neglecting potential carbon sequestration benefits from the timber products. However, it was also found that the steel buildings have a lower impact with respect to the environmental impact categories of smog potential, acidification potential, and ozone depletion potential, where a 48% to 58% reduction was found from the steel to the mass timber building designs.",MAR,2021.0,10.3390/su13063401,0.0
13,J,"Rakhshan, K; Morel, JC; Alaka, H; Charef, R",Components reuse in the building sector - A systematic review,Review,Reuse; building components; systematic literature review; building sector; construction and demolition waste; circular economy; superstructure,STRUCTURAL-STEEL REUSE; CONSTRUCTION WASTE REDUCTION; DEMOLITION WASTE; REVERSE LOGISTICS; ENVIRONMENTAL BENEFITS; SUSTAINABLE MANAGEMENT; RESIDENTIAL BUILDINGS; DECISION-MAKING; LCA METHODOLOGY; DECONSTRUCTION,"Widespread reuse of building components can promote the circularity of materials in the building sector. However, the reuse of building components is not yet a mainstream practise. Although there have been several studies on the factors affecting the reuse of building components, there is no single study that has tried to harmonize the circumstances affecting this intervention. Through a systematic literature review targeting peer-reviewed journal articles, this study intends to identify and stratify factors affecting the reuse of components of the superstructure of a building and eventually delineate correlations between these factors. Factors identified throughout this study are classified into six major categories and 23 sub-categories. Then the inter-dependencies between the barriers are studied by developing the correlation indices between the sub-categories. Results indicate that addressing the economic, social and regulatory barriers should be prioritized. Although the impact of barriers under perception, risk, compliance and market sub-categories are very pronounced, the highest inter-dependency among the sub-categories is found between perception and risk. It suggests that the perception of the stakeholders about building components reuse is affected by the potential risks associated with this intervention.",APR,2020.0,10.1177/0734242X20910463,0.0
7,J,"Keller, P; McConnell, J; Schumacher, T; Thostenson, ET",Construction Stress Monitoring Using a Wireless Sensor Network to Evaluate Reuse Potential of Structural Steel,Article,Steel; Buildings; Construction; Field data; Wireless sensor networks; Reuse; Leadership in Energy and Environmental Design (LEED),BARRIERS,"Stresses in structural steel members of steel-framed buildings during construction are difficult to predict with certainty using conventional engineering methods. In order to inform current design practices and provide information to partially evaluate if a steel member can be reused after its service life, construction-induced strains in a typical building were recorded. Specifically, two columns and three Beams of a four-story steel-framed building were instrumented prior to delivery to the construction site using a wireless sensor network. Data were recorded for 48 days, while the structure was erected and the concrete deck poured, up to fireproofing the building. The data were analyzed considering dead load force effects during various construction phases, impacts, and temperatures. The analysis revealed high variations in temperature throughout the structure and consequently significant temperature-induced stresses as well as greater magnitudes of flexural stress in columns than expected. As a result, the recorded stresses differed by 1-120 MPa (0-18 ksi) compared to the theoretically predicted stresses. Yet, the maximum measured stress [160 MPa (23.2 ksi)] was only 46% of the nominal yield strength. Measured stresses were also used to calculate member forces, and the combined member forces resulted in a maximum of 55% of the yield limit. Thus, the results validated current design practices and the possibility of reusing structural steel.",DEC 1,2019.0,10.1061/(ASCE)ST.1943-541X.0002384,0.0
47,J,"Elginoz, N; Alzaboot, M; Babuna, FG; Iskender, G",Construction of a large water treatment plant: appraisal of environmental hotspots,Article; Proceedings Paper,Water treatment; Sustainability; Life cycle assessment; Construction; Environmental impacts,LIFE-CYCLE ASSESSMENT; REVERSE-OSMOSIS; DESALINATION; CITY,"The objective of this study is to examine the environmental impacts arising from the construction phase of a large conventional water treatment plant located in Istanbul by adopting a life cycle assessment methodology. The facility has a maximum flow rate of 400,000 m(3)/d and serves a population of about 2,600,000. A conventional treatment technology composed of rock and fine screens, aeration, coagulation-flocculation units, clarifiers, filters, chlorination, and sludge handling units, is used in the plant. The functional unit is 1,000 kg (1 m(3)) treated water. The investigated environmental impact categories are: global warming potential (GWP), acidification potential (AP), eutrophication potential (EP), abiotic depletion potential fossil (ADP fossil), freshwater aquatic ecotoxicity potential (FAETP), human toxicity potential ( HTP), marine aquatic ecotoxicity potential (MAETP), and terrestrial ecotoxicity potential (TETP). The main contributors to GWP, AP, EP, and HTP are concrete and structural steel. FAETP and TETP are mostly arising due to the polyvinyl chloride pipelines and membranes, and the concrete used. The main shares in MAETP are concrete, aluminum, and structural steel. Transportation does not have a significant contribution to environmental impacts.",DEC,2019.0,10.5004/dwt.2019.25107,0.0
44,C,"Moitra, D; Das, P; Mitra, P; Sikdar, BK",Cost Optimal Design of 3-D Steel Building Frames Using CA-LFSR,Proceedings Paper,Cellular Automata; Steel Building Frame; Bracing System; CA - LFSR,CELLULAR-AUTOMATA; POROUS-MEDIA; MODEL,"This work introduces coupled Cellular Automata (CA) and LFSR (CA-LFSR) machine, defined in Galois Extension Field (GF(2(p))), for the cost optimal design of 3-D steel building frames. Tall steel building frames are subjected to substantially high lateral forces due to wind and/or earthquake, in addition to the usual dead and live loads. The cost of construction of such frames can be reduced by providing additional structural steel members, called bracings, between suitable pairs of nodes of the building. The patterns generated from a CA-LFSR, tuned to the structural configuration of a building, dictates the desired positions of bracings resulting in a structure with reduced construction cost. The cost optimal design developed around the CA-LFSR is reached in constant time that is possible with the conventional design procedure based on the principles of structural engineering. Exhaustive experimentation establish that the proposed CA-LFSR based approach is most effective for the design of tall building frames, and can reuse a design for scalability.",,2009.0,,
5,J,"Forghani, R; Sher, W; Kanjanabootra, S",Critical technical design principles for maximizing the reuse of building components,Article; Early Access,Critical technical design principles; reusing building components; reusability; ANOVA; factor analysis,CRITICAL SUCCESS FACTORS; STRUCTURAL-STEEL REUSE; CONSTRUCTION; DECONSTRUCTION; WASTE; STRATEGIES; MANAGEMENT; END,"The reuse of building components plays a pivotal role in construction and demolition waste reduction. Reuse can be a part of the deconstruction process resulting in cost and environmental benefits. Several studies have identified various design principles that facilitate the deconstruction process. These may consequently maximize the reusability of building components. However, the extent to which these measures are effective is unclear. This study examines the importance of these principles in relation to the reusability of building components. A questionnaire survey investigating design principles based on previous studies was administered to building industry professionals including civil engineers, architects and demolition contractors. It was designed to determine the degree of suitability and relevance of the design principles to the practice of reuse. Over 170 responses were collected and analysed using a number of statistical approaches including ANOVA and factor analysis to identify critical technical design principles (TDPs) and to determine the potential relationships among them. Nine TDPs were identified as highly significant for the practice of reuse. Statistically significant differences between the opinions of demolition contractors and of building designers to eight principles were also determined and are also discussed.",,,10.1080/15623599.2021.1959126,0.0
16,C,"Badrah, MK",Design cases: A supplementary knowledge source for structural component design,Proceedings Paper,,,"Previous standards models relied on the standards as the main knowledge source for component design processing. Nonstandard components need additional knowledge sources in order to be designed and represented in a computer system. This paper discusses a case-based approach for knowledge representation of nonstandard components. A design cases model to store, organise and reuse information included in design cases is described. The case model provides a means for representing existing nonstandard designs and guiding towards the solution of a new design context. It is concluded that the case model will provide a supplementary knowledge source to the standards for structural component design.",,1998.0,,
7,C,"Wang, L; Webster, MD; Hajjar, JF",Design for Deconstruction for Sustainable Composite Steel-Concrete Floor Systems,Proceedings Paper,Design for Deconstruction; composite floor system; clamping connector; pushout test; composite beam test,,"Conventional steel-concrete composite floor systems utilizing steel headed stud anchors and metal decks are cost-effective and widely used solutions for non-residential multi-story buildings, due in part to their enhanced strength and stiffness relative to non-composite systems. Because these systems use steel headed stud anchors welded onto steel flanges and encased in cast-in-place concrete slabs to achieve composite action, it is not possible to readily deconstruct and reuse the steel beams and concrete slabs. As the building industry is moving towards sustainability, there are clear needs for developing sustainable steel-concrete composite floor systems to facilitate material reuse, minimize consumption of raw materials, and reduce end-of-life building waste. This paper presents the behavior and design strategies for a sustainable steel-concrete composite floor system. In this system, deconstructable clamping connectors are utilized to attach precast concrete planks to steel beams to achieve composite action. The load-slip behavior of the clamping connectors was studied in pushout tests, and the test results showed that the clamping connectors possess similar shear strength to 19 mm diameter shear studs and much greater slip capacity. Four full-scale beam tests were performed to investigate the flexural behavior of the deconstructable composite beams under gravity loading and validate the connector behavior attained from the pushout tests. All the beams behaved in a ductile manner. The flexural strengths of the composite beam specimens closely match the strengths predicted for composite beams by the design provisions of the American Institute of Steel Construction (AISC).",,2018.0,10.4995/ASCCS2018.2018.7060,0.0
17,J,"Kim, S; Kim, SA",Design optimization of noise barrier tunnels through component reuse: Minimization of costs and CO2 emissions using multi-objective genetic algorithm,Article,Reuse; Noise barrier tunnel; Life cycle assessment; Life cycle cost; Multi-objective optimization,STRUCTURAL-STEEL REUSE; CIRCULAR ECONOMY,"Reuse is known to be an effective method to increase the sustainability of the architecture, engineering, and construction industries, which account for a majority of CO2 emissions and waste generation. However, despite the environmental benefits involved, additional costs and increased design difficulty limit the application of reuse. This paper proposes an optimal design method that minimizes the CO2 emissions and costs of the noise barrier tunnel. In the proposed method, information on reusable steel beams from the building information modeling data of the noise barrier tunnel is extracted, and the optimization problem is defined. In addition, designs and component procurement plans aiming to minimize CO2 emissions and costs are derived using a multi-objective genetic algorithm. The results of the case study show that depending on the situation, CO2 emissions are reduced from 1% to 92% and costs are reduced by up to 25% relative to the case without reuse. As in previous studies, CO2 emission could be reduced herein through reuse, but an increase in costs was observed in some cases. This study contributes to the literature by providing optimal alternatives for designers through an optimal design method integrating strategies to overcome barriers to the practice of reuse. The case study results also highlight the need for an assessment through the entire life cycle, including the modification and in-spection processes of reusable components that are generally excluded. (c) 2021 Elsevier Ltd. All rights reserved.",MAY 20,2021.0,10.1016/j.jclepro.2021.126697,0.0
1,C,"Mourtzis, D; Milas, N; Vlachou, K; Liaromatis, I",Digital transformation of structural steel manufacturing enabled by IoT-based monitoring and knowledge reuse,Proceedings Paper,Internet of Things; Cyber-Physical Systems; Structural Steel Manufacturing; knowledge reuse,TIME,"The ever-increasing demands for timely product deliveries in structural steel manufacturing, require the evolution of traditional production practices. This can be achieved through the Internet of Things, Cyber-physical Systems, and other emerging technologies. Nevertheless, changes in the workflow of the production, due to the use of modern technologies, can be disruptive and cause complications. Towards this evolution of the industry, this paper proposes a method for monitoring the production in structural steel manufacturing considering Internet of Things and analyzing the data aiming to calculate product assembly complexity and reuse data to retrieve similar past orders. The main architecture, the software design, as well as the Internet of Things based monitoring system is presented following the main requirements of the industrial case study.",,2018.0,,
8,C,"Geyer, R; Jackson, T; Clift, R",Economic and environmental comparison between recycling and reuse of structural steel sections,Proceedings Paper,,,"It is generally agreed that product recovery strategies based on reuse are preferable to those based on materials recycling. Closing the loop higher up in the chain of value creation increases the environmental benefits but also offers opportunities for additional cost savings, so the argument goes. Nevertheless, reuse is not a widespread practice in the steel industry, which owes most of its environmental credentials to an extensive and self-sustaining recycling infrastructure. This suggests that there exist economic, technical or institutional obstacles that limit the extent to which reuse of steel products is feasible and profitable. In this paper we examine the obstacles that constrain the reuse of steel construction products and suggest possible ways to overcome them. An analytical model is developed to illustrate and compare the differences between recycling and reuse in supply loop systems. Our modelling approach allows us to derive some general results about the economic and environmental performance of both recovery options. The results emphasise how limiting factors, like market demand, product innovation and depreciation, can dominate the system performance. Finally, we discuss what institutional, corporate and technical changes are necessary to turn reuse into a viable option with growth potential.",,2002.0,,
49,J,"Burchart-Korol, D; Zawartka, P; Bondaruk, J",Environmental assessment of wastewater treatment plant under Polish condition. Part 2**. Life cycle assessment of wastewater treatment plant,Article,,SEWAGE-SLUDGE; ALTERNATIVES; INVENTORY; CRITERIA; REUSE; LCA,"Gas (CO2) emissions, fuel (heating oil) and material (iron) consumption were calcd. for the construction, operation and dismantling stages in the life cycle of com. wastewater treatment plant. At the construction stage, the consumption of structural steel and concrete had the highest environmental impact, while the consumption of elec. energy at the operational stage. Prodn. of biogas resulted in decreasing the environmental impact of the plant.",NOV,2017.0,10.15199/62.2017.11.6,0.0
28,J,"Zygomalas, I; Baniotopoulos, C",Environmental impact assessment of end-of-life scenarios for steel buildings,Article,end scenarios; environmental impact assessment; life cycle; steel buildings; structural steel; life cycle assessment (LCA),,"Environmental sustainability requires all business sectors to decrease the environmental impact associated with the delivery of their services and products. An efficient response from the building sector requires research aimed at the minimisation of the environmental impact of buildings throughout their life cycle, from construction to demolition. The end of a building's service life can critically influence the total environmental impact, particularly with building technologies such as steel construction. The purpose of the current research was the assessment of the environmental impact caused by different end-of-life scenarios as can be applied to steel buildings. An existing residential steel building is used for the calculations, while the results allow for the comparison between the different end scenarios concerning the main structural materials used, namely the structural steel. Conclusions drawn include the formation of a clear perspective on the environmental impact benefits that can be achieved at the end of a steel building's life cycle and the positive effects of the steel construction technology as applied to building projects in terms of environmental sustainability. The increased potential of the reuse and relocation scenarios in terms of environmental sustainability are also highlighted.",MAR 15,2016.0,10.1080/19648189.2015.1036125,0.0
27,J,"Brutting, J; Vandervaeren, C; Senatore, G; De Temmerman, N; Fivet, C",Environmental impact minimization of reticular structures made of reused and new elements through Life Cycle Assessment and Mixed -Integer Linear Programming,Article,Reuse; Environmental impact reduction; Life Cycle Assessment; Structural optimization,STEEL REUSE; BARRIERS; COMPONENTS; DESIGN; COST,"An important share of building environmental impacts is embodied in load-bearing structures because of their large material mass and energy-intensive fabrication process. To reduce substantially material consumption and waste caused by the construction industry, structures can be designed and built with reused elements. Structural element reuse involves: element sourcing and deconstruction, reconditioning and transport. As these processes also generate environmental impacts, reuse might not always be preferred over new construction. This paper presents a method to design reticular structures with minimal environmental impact made from reused and new elements. The formulation given in this paper is based on a combination of Life Cycle Assessment (LCA) and discrete structural optimization. The LCA carried out in this work accounts for impacts generated from sourcing reclaimed elements to the assembly of the structure. Structural optimization is subject to stress constraints on element capacity and deflection limits for serviceability. Typical loading scenarios are considered. The method is applied to the design of three single-span steel trusses of different topology subject to 100 simulated stocks of reusable elements that have varying cross-sections and lengths. Benchmarks against minimum-weight solutions made solely from recycled steel show that this method produces structures with up to 56% lower environmental impact. Depending on stock availability, the lowest environmental impact is achieved through a combination of reused and new elements. (C) 2020 Elsevier B.V. All rights reserved.",MAY 15,2020.0,10.1016/j.enbuild.2020.109827,0.0
