,Item Type,Author,Title,Publication Title,ISSN,DOI,Abstract Note,Date,Notes,Use in Thesis,Priority,Use for Thesis
10,thesis,"Verhoeven, Joran",Towards a circular built environment,,,,No Abstract,,,,3.0,tbd
11,thesis,"Menasce, Anna",Information flow for building components reuse. Potential applications of Materials Passports.,,,,No Abstract,,,,2.0,use formalization of Knowledge - Use of Framework for formalization
12,conferencePaper,"Hobbs, Gilli; Adams, Katherine",Reuse of building products and materials – barriers and opportunities,,,,"BRE have been working with the reclamation sector in the UK for around 20 years to promote the reuse of end-of-life building products and materials in preference to recycling and recovery. Much of this has been dedicated to the promotion of pre-demolition and prerefurbishment audits to facilitate targets being set and markets for reusable resources sourced prior to work commencing. Against this backdrop the surveys undertaken to measure levels of reclamation in the UK over a 15 year period showed a significant decline. The cause of this decline was investigated and revealed a number of challenges which were affecting both the supply and demand for reclaimed products and materials. Many of the challenges to reuse are connected to the availability and robustness of data. Therefore, the work currently being undertaken as part of the H2020 funded project BAMB (Building As Material Banks) provides a great opportunity to address such gaps in buildings of the future. However, since the existing built environment will have a major impact on resource flows for many years, it is also important to consider approaches to improve data in this context also. Therefore, this presentation will summarise the challenges for reuse of building products and materials in existing and future buildings. It will then briefly describe the opportunities and solutions to address these challenges in the context of improved data access, management and evaluation. Finally, the BAMB research which should contribute to providing solutions will be explored.",,,,1.0,Reuse - why it is important and connection to data
13,conferencePaper,"Henrotay, C.",How do current policies support a transition towards a circular economy in the built environment?,,,,"Building and construction industry consumes huge quantities of materials in an unsustainable way. As a result of a linear design approach and economic model, at the end of use, but also throughout the cycle, buildings or parts of buildings are demolished and remnants treated as waste or –best case– down-cycled. This creation of waste as well as the use of virgin resources leads to an important environmental, economic and societal impact. To create a sustainable build environment, the building sector needs to move towards a circular economy in which circular and dynamic buildings as well as their component and materials preserve value. Policies and regulations in member states and across the EU will influence the ability to transition to a circular economy – positively and negatively. Within the H2020 Buildings As Materials Banks (BAMB) Project work is underway to understand where the opportunities and barriers lie in a complex and, sometimes contradictory, regulatory landscape. This paper presents an overview of the current policy instruments that are considered to have relevance in relation to promoting, or possibly hindering, the adoption of circular economy opportunities in the built environment. The analysis of the current policy instruments has been done on a European level and on a member state level for 4 different countries being: Belgium, Portugal, Sweden and UK. The paper will mainly focus on the European Level and Belgium.",,,,3.0,Introduction - Regulations in EU context on Reuse and CE
14,conferencePaper,"Debacker, Wim; Manshoven; Peters; Ribeiro; De Weerdt",Circular economy and design for change within the built environment: preparing the transition,,,,"The built environment is considered as a key sector in which circular economy can be implemented. Within the H2020 project “Building as Material Banks” (BAMB), two innovative solutions are being forward to support this transition: i.e. Materials Passports and Reversible Building Design Protocols. Based on desk research and interviews with frontrunners, key opportunities and barriers have been identified related to the implementation of both innovative solutions within policy, commercial, societal and R&D realms. In order to better understand these opportunities and barriers five emerging trends putting the current socio-technical system under pressure are explained. In addition, value chain and value network analyses of business-as-usual and stateof-the-art practices have been examined over major building phases: conceptualisation & design, construction, usage/operation, demolition/deconstruction & repurposing. We observed that that it is unlikely that an actor will be involved within all phases of the building and that the availability of building (product) information over all building phases is restricted. By supporting the development of Materials Passports and Reversible Building Design Protocols actors involves within the conceptualisation, design and construction stages will better understand why circular and change-supporting building design strategies are necessary. Moreover, the development of Materials Passport IT Platform and a BIM prototype will serve as a proof-of-concept on exchanging information on building products and the building's operation to actors involved within reverse logistics.",,,,2.0,Look into the Material Passport IT Platform and BIM-Prototype
15,journalArticle,"Hartmann, Timo; Trappey, Amy",Advanced Engineering Informatics - Philosophical and methodological foundations with examples from civil and construction engineering,Developments in the Built Environment,26661659,10.1016/j.dibe.2020.100020,"We argue that the representation and formalization of complex engineering knowledge is the main aim of inquiries in the scientiﬁc ﬁeld of Advanced Engineering Informatics. We introduce ontology and logic as underlying methods to formalize knowledge. We also suggest that it is important to account for the purpose of engineers and the context they work in while representing and formalizing knowledge. Based on the concepts of ontology, logic, purpose, and context, we discuss different possible research methods and approaches that scholars can use to formalize complex engineering knowledge and to validate whether a speciﬁc formalization can support engineers with their complex tasks. On the grounds of this discussion, we suggest that Advanced Engineering research efforts should be conducted in a bottom-up manner closely involving engineering practitioners. We also suggest that researchers make use of social science methods while eliciting knowledge to formalize and while validating their formalized knowledge.",2020-11-01 00:00:00,,,1.0,Methodology - why and how this approach has been chosen for the Thesis
16,journalArticle,"İzmirli, Damla; Ekren, Banu Y.; Kumar, Vikas; Pongsakornrungsilp, Siwarit",Omni-Chanel Network Design towards Circular Economy under Inventory Share Policies,Sustainability,2071-1050,10.3390/su13052875,"In this paper, we study inventory share policies in an omni-channel supply network, to contribute to the circular economy (CE) concept. Lateral inventory share implementation provides ﬂexibility and proﬁtability in the supply chain by allowing inventory share between the same echelon locations in a network. Total holding costs and transportation costs can be reduced by lateral inventory share applications, which also contribute to decreased material usage for production over time, as well as reduced CO2 emission released by transportation. Technological and Internet of Things (IoT) developments make it possible for companies to share their real-time information with each other for uninterrupted marketing experiences. With such a connected network, companies aim to increase their proﬁtability and responsiveness to their customers. We explore a well-designed inventory share policy towards the CE concept under an (s, S) inventory control policy. We simulate several pre-deﬁned share designs by Arena 16.0 commercial software and compare their performances in terms of cost, responsiveness, transportation frequency, inventory held, etc. The results show that, by the implementation of a well-designed lateral inventory share policy, an omni-channel network can beneﬁt from decreased holding cost and transportation cost, contributing to the CE concept.",2021-03-07,,,3.0,tbd - look at conclusion to see what they exactly do. Inventory? 
17,journalArticle,"John, Dr Viola",von Baukomponenten (RE-USE),,,,No Abstract,,,,2.0,tbd
18,journalArticle,"Rose, Colin M; Stegemann, Julia A",Characterising existing buildings as material banks (E-BAMB) to enable component reuse,Proceedings of the Institution of Civil Engineers - Engineering Sustainability,"1478-4629, 1751-7680",10.1680/jensu.17.00074,"As-built records for existing buildings tend to be poor. Components that make up the existing building stock must be better characterised to prevent them becoming waste. The first record of materials in an existing building is often the waste report, which classifies materials for waste management and gathers information after the opportunity for higher-value reuse of components has passed. Policy at various levels aims to increase reuse, but an understanding of ‘existing buildings as material banks’ (E-BAMB) is a necessary precursor to overcoming other barriers. This paper reviews the current means of understanding E-BAMB and identifies its shortfalls. This analysis leads to the conception of a strategy in which the various approaches are organised as an information system. The future role of technology and mandatory provision of E-BAMB information at the planning stage are explored. The proposed system would enable specifiers, manufacturers and academics to assess the wealth of materials that can be reused, repurposed or upcycled in new projects or businesses. This does not guarantee that actual reuse will occur, as financial, technical and legal barriers may remain. However, it creates the context for assessing secondary components against their virgin equivalents and the enabling conditions for new circular business models.",2019-05-01,,,3.0,tbd
19,journalArticle,"Munaro, Mayara Regina; Tavares, Sergio Fernando",Materials passport's review: challenges and opportunities toward a circular economy building sector,Built Environment Project and Asset Management,2044-124X,10.1108/BEPAM-02-2020-0027,"Purpose – Reuse and recycling building materials depend on an efficient set of information and tracking, which can be obtained by the materials passport (MP) tool. Although MP introduces principles of circular economy (CE) and brings environmental, social and economic benefits, it is little-explored in the construction sector. The purpose of this study is to explore the adoption of the MP in the sector to raise awareness about this tool. This analysis leads to the conception of a model and identifies the main challenges and opportunities to increase MP implementation in the sector.",2021-10-21,,,1.0,Material Passports - Understanding and information (set of information)
20,journalArticle,"Bougrain, Frédéric; Laurenceau, Sylvain",Reuse of building components: an economic analysis,,,,"In France the building industry accounts for the largest share of greenhouse gas emissions. It represents about one quarter of France’s national emissions. To deal with this challenge, the French energy transition for Green Growth law was adopted in July 2015. Buildings renovation, clean transport, renewable energy and the circular economy are at the agenda. The law sets several ambitious objectives for construction and demolition wastes (C&DW). The goal is to recycle 70% of construction and engineering waste by 2020 while around 60% of construction and demolition wastes (C&DW) are currently reused, recycled or recovered.",2017,,,3.0,Look at conclusion - Maybe good argument for reuse from economical side (?)
21,journalArticle,"Billiet, Lionel; Seys, Sophie",Vade-mecum pour le réemploi hors site,,,,No Abstract,2015,,,2.0,tbd
22,preprint,"Smeyers, Tijl; Deweerdt, Morgane; Mertens, Marilyn","Reuse Toolkit - The reclamation Audit, A guide to  inventory the reuse potential of construction products before demolition",,,,A guide to  inventory the reuse potential of construction products before demolition,,,,2.0,Process of Reuse according to INTERREG / ROTOR
23,journalArticle,"Guven, Gursans; Arceo, Aldrick; Bennett, Allison; Tham, Melanie; Olanrewaju, Bolaji; McGrail, Molly; Isin, Kaan; Olson, Alexander W.; Saxe, Shoshanna",A construction classification system database for understanding resource use in building construction,Scientific Data,2052-4463,10.1038/s41597-022-01141-8,"The building sector is a voracious consumer of primary materials. However, the study of building material use and associated impacts is challenged by the paucity of publicly available data in the field and the heterogeneity of data organization and classification between published studies. This paper makes two main contributions. First, we propose and demonstrate a building material data structure adapted from UniFormat and MasterFormat, two widely used construction classification systems in North America. Second, the dataset included provides fine grained material data for 70 buildings in North America. The dataset was developed by collecting design or construction drawings for the studied buildings and performing material takeoffs based on these drawings. The ontology is based on UniFormat and MasterFormat to facilitate interoperability with existing construction management practices, and to suggest a standardized structure for future material intensity studies. The data structure supports investigation into how form and building design are driving material use, opportunities to reduce construction material consumption and better understanding of how materials are used in buildings.",2022-02-09,,,1.0,Ontology UniFormat and MasterFormat; Dataset of building material data structure
24,journalArticle,"Sprecher, Benjamin; Verhagen, Teun Johannes; Sauer, Marijn Louise; Baars, Michel; Heintz, John; Fishman, Tomer",Material intensity database for the Dutch building stock: Towards Big Data in material stock analysis,Journal of Industrial Ecology,"1088-1980, 1530-9290",10.1111/jiec.13143,"Re-use and recycling in the construction sector is essential to keep resource use in check. Data availability about the material contents of buildings is significant challenge for planning future re-use potentials. Compiling material intensity (MI) data is time and resource intensive. Often studies end up with only a handful of datapoints. In order to adequately cover the diversity of buildings and materials found in cities, and accurately assess material stocks at detailed spatial scopes, many more MI datapoints are needed. In this work, we present a database on the material intensity of the Dutch building stock, containing 61 large-scale demolition projects with a total of 781 datapoints, representing more than 306,000 square meters of built floor space. This dataset is representative of the types of buildings being demolished in the Netherlands. Our data were empirically sourced in collaboration with a demolition company that explicitly focuses on re-using and recycling materials and components. The dataset includes both the structural building materials and component materials, and covers a wide range of building types, sizes, and construction years. Compared to the existing literature, this paper adds significantly more datapoints, and more detail to the different types of materials found in demolition streams. This increase in data volume is a necessary step toward enabling big data methods, such as data mining and machine learning. These methods could be used to uncover previously unrecognized patters in material stocks, or more accurately estimate material stocks in locations that have only sparse data available. This article met the requirements for a Gold-Gold JIE data openness badge described at http://jie.click/badges.",2022-02,,,2.0,Big Data in construction - tbd.
25,document,,bookletfcrbe-4_waste_product.pdf,,,,"This is one of a series of seven booklets that have been produced to serve as a taste of what the FCRBE project aims to achieve. The subjects span the broad spectrum of reuse, covering considerations before, during and after with useful information to guide and inspire working with reclaimed materials. The booklets also highlight environmental benefits, clarify grey areas and frequently asked questions regarding best practices, whilst sparking curiosity for a future where use is reuse.",,,,2.0,Information on reused elements - maybe also use in Introduction
26,document,,bookletfcrbe-2_fitness_for_use.pdf,,,,"This is one of a series of seven booklets that have been produced to serve as a taste of what the FCRBE project aims to achieve. The subjects span the broad spectrum of reuse, covering considerations before, during and after with useful information to guide and inspire working with reclaimed materials. The booklets also highlight environmental benefits, clarify grey areas and frequently asked questions regarding best practices, whilst sparking curiosity for a future where use is reuse.",,,,1.0,information on reusability by FCRBE
27,document,,Reclaimed building products guide,,,,A guide to procuring reclaimed building products and materials for use in construction projects,,,,2.0,Information on reused building elements
28,document,Geerts; Ghyoot; Naval,A guide for facilitating the integration of reclaimed building materials in large-scale projects and public tenders,,,,"This manual is intended to facilitate the integration of reclaimed building materials and products in a construction project. It is addressed to public owners, architects, contractors and anyone involved in construction projects. The manual has been developed with largescale projects and public tenders in mind. Its content, however, is perfectly applicable in the context of smaller and private developments. This manual is based on practical cases. We analysed construction projects of different scales and types, all of which have succeeded in integrating batches of reclaimed materials and products. We drew on these examples to develop a set of methods, advice and practical recommendations to help users of this guide achieve similar reuse targets. The manual is divided into two sections: - The first section, a general introduction, explains what reuse is, highlights the benefits of this practice, and lists the main sources of reclaimed products (from p.10 to p.22). - The second section is the core of the document. It develops different approaches to integrating reclaimed building elements in a construction project, throughout the different stages of the project development (from p.24 to p.65). The second section is structured following the general chronology of most project developments. It is based on a continuum ranging from the early definition of the brief to the actual building works. This timeline is punctuated by important steps. Each step marks a milestone in the concretisation of the project. Some of them correspond to the arrival of new actors in the process, notably the design team and contractors. We have focussed on seven steps, corresponding to the chapters of Section 2:",,,,3.0,Determine which information are needed to use reclaimed building elements; focus on first section. 
29,document,,"Review of existing pre-demolition tools, policies, resources for identifying, quantifying and organizing the reclamation of reusable elements.",,,,No Abstract,,,,2.0,tbd
30,document,,Passports for the Construction Sector,,,,"In the construction sector, passports are considered to be important means to achieving a more circular construction sector, as they promote reuse at the material, product, element and building levels. This guide is intended as a step towards the standardisation of passports for the construction sector. Platform CB’23 intends to stimulate the transition to a circular construction economy. The guide is relevant to anyone engaged in circular construction. Passports can be applied anywhere in the construction sector: in the buildings sector as well as in civil and hydraulic engineering (infrastructure). In addition, the guide is of interest to all kinds of parties involved in the construction sector - including clients and contractors. The guide was written for readers with different knowledge levels as regards circularity. However, they are assumed to have a basic knowledge of the construction sector. Specific terms related to circular construction are presented in orange and bold the first time that they are used in the text. The definitions of these terms can be found in the Circular Construction Lexicon (Platform CB’23, 2020a). This guide 2.0 is an updated version of guide 1.0, which was published last year. The introduction explains which parts are new.",,,,2.0,Information for Material Passports
31,journalArticle,"van den Berg, Marc; Voordijk, Hans; Adriaanse, Arjen",Recovering building elements for reuse (or not) – Ethnographic insights into selective demolition practices,Journal of Cleaner Production,9596526,10.1016/j.jclepro.2020.120332,"The construction industry faces growing socio-environmental pressures to close its material loops. Reuse of building elements can, accordingly, reduce both new production and waste. Before any element can be reused, demolition contractors ﬁrst need to recover it. Previous research has not yet explored why such ﬁrms opt to recover some elements and destruct other ones. This research therefore attempts to understand the (socio-technical) conditions which lead to the recovery of a building element for reuse. Data collection consisted of approximately 250 h of (ethnographic) participant observations during the course of a partial selective demolition project in the Netherlands, complemented with semi-structured interviews and project documentation. An analytic induction method was adopted to analyze the data collected. This resulted in a proposition strongly grounded in the data: a building element will be recovered for reuse only when the demolition contractor: (1) identiﬁes an economic demand for the element; (2) distinguishes appropriate routines to disassemble it; and (3) can control the performance until integration in a new building. In-depth insights and practical strategies are provided for each of the three recovery conditions that this proposition captures. Together, this could guide building practice to promote element reuse and lead to cleaner demolition processes.",2020-05-01 00:00:00,,,1.0,"Information which determine if an object is reusable or not (here from an ethnographic point of view) - can set reuse, reusepractice and need for information and reusability in relation to eachother - REUSABILITY! "
32,journalArticle,"Nakajima, Shiro; Russell, Mark",Working Commission W115 Construction Materials Stewardship,,,,"This report is mainly prepared for the objective No.4. The report is intended to provide an overview of the “Barriers for deconstruction” and “Barriers for reuse and recycle” across the world through a series of country reports. In 2005 the CIB Task Group 39 “Deconstruction” produced a report entitled: “Deconstruction and Materials Reuse, an International Overview” (CIB Publication 300). That report summarized the activities that were being conducted by ten countries regarding deconstruction processes and the design for disassembly. W115 members decided to provide an update on the effectiveness of their deconstruction an 8 material reuse programs with a particular emphasis on the barriers encountered and the means that have been employed to overcome these barriers.",,,,2.0,tbd - look at conclusion
33,journalArticle,"Coelho, Ana M Girão; Pimentel, Ricardo; Ungureanu, Viorel; Hradil, Petr; Kesti, Jyrki",European Recommendations for Reuse of Steel Products in Single-Storey Buildings,,,,"Using reclaimed structural steel members on a project is an effective strategy to reduce the environmental impact of a building by eliminating the energy required to recycle steelwork into new structural sections. The RFCS-funded project PROGRESS (PROvisions for GREater reuse of Steel Structures) focused on single-storey buildings, and it identified various reuse scenarios, depending on the form of construction. It also showed how these structures can be designed to facilitate reuse of the structure or its primary components. The scope of physical reuse of structural steel is limited to: • Members to be reused should not be subject to localised corrosion or damage, • All members to be reused should come from a building structure first constructed after 1970, which is about the time when the Limit State design became common practice, • All salvaged primary members are rolled steel sections. Welded and built-up members are not included in the scope of this document, • For members to be reused, they must be recovered in as much of their original intact length as possible, although some additional fabrication and preparation work may be required. Functional reusability requirements are set out in this publication but the economic value and environmental benefits of reuse are not covered in detail. This document also addresses the key aspects that designers need to take into account in order to facilitate greater reuse of steel structures and also presents some examples of structural reuse.",,,,1.0,Reuse of Steel elements - information
34,journalArticle,"Brütting, Jan; De Wolf, Catherine; Fivet, Corentin",The reuse of load-bearing components,IOP Conference Series: Earth and Environmental Science,1755-1315,10.1088/1755-1315/225/1/012025,"Load-bearing systems of buildings are poorly valued when they reach functional obsolescence. Still, they contribute the most to the material weight and embodied impacts of buildings and infrastructures. The reuse of structural components therefore offers great potential to save materials, energy and resources. While historic and contemporary projects highlight the environmental, time or cost benefits of building with reclaimed elements, many technological challenges remain. This paper gives an overview of buildings that efficiently reuse structural components as well as a review of current research efforts addressing structural reuse. The first case study is the design process of an elastic gridshell made from reclaimed skis. This project demonstrates the potential of ensuring structural performance while working with uncharacterized and heterogeneous materials. In general, designing structures from a stock of reclaimed elements entails reversing the conventional structural design process. The synthesis of structures has to follow the availability of elements and their mechanical and geometric properties. Developed tools that facilitate such design from reused elements while minimizing embodied environmental impacts are presented in this paper. A second case study demonstrates the relevance of such tools through a conceptual train station roof made from electric pylon elements. Lastly, some key challenges related to the design of structural systems from reused elements are presented. These research initiatives constitute a first step to understand and support the design of load-bearing systems from reused elements and hence to bring the construction industry closer to circular economy.",2019-02-24 00:00:00,,,1.0,Reuse of Load bearing components - Steel beam reuse - information 
35,journalArticle,"Dunant, Cyrille F.; Drewniok, Michał P.; Sansom, Michael; Corbey, Simon; Cullen, Jonathan M.; Allwood, Julian M.",Options to make steel reuse profitable: An analysis of cost and risk distribution across the UK construction value chain,Journal of Cleaner Production,09596526,10.1016/j.jclepro.2018.02.141,"Although steel reuse has been identiﬁed as an effective method to reduce the carbon and energy impact of construction, it is in effect only a marginal practice. A detailed analysis of the costs and risks of reuse in practice in the UK is lacking. We found that although there is a sufﬁcient spread between the price of steel scrap and new steel, this difference cannot be captured by the demolition contractors. Rather, reused steel is somewhat more expensive than new elements, except in certain circumstances such as when the reused elements are available from a nearby site, or when testing elements can be avoided. Further, we show that neither the costs of steel reuse, nor the risks, nor its beneﬁts are spread equitably throughout the construction industry supply chain: most of the substantial and capital-intensive changes required for the widespread adoption of steel reuse are concentrated on steelwork contractors and stockists. Based on this analysis, we suggest helping the emergence of a specialised stockist.",2018-05-01 00:00:00,,,2.0,Read Conclusion - Helpful for information on steel beam reuse (also barriers?)
36,report,"Massop, Jur",Metals Value Chain Report,,,,"A huge industry is involved in mining the raw material, smelting it into billets or bars and processing it to create a finished product ready for use. We’re talking of course, about metal products. Next to “virgin” metal (metal from primary resources, e.g. iron ore), recycled or ‘scrap’ metal is used to create products. Whilst the use of recycled metals saves a lot of energy and processes compared to virgin metals production, the use of virgin metal is still a necessity. This is due to the demand of metal products exceeding the supply of scrap, and because desired composition of metal products is achieved by diluting recycled metal with virgin material. Moving toward using 100% recycled, healthy metals for products will require a more symbiotic and collaborative approach from all players within the field. In this report, the challenges of the metals recycling industry moving towards a circular economy are detailed. Both mechanical and health related issues must be dealt with, if the industry is to move to 100% recyclable and/or more recycled products and materials.",2019-02-28 00:00:00,,,3.0,"Look more in depth if reuse is also a topic. If not, discard"
37,document,"MAQUENHEM, Thibault",Méthodologie de diagnostic et d'évaluation des performances pour le réemploi des éléments d'ossature en acier,,,,No Abstract,,,,3.0,Reuse of Steel components - information (tbd)
