Authors,Title,Year,Source title,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source
"Li D., Huang C.","Thermal insulation performances of carbonized sawdust packed bed for energy saving in buildings",2022,"Energy and Buildings","10.1016/j.enbuild.2021.111625","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118590785&doi=10.1016%2fj.enbuild.2021.111625&partnerID=40&md5=6144ad0674ca734af056e761c0938076","Sawdust, a natural and renewable material from wood processing, has become more and more widely reused in biomass-based thermal insulating material preparation. However, there is still a lack of biomass-based thermal insulating material, which should possess a characteristic of easily preparation but high thermal insulation performance. Herein, we developed an eco-friendly thermal insulation material by firstly pre-pressing sawdust powder into packed bed and then carbonizing the sawdust bed into porous carbon bed. The influences of the bed structure, environmental temperatures and humidity on the thermal conductivity of the prepared beds were firstly investigated. Results turn out that the carbonized pine sawdust packed (CPP) bed could have a low thermal conductivity of about 0.062 Wm-1K-1. A high intrinsic porosity of sawdust particle, high porosity of bed, and spherical shape of pores in the CPPs are preferred for reducing the thermal conductivity. Moreover, the prepared CPPs not only possess hydrophobicity but also show excellent reusability and structural stability. The thermal conductivity of CPPs can be fully recovered without obvious structure collapse, if dried again after placed under a relative humidity of 60% for more than 24 h. Importantly, the CPPs has excellent flame-retardant and smoke-free property because of the carbonization treatment in the preparation, and it can self-extinguish within 6 s in the vertical burning test. This work provides a facile and sustainable strategy to manufacture thermal insulation material from recycling waste bioresources, which has potential for future energy saving in buildings. © 2021 Elsevier B.V.","Building insulation; Carbon porous material; Flame self-extinction; Sawdust; Thermal conductivity","Carbon; Carbonization; Porosity; Porous materials; Reusability; Smoke; Stability; Thermal insulating materials; Thermal insulation; Building insulations; Carbon porous materials; Energy - saving in buildings; Flame self-extinction; Insulation performance; Natural materials; Renewable materials; Thermal insulation materials; Thermal-insulating materials; Wood processing; Thermal conductivity",Article,Scopus
"Verma M., Lee I., Hong Y., Kumar V., Kim H.","Multifunctional β-Cyclodextrin-EDTA-Chitosan polymer adsorbent synthesis for simultaneous removal of heavy metals and organic dyes from wastewater",2022,"Environmental Pollution","10.1016/j.envpol.2021.118447","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118566836&doi=10.1016%2fj.envpol.2021.118447&partnerID=40&md5=9e6015ff3baa85a2308312ddb8a5ac84","Heavy metals and organic dyes are the major source of water pollution. Herein, a trifunctional β−cyclodextrin−ethylenediaminetetraacetic acid−chitosan (β−CD−EDTA−CS) polymer was synthesized using an easy and simple chemical route by the reaction of activated β−CD with CS through EDTA as a cross-linker (amidation reaction) for the removal of inorganic and organic pollutants from aqueous solution under different parameters such as pH, time effect, initial concentration, reusability, etc. The synthesized adsorbent was characterized using powder X-ray diffraction, Fourier transform infrared spectroscopy, field scanning electron microscopy, energy dispersive spectroscopy, Brunauer-Emmett-Teller (BET), thermogravimetric analyzer techniques to investigate their structural, functional, morphological, elemental compositions, surface area and thermal properties, respectively. Two types of heavy metals, i.e., mercury (Hg2+) and cadmium (Cd2+), and three organic dyes, i.e., methylene blue (MB), crystal violet (CV) and safranin O (SO) were chosen as inorganic and organic pollutants, respectively, to study the adsorption capacity of β-CD-EDTA-CS in aqueous solution. The β-CD-EDTA-CS shows monolayer adsorption capacity 346.30 ± 14.0 and 202.90 ± 13.90 mg g−1 for Hg2+ and Cd2+, respectively, and a heterogeneous adsorption capacity 107.20 ± 5.70, 77.40 ± 5.30 and 55.30 ± 3.60 mg g−1 for MB, CV and SO, respectively. Kinetics results followed pseudo-second order (PSO) kinetics behavior for both metal ions and dyes, and higher rate constants values (0.00161–0.00368 g mg−1 min−1) for dyes confirmed the cavitation of organic dyes (physisorption). In addition, we have also demonstrated the performance of β-CD-EDTA-CS for the of four heavy metals Hg2+, Cd2+, Ni2+, and Cu2+ and three dyes MB, CV, and SO in secondary treated wastewater. Findings of this study indicate that β-CD-EDTA-CS simple and essay to synthesize and can be use in wastewater treatment. © 2021","Adsorption isotherms; Adsorption mechanism; Amino-β-cyclodextrin; Heavy metal ions; Organic dyes; Simultaneous adsorption","Adsorption isotherms; Aromatic compounds; Chemicals removal (water treatment); Chitosan; Coordination reactions; Crosslinking; Dyes; Energy dispersive spectroscopy; Fourier transform infrared spectroscopy; Heavy metals; Kinetics; Metal ions; Monolayers; Nickel compounds; Organic pollutants; Photocatalytic activity; Physisorption; Rate constants; Reusability; Scanning electron microscopy; Stripping (dyes); Wastewater treatment; Water pollution; Adsorption capacities; Adsorption mechanism; Amino-β-cyclodextrin; Crystal violet; Heavy metal ion; Organic dye; Simple++; Simultaneous adsorption; Synthesised; β-CD; Cyclodextrins; beta cyclodextrin; cadmium; chitosan; copper; crystal violet; dye; edetic acid; mercury; methylene blue; nickel; safranin O; unclassified drug; beta cyclodextrin derivative; coloring agent; edetic acid; heavy metal; polymer; adsorption; dye; heavy metal; ion exchange; isotherm; polymer; wastewater treatment; adsorption; amidation; analysis; aqueous solution; Article; Brunauer Emmett Teller; chemical reaction; concentration (parameter); energy dispersive X ray spectroscopy; Fourier transform infrared spectroscopy; heavy metal removal; kinetics; pH; pollutant; rate constant; recycling; scanning electron microscopy; surface area; synthesis; thermal analysis; thermogravimetry; time factor; waste water management; wastewater; X ray diffraction; wastewater; water pollutant; Adsorption; beta-Cyclodextrins; Chitosan; Coloring Agents; Edetic Acid; Hydrogen-Ion Concentration; Kinetics; Metals, Heavy; Polymers; Waste Water; Water Pollutants, Chemical",Article,Scopus
"Lian J., Li H., Li N., Cai Q.","An Adaptive Mesh Segmentation via Iterative K-Means Clustering",2022,"Lecture Notes in Electrical Engineering","10.1007/978-981-16-6320-8_20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117944572&doi=10.1007%2f978-981-16-6320-8_20&partnerID=40&md5=4c54fa711a2772b9d1e6959bc6c29805","In order to improve the reusability of part structural mesh modules, a structural mesh segmentation algorithm based on K-means clustering is proposed. In view of the complex topology of the structural grid, which is prone to over-segmentation and fuzzy boundary, the mesh is mapped into a plane graph and processed on its dual graph. The K value is set as a controllable variable, and the K-means iterative clustering is used to achieve meticulous segmentation. Furthermore, the adaptive mesh segmentation is implemented interactively according to the user’s requirements. Experimental results show that the proposed method has realized good segmentation results and friendly real-time interaction. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","3D segmentation; Iterative clustering; Real-time interaction","Image segmentation; Iterative methods; Mesh generation; Reusability; Topology; 3D segmentation; Adaptive meshes; Complex topology; Iterative clustering; K-means++ clustering; Mesh module; Mesh segmentation; Real time interactions; Segmentation algorithms; Structural meshes; K-means clustering",Conference Paper,Scopus
"Qin F., Qiu S., Gao S., Bai J.","3D CAD model retrieval based on sketch and unsupervised variational autoencoder",2022,"Advanced Engineering Informatics","10.1016/j.aei.2021.101427","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117697745&doi=10.1016%2fj.aei.2021.101427&partnerID=40&md5=b325d14d78b51e3fbbb2eff3c852b12d","How to quickly, accurately retrieve and effectively reuse 3D CAD models that conform to user's design intention has become an urgent problem in product design. However, there are several problems with the existing retrieval methods, like not being fast, or accurate, or hard to use. Hence it is difficult to meet the actual needs of the industry. In this paper, we propose a 3D CAD model retrieval approach that considers the speed, accuracy and ease of use at the same time, based on sketches and unsupervised learning. Firstly, the loop is used as the fundamental element of sketch/view, and automatic structural semantics capture algorithms are proposed to extract and construct attributed loop relation tree; Secondly, the recursive neural network based deep variational autoencoders is constructed and optimized to transform arbitrary shapes and sizes of loop relation tree into fixed length descriptor; Finally, based on the fixed length vector descriptor, the sketches and views of 3D CAD models are embedded into the same target feature space, and k-nearest neighbors algorithm is adopted to conduct fast CAD model matching on the feature space. In this manner, a prototype 3D CAD model retrieval system is developed. Experiments on the dataset containing about two thousand 3D CAD models validate the feasibility and effectiveness of the proposed approach. © 2021 Elsevier Ltd","Deep learning; Model retrieval; Sketch; Structural semantics; Unsupervised learning","3D modeling; Computer aided design; Deep learning; Forestry; Information retrieval; Nearest neighbor search; Product design; Self organizing maps; Semantics; Vector spaces; Auto encoders; CAD model retrieval; CAD models; Deep learning; Descriptors; Feature space; Model retrieval; Reuse; Sketch; Structural semantics",Article,Scopus
"Verma M., Lee I., Oh J., Kumar V., Kim H.","Synthesis of EDTA-functionalized graphene oxide-chitosan nanocomposite for simultaneous removal of inorganic and organic pollutants from complex wastewater",2022,"Chemosphere","10.1016/j.chemosphere.2021.132385","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115956533&doi=10.1016%2fj.chemosphere.2021.132385&partnerID=40&md5=547329e309d5e6a2ec3346c15eb29283","Discharging of inorganic and organic pollutants creates a serious threat to the human health and the environment. In the current work, we have synthesized Ethylenediaminetetraacetic acid (EDTA) functionalized graphene oxide-chitosan nanocomposite (GO-EDTA-CS) for simultaneous removal of inorganic (i.e., mercury (Hg(II) and copper (Cu(II)) and organic pollutants (i.e., methylene blue (MB) and crystal violet (CV)) from wastewater via adsorption process. The structural, functional, morphological, elemental compositions, surface area and thermal properties of the synthesized nanocomposite were identified using powder X−ray diffraction (XRD), Fourier transform infrared spectroscopy (FTIR), field scanning electron microscopy (FESEM), energy dispersive spectroscopy (EDS), Brunauer−Emmett−Teller (BET), and thermogravimetric analyzer (TGA), respectively. Different batch adsorption experiments such as pH effect, contact time, initial pollutants concentration, reusability etc. were studied in monocomponent system to optimize the results. The adsorption process apparently followed pseudo−second−order (PSO) kinetics for both pollutants, however the adsorption kinetics was also explained by the intra−particle diffusion model. The isotherm data for both metals ions and dyes were well fit by the Langmuir isotherm model. The maximum adsorption capacities of the adsorbent were determined 324 ± 3.30 130 ± 2.80, 141 ± 6.60, and 121 ± 3.50 mg g−1 for Hg(II), Cu(II), MB, and CV, respectively. The excellent adsorption capacity was attributed to the availability of various active functional groups (e.g., –COOH, –OH, –NH2, etc.) on the adsorbent. The EDS, elemental mapping and FTIR analysis performed before and after the adsorption of heavy metals and dyes by GO-EDTA-CS confirmed the simultaneous adsorption of the pollutants. Moreover, GO-EDTA-CS could maintain its adsorption capacity for both inorganic and organic pollutants even after seven cycles of adsorption-desorption, indicating itself a promising adsorbent for practical wastewater treatment containing both inorganic and organic toxic pollutants. © 2021","Kinetics; Monolayer adsorption; Multiple pollutants; Reproducibility; Wastewater","Adsorption; Aromatic compounds; Chitosan; Copper compounds; Dyes; Ethylenediaminetetraacetic acid; Fourier transform infrared spectroscopy; Graphene; Health risks; Heavy metals; Isotherms; Mercury compounds; Monolayers; Nanocomposites; Organic pollutants; pH effects; Reusability; Scanning electron microscopy; Wastewater treatment; Adsorption capacities; Functionalized; Inorganics; Mercuries (Hg); Methylene Blue; Monolayer adsorption; Multiple pollutants; Reproducibilities; Simultaneous removal; Synthesised; Kinetics; adsorbent; chitosan nanoparticle; crystal violet; cupric ion; edetic acid; graphene oxide; inorganic compound; mercury; methylene blue; organic compound; chitosan; edetic acid; graphene oxide; graphite; nanocomposite; inorganic compound; nanocomposite; organic pollutant; oxide; pollutant removal; polymer; wastewater treatment; adsorption; adsorption kinetics; Article; chemical composition; chemical structure; concentration (parameter); contact time; controlled study; desorption; diffusion; energy dispersive X ray spectroscopy; field emission scanning electron microscopy; first order rate constant; Fourier transform infrared spectroscopy; isotherm; organic pollution; static electricity; surface area; synthesis; thermal analysis; thermogravimetry; waste component removal; waste water management; X ray powder diffraction; human; infrared spectroscopy; kinetics; pollutant; wastewater; water pollutant; Adsorption; Chitosan; Edetic Acid; Environmental Pollutants; Graphite; Humans; Kinetics; Nanocomposites; Spectroscopy, Fourier Transform Infrared; Waste Water; Water Pollutants, Chemical",Article,Scopus
"Sindhu A.S., Shinde N.B., Harish S., Navaneethan M., Eswaran S.K.","Recoverable and reusable visible-light photocatalytic performance of CVD grown atomically thin MoS2 films",2022,"Chemosphere","10.1016/j.chemosphere.2021.132347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115935183&doi=10.1016%2fj.chemosphere.2021.132347&partnerID=40&md5=f0de670f96d887d5f06446f1224a28a7","The decomposition of water pollutants including industrial dyes and chemicals via photocatalytic decontamination is one of the major investigated problems in recent years. Two-dimensional molybdenum disulfide (MoS2) layers have shown great promise as an efficient visible-light photocatalyst owing to its numerous active sites and large surface area. In this study, atomically thin MoS2 films of different thicknesses from monolayer to five-layer and ten layers were fabricated on sapphire substrates using chemical vapor deposition (CVD). We demonstrate that these MoS2 thin films can be used as a photocatalyst to degrade Methylene Blue (MB) dye and can be recovered completely with utmost structural and chemical stability. Under visible-light irradiation, the MB absorption peak completely disappears with ∼95.6% of degradation after 120 min. We also demonstrate the reusability of the MoS2 thin films without significantly losing the photocatalytic activity even after 5-cycles of degradation studies. The chemical and structural stability of the MoS2 films after 5-cycles of degradation studies were affirmed using various spectroscopic studies. Our findings suggest that the MB degradation efficiency increases from 19.01% to 98.46% with an increase in pH from 4 to 14. Our approach may facilitate a further design of other transition metal dichalcogenides-based recoverable photocatalysts for industrial applications. © 2021 Elsevier Ltd","2D Layers; CVD; Dye-degradation; MoS2; Photocatalysis","Aromatic compounds; Chemical stability; Dyes; Layered semiconductors; Light; Molybdenum compounds; Photocatalytic activity; Photodegradation; Reusability; Rhodium compounds; Sapphire; Spectroscopic analysis; Sulfur compounds; Thin films; Transition metals; Water pollution; 2D layer; Chemical vapour deposition; Decomposition of waters; Degradation study; Dye degradation; Photocatalytic decontaminations; Photocatalytic performance; Thin-films; Two-dimensional; Water pollutants; Chemical vapor deposition; disulfide; methyl orange; methylene blue; molybdenum; rhodamine B; transition element; coloring agent; catalysis; catalyst; decomposition; detection method; inorganic compound; molybdenum; pollutant removal; transition element; water pollution; absorption; Article; chemical vapor deposition; gas; nanofabrication; pH; photocatalysis; photodegradation; Raman spectrometry; spectroscopy; X ray photoemission spectroscopy; catalysis; light; Catalysis; Coloring Agents; Light; Molybdenum",Article,Scopus
"Ketata A., Guidara A., Bouguecha A., Bouaziz J., Haddar M.","Aluminum Alloy Chips Regeneration by Sintering",2022,"Lecture Notes in Mechanical Engineering","10.1007/978-3-030-84958-0_41","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115866469&doi=10.1007%2f978-3-030-84958-0_41&partnerID=40&md5=0b3b2072d7982a6d53ecb5319b9ca6c2","The foundry process was aluminum reuse path to which we are accustomed. However, the contemporary idea consists on aluminum chips valorization to obtain finished parts with significant height change. Therefore, the approach of metal waste regeneration is based on direct use of machining chips into consolidated pellets by sintering. This paper assessed the influence of the grain size on the sintering of compacted EN AW 5083 aluminum alloy chips. In particular, it investigates the structural and mechanical properties of sintered samples that are not only depending on particle size distribution but also on implementation’ conditions such as the compacting pressure and the thermal treatment. Indeed, in order to highlight the compacting machine kinematics influence, the behavior of compacted pellets at two different pressures will be compared. Added to that, from pellets’ mechanical response, a characterization model is deduced to predict mechanical behavior for other subsequent uses more complex. This model is named Dracker–Prager Cap which is one of the families of plasticity models. It describes the aluminum shaving’s behavior in which the yield behavior depends on the equivalent pressure stress. Thus, this material modeling is applied in the numerical simulation based on the finite element calculation (FE) which allows a significant role in describing the compacting as well as sintering processes. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Aluminum; Chips; Compacting; Mechanical properties; Modeling; Recycling; Simulation; Sintering","Aluminum alloys; Particle size; Particle size analysis; Pelletizing; Alloy chips; Chip; Compacting; Direct use; Machining chips; Modeling; Recycling; Reuse; Simulation; Valorisation; Sintering",Conference Paper,Scopus
"Imranullah M., Hussain T., Ahmad R., Shuaib U., Imran shakir","Spinel nickel cobaltite nanoflakes anchored multiwalled carbon nanotubes driven photocatalyst for highly efficient degradation of organic pollutants using natural sunlight irradiation",2022,"Ceramics International","10.1016/j.ceramint.2021.09.106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115058864&doi=10.1016%2fj.ceramint.2021.09.106&partnerID=40&md5=e935a1c4e340ef6fbf019bc7dfffa95c","Natural sun light driven photocatalytic materials have received remarkable attention due to their imminent applications in environmental remediation and energy conversions. In this study, natural sun light driven hierarchal spinel nickel cobaltite nanoflakes (NiCo2O4) anchored multiwalled carbon nanotubes (MWCNTs) nanocomposite was synthesized by using simple chemical route. The structural, morphological and functional group of as-prepared NiCo2O4 anchored MWCNTs was studied by using X-ray diffractometry, field emission scanning electron microscopy and Fourier transform infrared spectroscopy. The UV–vis diffusive reflectance spectroscopy results demonstrated decrease in optical bandgap from 1.32 to 1.16eV compared with pristine spinel NiCo2O4 nanoflakes. MWCNTs anchored NiCo2O4 showed extremely good photocatalytic behavior and we verified 98% degradation of MB in 35 min under natural sun light. NiCo2O4 anchored MWCNTs also confirmed its excellent stability and reusability by retaining 96% of photocatalytic efficiency after 7 cycles of operation. Improved photocatalytic behavior of NiCo2O4 anchored MWCNTs nanocomposite in comparison to NiCo2O4 nanoflakes is mainly attributed to excellent electron storage ability of MWCNTs which made catalyst a great acceptor. Moreover, porous structure of MWCNTs not only provides large surface area with more active sites but also increases conductivity and decreases agglomerations on the surface of material which render e-/h+ pair recombination. Overall, this work shed new light for the synthesis of NiCo2O4 anchored MWCNTs with enhanced photocatalytic properties. © 2021","Dye degradation; Natural sun light; NiCo2O4 anchored MWCNTs; Organic pollutants; Photocatalytic","Field emission microscopes; Fourier transform infrared spectroscopy; Multiwalled carbon nanotubes (MWCN); Nanocomposites; Nickel; Nickel compounds; Organic pollutants; Photocatalytic activity; Reusability; X ray diffraction analysis; Carbon nanotube nanocomposites; Dye degradation; Multi-walled-carbon-nanotubes; Nano-flakes; Natural sun light; Natural sunlight; Nico2O4 anchored multiwalled carbon nanotube; Photo-catalytic; Photocatalytic behaviors; Sunlight irradiation; Scanning electron microscopy",Article,Scopus
"Wei Z., Feng D., Li J., Lin Y., Zhang H.","Nanosheet array-like Cu@Cu2O-CuNiAl(O)/rGO composites for highly efficient reduction of nitrophenol: Electronic and structure promotion effect of nickel",2022,"Chemical Engineering Journal","10.1016/j.cej.2021.131659","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113174551&doi=10.1016%2fj.cej.2021.131659&partnerID=40&md5=ce937db6c7984ffa011f6324cfaa6cdb","Series of hierarchical nanosheet array-like composites xCu@Cu2O-CuNiAl(O)/rGO (x = 1.0, 1.5, 2.0) were constructed via proper calcination of pre-prepared hybrids CuxNi3-xAl-layered double hydroxide/rGO in N2 flow, upon the LDH layer atomic-level lattice confined in situ self-reduction for Cu2+ ions by rGO substrate along with the dispersion effect of Ni-OH groups. Systematic characterizations reveal that core@shell-type Cu@Cu2O nanoparticles (NPs) are definitely trapped in the border space among the vertically adjacent CuNiAl(O) nanosheets and rGO substrates. All the xCu@Cu2O-CuNiAl(O)/rGO composites exhibit excellent catalytic activities for the reduction of 4-nitrophenol (4-NP), particularly 1.5Cu@Cu2O-CuNiAl(O)/rGO possesses the highest activity (kapp: 7.6 × 10-2 s−1, TOF: 265.0 h−1), and superb reusability with insignificant loss in activity for continuous 25 cycles, much better than those of recently reported Cu-based catalysts and even comparable to some noble metal catalysts. The best performance of 1.5Cu@Cu2O-CuNiAl(O)/rGO can be mainly attributed to the most uniformly dispersed electrophilic core@shell Cu@Cu2O NPs modified by NiO species structurally and electronically, the strongest Cu–Cu2O–CuNiAl(O)–rGO synergistic effect upon the unique nanosheet array-like morphology providing more ion-accessible active sites, and much improved adsorption for 4-NP via rGO layer due to π-π stacking. The universality and fixed bed tests further demonstrate potential practical applications of the present hierarchical non-noble composites for water remediation. The present facile synthesis strategy of the nanosheet array-like Cu@Cu2O-CuNiAl(O)/rGO composites with multi-phases synergy may be greatly beneficial to the design and construction of many other highly efficient multi-transition metal-based catalysts with excellent structural robustness for a broad range of applications in related catalysis processes. © 2021 Elsevier B.V.","core@shell-type Cu@Cu2O nanoparticles; Cu−Cu2O−CuNiAl(O)−rGO synergy; In situ self-reduction by rGO; Nanosheet array-like composites; NiO; Nitrophenol reduction","Catalyst activity; Copper oxides; Morphology; Nanoparticles; Nanosheets; Nickel oxide; Phenols; Precious metals; Reusability; Substrates; % reductions; 4-Nitrophenol; Core@shell-type cu@cu2O nanoparticle; Cu−cu2O−cunial(O)−rGO synergy; In situ self-reduction by rGO; Nanosheet array-like composite; Nanosheet arrays; Nitrophenol reduction; Nitrophenols; Promotion effects; Shells (structures)",Article,Scopus
"Teli M.D., Terega J.M.","Solvent-free acetylation of Ensete ventricosum plant fibre to enhance oleophilicity",2022,"Journal of the Textile Institute","10.1080/00405000.2021.1957292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112595527&doi=10.1080%2f00405000.2021.1957292&partnerID=40&md5=a2d5e30e457d879466e6df63bce15d86","Acetylation, as a well-established method of fibre modification, is used to overcome the hydrophilic nature of cellulosic fibres and impart oleophilicity. Extension of this method to modify lignocellulosic fibres became the current interest of various researches. To the best of our knowledge, modification of Ensete ventricosum plant (EV) fibre using acetic anhydride was hitherto unexplored. In this work, EV fibre was effectively acetylated with acetic anhydride using N-bromosuccinimide (NBS) as a catalyst and the potential of modified EV fibre for oil sorption was further studied. Effects of temperature, time and liquid-to-material ratio (LMR) on weight percent gain (WPG) and oil absorptivity (OA) of the modified EV fibre were investigated. The changes in morphological, structural and thermal properties of modified EV fibre, in comparison to untreated fibre, were further analysed using FTIR, XRD, TGA and SEM. Solvent free acetylation at 120 °C for 3 h with LMR of 30:1 using 2% w/v NBS resulted WPG of 14.1% and OA of 19.7 g oil/g fibre. The modified material showed good reusability as a low cost biodegradable oil sorbent in oil spill clean-up. © 2021 The Textile Institute.","acetylation; Ensete ventricosum; N-bromosuccinimide; oil sorbent; thermal stability","Acetylation; Oil spills; Reusability; Acetic anhydrides; Bio-degradable oil; Cellulosic fibre; Effects of temperature; Fibre modifications; Lignocellulosic fibres; Modified materials; N-bromosuccinimide; Fibers; Acetic Anhydride; Acetylation; Fibers; Interest; Oil; Plants; Solvents; Thermal Properties",Article,Scopus
"Zhang S., Ren X., Zhou X., Gao H., Wang X., Huang J., Xu X.","Hierarchical multi-active component yolk-shell nanoreactors as highly active peroxymonosulfate activator for ciprofloxacin degradation",2022,"Journal of Colloid and Interface Science","10.1016/j.jcis.2021.07.130","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111959329&doi=10.1016%2fj.jcis.2021.07.130&partnerID=40&md5=5dd37e304a74c8a822f15840b9c7a71e","The reasonable design of the structure and composition of catalysts was essential to improve the catalytic performance of advanced oxidation processes (AOPs). Herein, we reported a simple strategy to synthesize hierarchical Co3O4-C@CoSiOx yolk-shell nanoreactors with multiple active components by using metal–organic frameworks (MOFs). The novel nanoreactors are further used to activate peroxymonosulfate (PMS) for ciprofloxacin (CIP) degradation. The effects of reaction parameters (pH value, co-existing ions, reaction temperature, etc.) on CIP degradation were systematically investigated. Especially, ∼98.2% of CIP was degraded within 17 min under the optimal conditions, together with the low cobalt leaching and excellent reusability. The appreciable catalytic performance improvement might be due to the synergistic effect of the structure and component design: (1) the hierarchical yolk-shell structure endowed the catalyst with high surface area (∼232.47 m2/g) and fully exposed active sites; (2) abundant highly active ≡Co-OH+ were formed on the surface of CoSiOx; (3) the presence of oxygen vacancies and nitrogen-doped carbon promoted the decomposition of PMS through a non-radical process. The results revealed both the radical (SO4∙-, ∙OH and O2∙-) and non-radical (1O2 and direct charge transfer) should be responsible for the CIP degradation. Moreover, the possible degradation pathways of CIP were proposed through the identification of intermediates using LC-MS/MS techniques and density functional theory (DFT) calculation. Our work highlights that multi-component catalysts derived from MOFs with novel structure have broad application prospects in AOPs. © 2021 Elsevier Inc.","Catalytic mechanism; Degradation pathways; Multi-active component; Peroxymonosulfate; Yolk-shell structure","Antibiotics; Catalyst activity; Catalytic oxidation; Charge transfer; Density functional theory; Design for testability; Doping (additives); Nanoreactors; Reusability; Silicon; Advanced oxidation process; Catalytic performance; Degradation pathways; Direct-charge transfers; Multi component catalysts; Nitrogen-doped carbons; Reaction temperature; Yolk-shell structures; Structural design; ciprofloxacin; peroxide; peroxymonosulfate; liquid chromatography; nanotechnology; tandem mass spectrometry; Chromatography, Liquid; Ciprofloxacin; Nanotechnology; Peroxides; Tandem Mass Spectrometry",Article,Scopus
"Ruiz-Castillo A.L., Hinojosa-Reyes M., Camposeco-Solis R., Ruiz F.","Reusability in visible light of titanate nanotubes for the removal of organic pollutants: role of calcination temperature",2022,"Environmental Technology (United Kingdom)","10.1080/09593330.2020.1866085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099551986&doi=10.1080%2f09593330.2020.1866085&partnerID=40&md5=5a533428d0502396ef94dd5e9677c1a8","Titanate nanotubes (NTs) were synthesised by the hydrothermal method and later calcined at temperatures between 100–500°C. The calcined NTs were characterised and evaluated in the physicochemical adsorption of the safranin dye and photocatalytic degradation of caffeine. The materials calcined at low temperatures displayed a tubular structure and the H2Ti3O7 crystalline phase, which was transformed into anatase nanoparticles at 400°C. The NTs treated at 100°C showed the highest adsorption capacity (94%). Safranin was adsorbed through an ion-exchange mechanism, following the Langmuir isotherm and a pseudo-second-order kinetic model. While NTs calcined at lower temperatures were better for adsorption, the photocatalytic degradation of caffeine increased in samples calcined at higher temperatures with a maximum removal of 72%. The photocatalytic behaviour of the NT samples confirmed that the crystalline anatase structure in conjunction with structural OH groups enhanced the photocatalytic activity. The addition of isopropanol as a scavenger confirmed the important role played by the •OH radicals in the photocatalytic process. NTs calcined at 300°C were efficient for both adsorption and photocatalytic processes. Due to its efficiency, this sample was reused after dye adsorption for the photocatalytic degradation of caffeine under visible light due to its enhanced absorbance in the visible region. This research work shows the potential of NTs for wastewater purification. © 2021 Informa UK Limited, trading as Taylor & Francis Group.","adsorption; calcination temperature; photocatalysis; Titanate nanotubes; visible light","Adsorption; Caffeine; Calcination; Free radicals; Ion exchange; Isotherms; Light; Nanocrystalline materials; Nanotubes; Organic pollutants; Reusability; Titanium dioxide; Anatase nanoparticles; Calcination temperature; Ion exchange mechanisms; Photo catalytic degradation; Photocatalytic process; Physico-chemical adsorption; Pseudo-second-order kinetic models; Wastewater purification; Photocatalytic activity; 2 propanol; caffeine; nanotube; titanate nanotube; unclassified drug; titanium; absorbance; adsorption; catalysis; catalyst; degradation; nanoparticle; organic pollutant; research work; temperature effect; wastewater; wastewater treatment; adsorption; Article; calcination temperature; ion exchange; isotherm; light; photocatalysis; photodegradation; physical chemistry; synthesis; catalysis; chemistry; light; pollutant; temperature; Caffeine; Catalysis; Environmental Pollutants; Light; Nanotubes; Temperature; Titanium",Article,Scopus
"Xiao W., Niu B., Sun C., Yu M., Wang N., Zheng Y.","Poly(vinylidene Fluoride) Sandwiched Calotropis Gigantea Fiber: A Reusable Oil Sorbent with High-efficiency",2022,"Journal of Natural Fibers","10.1080/15440478.2020.1726248","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079431296&doi=10.1080%2f15440478.2020.1726248&partnerID=40&md5=24e5f7c8461c2de71bf0c5d337a854c5","A reusable oil sorbent was prepared via a facile phase inversion method by using poly(vinylidene fluoride) (PVDF) to assist the shape formation of Calotropis gigantea fiber (CGF). The resulting PVDF-s-CGF with PVDF:CGF of 3:2 (weight ratio) shows not only high structural stability but also good oil-absorbing capacity (18.81 g/g for carbon tetrachloride). With the water contact angles >129°, PVDF-s-CGF also shows excellent absorption selectivity for the oils. Finally, PVDF-s-CGF presents good reusability, and the absorption percentage is 84.11% for kerosene after 10 cycles. Therefore, PVDF-s-CGF will exhibit a great potential for large-scale application in oil absorption. © 2020 Taylor & Francis.","Calotropis gigantea fiber; high-efficiency; oil sorbent; poly(vinylidene fluoride); reusable","Efficiency; Fluorine compounds; Reusability; Stability; Water absorption; Absorption selectivities; Calotropis gigantea; High-efficiency; Large-scale applications; Poly (vinylidene fluoride)(PVDF); Poly(vinylidene fluoride); reusable; Structural stabilities; Computer software reusability; Capacity; Efficiency; Fibers; Fluorine Compounds; Oil Absorption; Shape; Stability; Water Absorption",Article,Scopus
