,Authors,Article Title,Document Type,Author Keywords,Abstract,DOI,DOI Link
131,"Jiang, XY; Wang, S; Liu, Y; Xia, B; Skitmore, M; Nepal, M; Ghanbaripour, AN",A method for the ontology-based risk management of PPP construction projects,Article; Early Access,,"Purpose With the increasing complexity of public-private partnership (PPP) projects, the amount of data generated during the construction process is massive. This paper aims to develop a new information management method to cope with the risk problems involved in dealing with such data, based on domain ontologies of the construction industry, to help manage PPP risks, share and reuse risk knowledge. Design/methodology/approach Risk knowledge concepts are acquired and summarized through PPP failure cases and an extensive literature review to establish a domain framework for risk knowledge using ontology technology to help manage PPP risks. Findings The results indicate that the risk ontology is capable of capturing key concepts and relationships involved in managing PPP risks and can be used to facilitate knowledge reuse and storage beneficial to risk management. Research limitations/implications The classes in the risk knowledge ontology model constructed in this research do not yet cover all the information in PPP project risks and need to be further extended. Moreover, only the framework and basic methods needed are developed, while the construction of a working ontology model and the relationship between implicit and explicit knowledge is a complicated process that requires repeated modifications and evaluations before it can be implemented. Practical implications The ontology provides a basis for turning PPP risk information into risk knowledge to allow the effective sharing and communication of project risks between different project stakeholders. It can also have the potential to help reduce the dependence on subjectivity by mining, using and storing tacit knowledge in the risk management process. Originality/value The apparent suitability of the nine classes of PPP risk knowledge (project model, risk type, risk occurrence stage, risk source, risk consequence, risk likelihood, risk carrier, risk management measures and risk case) is identified, and the proposed construction method and steps for a complete domain ontology for PPP risk management are unique. A combination of criteria- and task-based evaluations is also developed for assessing the PPP risk ontology for the first time.",10.1108/CI-02-2022-0029,0.0
119,"Herrera-Martin, JJ; Castilla-Rodriguez, I; Gonzalez, EJ; Martin-Dorta, N",A method for transferring BIM data into domain ontologies: A case study based on airport services,Article,,"Building Information Modeling (BIM) has revolutionized the construction industry as a platform for core integrated design, modeling, asset planning, and collaboration. Although BIM simplifies the retrieval and use of information in construction projects, BIM tools use native formats that pose challenges for data reuse and exchange. This article proposes a method for mapping BIM data into sets of concepts of a specific domains, and the use of Semantic Web tools for the exchange of data and information. Domain ontologies are a widely used tool for the formal definition of a field of knowledge, which facilitates the exchange of information in heterogeneous systems through technologies such as the Semantic Web. The proposed mapping can be used to enrich information and improve data integration in systems based on semantic tools that manage services or maintain facilities and building infrastructures. The article also presents a case study based on the management of airport facilities to illustrate the practical application of the method.(c) 2022 THE AUTHORS. Published by Elsevier BV on behalf of Faculty of Computers and Artificial Intelligence, Cairo University. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",10.1016/j.eij.2022.04.002,0.0
143,"Zhou, ZP; Irizarry, J; Guo, WY",A network-based approach to modeling safety accidents and causations within the context of subway construction project management,Article,,"It is widely accepted that the construction industry is dangerous, and subway construction projects are more inherently dangerous than general construction projects. On the basis of identifying intra-relationships between causations, intra-relationships between accidents, and inter-relationships between causations and accidents, this research aims to develop a subway construction safety risk network (SCSRN) with two layers of 56 causations and 44 accidents. Topological features were identified to denote the roles of individual nodes of causation or accident in the total network of SCSRN. Robustness assessment was conducted in the consideration of three strategies of node failure, namely, random attack, deliberate attack according to the decreasing order of node's total degree, and deliberate attack according to the decreasing order of node's betweenness centrality. The results indicated that the second strategy was more efficient in reducing the connectivity of SCSRN. It was suggested that managers should not pay equal attention to causations and accidents with unequal roles in the SCSRN. This research was beneficial to capturing complex cause-and-effect relationships of accident occurrence at subway construction sites. It can provide the opportunities for optimizing safety-related decisions on the elimination of causations and controlling accidents with high efficiency on site.",10.1016/j.ssci.2021.105261,0.0
27,"Newaz, MT; Ershadi, M; Carothers, L; Jefferies, M; Davis, P",A review and assessment of technologies for addressing the risk of falling from height on construction sites,Review,,"Falling from height (FFH) is blamed for causing significant injuries and deaths on construction sites. Previous research has outlined a broad range of technological advances facilitating the management of the FFH safety risk. However, the extant literature lacks a comprehensive assessment to investigate the contribution of various FFH technologies, as well as their implementation feasibility on construction sites, which provides rationale for this study. The study aims to assess recent safety technologies which can be used to control the risk of FFH on construction sites, especially in urban building construction projects. A scoping review was conducted to identify such technologies and provide insight into their application in the construction industry. As a result of searching Scopus, Web of Science, and Google Scholar databases between 2010 and 2021, a total of 86 representative studies were selected and reviewed. Following this stage, an assessment of their feasibility was carried out based on a set of criteria from the literature. A total of 7 FFH technologies were identified, characterising the contri-bution of recent technologies to the prediction, prevention, and mitigation of FFH risks. These technologies include (1) Safety risk assessment and propagation, (2) real-time sensing and monitoring, (3) automated pre-vention through design, (4) ontology and knowledge modelling, (5) virtual reality for FFH training, (6) personal fall arrest systems, and (7) collective fall protection systems. This research contributes to an improved under-standing of the status of FFH technologies. The feasibility assessment provides insight into suitable technologies for construction projects of various sizes and features.",10.1016/j.ssci.2021.105618,0.0
4,"Abeynayake, DN; Perera, B; Hadiwattege, C",A roadmap for business model adaptation in the construction industry: a structured review of business model research,Review; Early Access,,"Purpose Survival challenges compel construction firms to change their business thinking on adapting business models (BMs). Unlike in the other fields, in the construction field, it is still a novel concept, probably because BM adaptation in the industry has not been sufficiently studied. Hence, the purpose of this study is to set a roadmap for the effective adaptation of the BM concept in the construction industry. Design/methodology/approach To develop a roadmap, this study analysed BM literature through a comprehensive literature review by finding the BM research development stages using studies done in other fields and locating construction industry BM literature. Findings No stage-wise development of BM research has taken place in the construction industry. The four BM research development stages, namely, defining BMs, listing BM components, describing BM components and modelling BM components as a business model ontology (BMO) in relation to the construction industry have to be followed for proper BM adaptation in the construction industry. Originality/value This study provided an overview of and a roadmap for BM adaptation in the construction industry for the benefit of future researchers. The proper adaptation of the BM concept through a BMO will enable construction business managers to easily innovate, design and change construction BMs to streamline their business thinking.",10.1108/CI-05-2020-0077,0.0
16,"Zhong, BT; Wu, HT; Li, H; Sepasgozar, S; Luo, HB; He, L",A scientometric analysis and critical review of construction related ontology research,Review,,"There is a wide range of literature on adopting ontology to solve construction problems, but no review of existing studies has systematically analyzed and visualized the trends in ontology research. This study reviews ontology research mainly published in the Scopus database from 2007 to 2017 with the combination of scientometric analysis and critical review. Scientometric analysis (e.g. co-author, co-word, co-citation, and clusters) objectively visualized the research status quo while a critical review was used to identify the research themes and challenges of ontology research in the construction industry. The results identified a large network of co-authors in this field to understand collaboration relationships. Over half the papers (53%) were published by the following three countries: the United States, the United Kingdom, and Canada. The top co-occurring keywords were project management at which ontology facilitates knowledge management and information retrieval. When the time factor was taken into consideration, keywords naturally evolved from project management, and knowledge management to building information modeling, and compliance control with the successful adoption of information techniques in the construction industry. Four research themes were identified with the combination of cluster analysis and critical review: Domain ontology, Industry foundation classes, Automated compliance checking, and Building information modeling. This review provides an in-depth understanding of existing ontology research and indicates the emerging trends in this research domain.",10.1016/j.autcon.2018.12.013,0.0
140,"Zhao, XB",A scientometric review of global BIM research: Analysis and visualization,Review,,"In the recent years, building information modeling (BIM) has transformed the architecture, engineering, and construction industry, and attracted attentions from both researchers and practitioners. However, few studies have attempted to map the global research on BIM. This study conducts a scientometric review of global BIM research in 2005-2016, through co-author analysis, co-word analysis and co-citation analysis. A total of 614 bibliographic records from the Web of Science core collection database were analyzed. The results indicated that Charles M. Eastman received the most co-citations and that the most significant development in BIM research occurred primarily in the USA, South Korea and China. Additionally, BIM research has primarily focused on the subject categories of engineering, civil engineering and construction & building technology, and the keywords visualization and industry foundation classes (IFC) received citation bursts in the recent years. Furthermore, 10 co-citation clusters were identified, and the hot topics of BIM research were: mobile and cloud computing, laser scan, augmented reality, ontology, safety rule and code checking, semantic web technology, and automated generation. This study provides researchers and practitioners with an in-depth understanding of the status quo and trend of the BIM research in the world.",10.1016/j.autcon.2017.04.002,0.0
68,"Le, QT; Lee, DY; Park, CS",A social network system for sharing construction safety and health knowledge,Article,,"Due to the complicated and complex working environments, construction site still presents high accident rate, which is causing serious project delay and cost overrun. Abundant studies have focused on cause and effect on fatalities or safety training system, and so on. Most of them on this issue have been emphasized the necessity and utilization of information, rather than how to exchange, share and transfer safety data efficiently in the construction industry. With this regard, this paper proposes the Social Network System for Sharing Construction Safety & Health Knowledge (SNSS), which utilizes state-of-the-art of semantic wild web and ontology construction technologies for better communication and representation for construction safety information. The SNSS is developed on the basis of safety semantic wiki template (SSWT), which consists of the following three modules: 1) A Safety information module (SIM) which upload common accident and hazard information for sharing; 2) A Safety knowledge module (SKM) where the safety information is refined, confirmed and transferred to safety knowledge; 3) A Safety dissemination module (SDM) which allows its users to monitor, manage and retrieve safety information and knowledge easily. The SNSS is tested by a scenario of using falling accident information by which the potentials and limitations of the system were addressed. The study emphasizes the potential applicability and benefits of social network system that could be utilized to enhance communication among participants in the construction industry. (C) 2014 Elsevier B.V. All rights reserved.",10.1016/j.autcon.2014.01.001,0.0
56,"Wu, HT; Li, H; Fang, X; Luo, XC",A survey on teaching workplace skills to construction robots,Article,,"The construction industry is seeking a robotic revolution to meet increasing demands for productivity, quality, and safety. Typically, construction robots are usually pre-programmed for a single task, such as painting. Their behavior is fixed when they leave the factory. However, it is difficult to pre-program all capabilities (referred to as workplace skills) that construction workers may require. Construction robots are expected to have the same ability of skill learning as human apprentices, allowing them to acquire a wide range of workplace skills from experienced workers and eventually complete relevant construction tasks autonomously. However, workplace skill learning of robots has rarely been investigated in the construction industry. This survey reviews state-of-the-art approaches to help robots learn skills from human demonstrations. To begin, the workplace skill is represented as 'Know That' and 'Know How' problems. 'Know That' is a high-level task planning ability aimed at understanding human activities from demonstrations. 'Know How' refers to the ability to learn specific actions for completing the construction task. Sematic methods and learn from demonstration (LfD) methods are reviewed to tackle these two problems. Finally, we discuss the open issues of past research, present future directions, and highlight the survey's knowledge contributions. We believe that this survey will provide a new perspective on robots in the construction industry and inspire more discussions about skill learning of construction robots.",10.1016/j.eswa.2022.117658,0.0
9,"Krystallis, I; Rickaby, B; Murtagh, N",A sustainable built environment for healthcare: generative mechanisms for future-proofing,Proceedings Paper,,"Construction projects are planned from a set of deterministic objectives and constraints that dictates what designers must accomplish. In the case of healthcare facilities, where the policy environment is characterized by change on several fronts, fixed requirements could constrain their evolvability and sustainability. Future-proofing is a response to uncertainty whereby a physical structure is designed to respond to future changes in requirements, change of use, strategic perspectives, business drivers, new policies and changing climate. The paper investigates the causal powers that explain how and why future-proofing decisions achieve a sustainable outcome. A critical realist lens is adopted to develop a configurational perspective of future-proofing design evolution. Critical Realism's open systems ontology of social reality can account for the fact that outcomes are not predictable and can better explain the nature of causation in complex social interactions such as construction projects. A case study research design was conducted comprising in-depth interviews with healthcare construction professionals in a UK setting. The study contributes to the sustainability literature by offering four generative mechanisms of future-proofing decision making and how they contingently lead - or fail to lead - to future-proof outcomes. Two change mechanisms and two problem mechanisms are presented, together with their configuration under the right conditions and context to lead to design decisions for construction projects capable of adapting to a range of possible futures.",10.1088/1755-1315/297/1/012039,0.0
170,"Bhagwat, K; Delhi, VSK",A systematic review of construction safety research: quantitative and qualitative content analysis approach,Review,,"Purpose Construction safety management (CSM) has been intensively researched in the last four decades but hitherto mostly aimed at understanding root causes of accidents, recommending preventive measures and evaluating their implications. However, a systematic effort to present a comprehensive picture of construction safety research is hardly witnessed. Therefore, the study aims to investigate construction safety research contributors, ontologies, themes, evolution, emerging trends and future directions using quantitative and qualitative content analysis. Design/methodology/approach A total of 877 journal articles were extracted using preferred reporting items for systematic reviews and meta-analyses (PRISMA) guidelines and Scopus literature database and were analyzed using VOSviewer and Nvivo tools to present a comprehensive picture of the CSM body of knowledge. Findings The study observed rapid growth in construction safety research with contributions from various countries, organizations and researchers. This study identified 3 research levels, 8 project phases, 10 project types, 6 research instruments and 19 research data sources along with their usage in the research domain. Further, the study identified 13 emerging research themes, 4 emerging research trends and an observed paradigm shift from reactive to proactive CSM approach. Research limitations/implications The comprehensive study on the emerging themes and findings on proactive CSM has strategic implications to practice to incorporate safety. The identified future directions can assist researchers in bridging the existing gaps and strengthening emerging research trends. Originality/value The study presents a comprehensive picture of the CSM body of knowledge using the content analysis approach that was absent in past literature and opened future research avenues.",10.1108/BEPAM-04-2021-0068,0.0
60,"Wu, HQ; Shen, GQ; Lin, X; Li, ML; Li, CZ",A transformer-based deep learning model for recognizing communication-oriented entities from patents of ICT in construction,Article,,"The patents of information and communication technology (ICT) in construction are valuable sources of technological solutions to communication problems in the construction practice. However, it is often difficult for practitioners and stakeholders to identify the key communication functionalities from complicated expressions in the patent documents. Addressing such challenges, this study develops a deep learning model to enable automatic recognition of communication-oriented entities (CEs) from patent documents. The proposed model is structured based on the Transformer, consisting of feed-forward and self-attention neural networks to better recognize ambiguous and unknown entities by utilizing contextual information. The validation results showed that the proposed model has superior performance in CE recognition than traditional recurrent neural networks (RNN)-based models, especially in recognizing ambiguous and unknown entities. Moreover, experimental results on some research literature and a real-life project report showed satisfactory performance of the model in CE recognition across different document types.",10.1016/j.autcon.2021.103608,0.0
71,"Schwinn, M; Kuhn, N; Richter, S",AN APPROACH TO A GRAPHICAL QUERY EDITOR For Ontology-based Knowledge Management,Proceedings Paper,,"The OnToBau research project aims to provide a way to classify, archive and effectively use business knowledge with the assistance of an ontology-based knowledge archive for small and medium companies of the construction industry. This archive is intended to pro-actively provide users with information which will assist them in their daily business process handling. The targeted system consists of four main parts. In this paper we mainly discuss a component for querying ontologies easily. We claim that such a component should allow graphical queries in order to be suitable for non-experienced users in our application domain and we present our approach to a visual query system and sketch how this can be embedded in the worker's environment. This graphical interface will allow a knowledge worker to actively search for information in an ontology and is a first step to a personal agent.",,
105,"Simeone, D; Fioravanti, A",AN ONTOLOGY-BASED SYSTEM TO SUPPORT AGENT-BASED SIMULATION OF BUILDING USE,Article,,"The prediction and evaluation of future building response to its intended use and users is a complex task that designers have to face during the design process. As matter of fact, few methods exist that can help designers in such task, despite its importance in the definition of the building quality; norms and regulations, personal designer's experience, post-occupancy evaluation have shown their limit to provide predictive models of the complex phenomenon of human behaviour in built environments. With the increasing of computing power, virtual simulation techniques have been introduced in building design to control, manage and predict complex systems of building performances such as its energy or structural behaviour, but not to representation of buildings while-in-use. The Agent-Based Modelling and Simulation (ABMS) paradigm has been applied in building design to simulation of specific aspects of human behaviour and in specific occurrences (for instance in fire egress simulations), while a more extensive representation of users actions, behaviours, and activities is still missing. In order to overcome this lack, in this paper we propose to support agent-based simulation with a knowledge base, developed by means of ontologies and able to provide a structured system of data about human-building interaction, useful as start hypotheses for Agent-based Simulation. For its development, we rely on the general template of building knowledge management already proposed by the research group (Carrara et al., 2009), extending it to representation of the whole system users-built environment. The proposed general template, configuredby the meaning -properties - rules structure, allows the formalization of users/agents entities, whose parameter, attributes and behavioural rules can encode several `aspects' of real users and their interactions with the other entities (building components, furniture, other people) in a built environment. Currently, a first application has been developed dealing with the virtually testing of a small hospital ward, in order to evaluate the reliability and the potentiality of such approach.",,
24,"Kim, T; Chi, S",Accident Case Retrieval and Analyses: Using Natural Language Processing in the Construction Industry,Article,,"Knowledge management for construction accident cases can identify dangerous conditions and prevent accidents by controlling risks on-site. However, because accident cases are recorded as unstructured text data, significant time and effort are required to retrieve and analyze the knowledge a user wants. To overcome these limitations, this research proposes a knowledge management system for construction accident cases using natural language processing. For this purpose, two models were developed that can retrieve appropriate cases according to user intentions and automatically analyze tacit knowledge from construction accident cases. In the retrieval model, the query is expanded using a construction accident case thesaurus. Ranking is calculated using Okapi BM25 and weighting according to the thesaurus. In the analysis model, knowledge is automatically extracted using rule-based and conditional random field (CRF) methods. The proposed system can retrieve results that are 97% relevant to the accident cases the user intended and can automatically analyze knowledge with accuracies of 93.75% and 84.13% for the rule-based and CRF models, respectively. The results demonstrate the potential of knowledge discovery from accident reports for more-effective safety management.",10.1061/(ASCE)CO.1943-7862.0001625,0.0
158,"Hartmann, T; Trappey, A",Advanced Engineering Informatics - Philosophical and methodological foundations with examples from civil and construction engineering,Article,,"We argue that the representation and formalization of complex engineering knowledge is the main aim of inquiries in the scientific field of Advanced Engineering Informatics. We introduce ontology and logic as underlying methods to formalize knowledge. We also suggest that it is important to account for the purpose of engineers and the context they work in while representing and formalizing knowledge. Based on the concepts of ontology, logic, purpose, and context, we discuss different possible research methods and approaches that scholars can use to formalize complex engineering knowledge and to validate whether a specific formalization can support engineers with their complex tasks. On the grounds of this discussion, we suggest that Advanced Engineering research efforts should be conducted in a bottom-up manner closely involving engineering practitioners. We also suggest that researchers make use of social science methods while eliciting knowledge to formalize and while validating their formalized knowledge.",10.1016/j.dibe.2020.100020,0.0
61,"He, DD; Li, ZF; Wu, CL; Ning, X",An E-Commerce Platform for Industrialized Construction Procurement Based on BIM and Linked Data,Article,,"Industrialized construction has raised the requirements of procurement methods used in the construction industry. The rapid development of e-commerce offers efficient and effective solutions, however the large number of participants in the construction industry means that the data involved are complex, and problems arise related to volume, heterogeneity, and fragmentation. Thus, the sector lags behind others in the adoption of e-commerce. In particular, data integration has become a barrier preventing further development. Traditional e-commerce platform, which considered data integration for common product data, cannot meet the requirements of construction product data integration. This study aimed to build an information-integrated e-commerce platform for industrialized construction procurement (ICP) to overcome some of the shortcomings existing platforms. We proposed a platform based on Building Information Modelling (BIM) and linked data, taking an innovative approach to data integration. It uses industrialized construction technology to support product standardization, BIM to support procurement process, and linked data to connect different data sources. The platform was validated using a case study. With the development of an e-commerce ontology, industrialized construction component information was extracted from BIM models and converted to Resource Description Framework (RDF) format. Related information from different data sources was also converted to RDF format, and Simple Protocol and Resource Description Framework Query Language (SPARQL) queries were implemented. The platform provides a solution for the development of e-commerce platform in the construction industry.",10.3390/su10082613,0.0
84,"Du, J; Jing, HQ; Choo, KKR; Sugumaran, V; Castro-Lacouture, D",An Ontology and Multi-Agent Based Decision Support Framework for Prefabricated Component Supply Chain,Article,,"Due to industrialization and informatization of the construction industry, prefabricated construction has attracted wide attention from both research and practitioner communities. In prefabricated construction, there are exacting requirements for information sharing. Also, data in a prefabricated component supply chain tend to be dispersed in design, production, transportation and other stages. In other words, such data are significantly multi-source heterogeneous. Without an effective way of participating in supply chain dynamic collaboration, decision-making at various stages and resource allocation can be extremely challenging. This paper proposes a decision support framework for prefabricated component supply chain based on ontology and multi-agent. The framework comprises the ontology layer (i.e. provides data support for the model), the agent interaction layer (i.e. serves as the communication hub to coordinate the data transmission between modules), and the agent simulation layer (i.e. simulates interaction behavior of participants, and supports decision making). Using the Shanghai Chenxiang Road Station complex project as a case study, the paper demonstrates the validity of the proposed ontology and multi-agent based decision support framework.",10.1007/s10796-019-09941-x,0.0
