,Authors,Title,Year,Source title,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type
153,"Costa G., Sicilia Á., Lilis G.N., Rovas D.V., Izkara J.",A comprehensive ontologies-based framework to support the retrofitting design of energy-efficient districts,2016,"eWork and eBusiness in Architecture, Engineering and Construction - Proceedings of the 11th European Conference on Product and Process Modelling, ECPPM 2016",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016631400&partnerID=40&md5=d82deb9d85daaf8b8c039585dc797ad0,"As part of the Europe 2020strategy, one of the challenges for the European construction sector is to reduce the energy footprint and CO2 emissions from new and renovated buildings. This interest is also fostered at a district scale with new technological solutions being developed to achieve more efficient designs. In response to this challenge, a web-based platform for district energy-efficient retrofitting design projects has been proposed in the context of OptEEmAL research project. In order to provide data integration and interoperability between BIM/GIS models and energy simulation tools through this platform, a District Data Model (DDM) has been devised. In this model, fields for urban sustainable regeneration (energy, social, environment, comfort, urban morphology and economic) are related to existing ontological models based on the CityGML and IFC schemas. This paper discusses how the semantic representation from IFC and CityGML files with different levels of detail can be integrated to obtain consistent description of the district in the proposed district data model. © 2016 Taylor & Francis Group, London.",,Architectural design; Construction industry; Data integration; Ontology; Process engineering; Retrofitting; Semantics; Construction sectors; Efficient designs; Energy simulation; Levels of detail; Ontological models; Semantic representation; Technological solution; Web based platform; Energy efficiency,Conference Paper
214,"Zhao H., Yin Y.-L.",A dynamic mechanism of risk allocation of construction project from perspective of incomplete contract theory: A theoretical model,2011,"2011 IEEE 18th International Conference on Industrial Engineering and Engineering Management, IE and EM 2011",10.1109/ICIEEM.2011.6035518,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80155183724&doi=10.1109%2fICIEEM.2011.6035518&partnerID=40&md5=58e2087c3a616d5465706a9191068e0d,"Proper risk allocation (RA) can promote project management performance by means of contract clauses, but the existing researches were mainly on the philosophy of one-time and static RA, which hindered the project management performance improvement persistently. On the basis of literature review, the paper pointed out the characteristic of dynamic RA , and further analyzed the RA contract clauses of incomplete contract nature, and established a theory model of dynamic RA in construction project which includes initial RA and risk reallocation, which has important significance on reasonable RA in the process of contract negotiation between the project owner and the contractor. © 2011 IEEE.",Construction Project; Dynamic Mechanism; Incomplete Contract Theory; Risk Allocation,Construction projects; Contract clause; Contract negotiation; Dynamic Mechanism; Incomplete contracts; Literature reviews; Performance improvements; Project owners; Risk Allocation; Theoretical models; Theory model; Construction industry; Contracts; Dynamics; Industrial engineering; Ontology; Project management,Conference Paper
142,"Xu S., Liu K., Tang L.C.M., Li W.","A framework for integrating syntax, semantics and pragmatics for computer-aided professional practice: With application of costing in construction industry",2016,Computers in Industry,10.1016/j.compind.2016.08.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988836260&doi=10.1016%2fj.compind.2016.08.004&partnerID=40&md5=11749eb957c55637a8f36396f25a3eab,"Producing a bill of quantity is a knowledge-based, dynamic and collaborative process, and evolves with variances and current evidence. However, within the context of information system practice in BIM, knowledge of cost estimation has not been represented, nor has it been integrated into the processes based on BIM. This paper intends to establish an innovative means of taking data from the BIM linked to a project, and using it to create the necessary items for a bill of quantity that will enable cost estimation to be undertaken for the project. Our framework is founded upon the belief that three components are necessary to gain a full awareness of the domain which is being computerised; the information type which is to be assessed for compatibility (syntax), the definition for the pricing domain (semantics), and the precise implementation environment for the standards being taken into account (pragmatics). In order to achieve this, a prototype is created that allows a cost item for the bill of quantity to be spontaneously generated, by means of the semantic web ontology and a forward chain algorithm. Within this paper, ‘cost items’ signify the elements included in a bill of quantity, including details of their description, quantity and price. As a means of authenticating the process being developed, the authors of this work effectively implemented it in the production of cost items. In addition, the items created were contrasted with those produced by specialists. For this reason, this innovative framework introduces the possibility of a new means of applying semantic web ontology and forward chain algorithm to construction professional practice resulting in automatic cost estimation. These key outcomes demonstrate that, decoupling the professional practice into three key components of syntax, semantics and pragmatics can provide tangible benefits to domain user. © 2016",BIM; Computer-aided professional practice; Cost estimation; Expert system; IFC; Ontology; Rule-based; Semantic,Architectural design; Chains; Construction industry; Costs; Expert systems; Knowledge based systems; Ontology; Professional aspects; Semantic Web; Semantics; Syntactics; Bill of quantities; Collaborative process; Construction professionals; Cost estimations; Information types; Professional practices; Rule based; Semantic Web ontologies; Cost estimating,Article
290,"El-Gohary N.M., El-Diraby T.E.",A framework for inter-organizational collaboration in infrastructure and construction using lattice algebra,2005,"Proceedings, Annual Conference - Canadian Society for Civil Engineering",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748976714&partnerID=40&md5=1b3c83aaddb3e260c6c4f37d63ffed3e,"Advanced web-based systems are needed for creating an infrastructure e-supply chain. However, this requires more than the technical connectivity of entities or the sharing of online data. What is required is a semantic system that embeds human expertise and knowledge in a computer-understandable format. Therefore, ontologies are needed as a foundation for such semantic systems. Since no single ontology will be universally utilized, dynamic ontology merging presents itself as a solution to facilitate interoperability among several organizations using different process models and ontologies. This research proposes an ontology that benchmarks a sample of models. It also introduces formal concept analysis as an approach for merging different ontologies.",,Benchmarking; Construction industry; Interoperability; Mathematical models; Online systems; Semantics; World Wide Web; e-supply chains; Inter-organizational collaboration; Lattice algebra; Technical connectivity; Computer supported cooperative work,Conference Paper
198,"Park C.-S., Lee D.-Y., Kwon O.-S., Wang X.","A framework for proactive construction defect management using BIM, augmented reality and ontology-based data collection template",2013,Automation in Construction,10.1016/j.autcon.2012.09.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878418504&doi=10.1016%2fj.autcon.2012.09.010&partnerID=40&md5=1baea9ec9c441a78f987439897a0b296,"In construction process, defects occur inevitably and repeatedly. It is one of the primary causes of project schedule and cost overruns. Many studies on defect causation analysis and management system have been conducted to facilitate defect measures and rectifications as well as to reduce the reoccurrence of the defect. However, those studies did not sufficiently consider the relationship of defect information flow in the construction process, which resulted in reactive rather than proactive defect management plan. This paper investigates the issues and needs of current defect management practices in the construction industry. It also presents a conceptual system framework for construction defect management that integrates ontology and augmented reality (AR) with building information modeling (BIM). The following three main technical solutions are proposed in the system framework: 1) defect data collection template to assure data quality and accuracy; 2) defect domain ontology to search and retrieve project or work-specific defect information; and 3) AR-based Defect Inspection System to support field defect management. It is envisaged that the system framework and solutions could enable proactive reduction of the defect occurrence during the construction process and that could greatly improve current defect management practices in the construction industry. © 2012 Elsevier B.V.",Augmented reality; BIM; Construction defect management; Data collection template; Ontology,BIM; Building information modeling; Construction defects; Construction process; Data collection; Defect inspection system; Management systems; Technical solutions; Architectural design; Augmented reality; Construction; Construction industry; Data acquisition; Information management; Ontology; Search engines; Defects,Article
23,"Jiang X., Wang S., Liu Y., Xia B., Skitmore M., Nepal M., Ghanbaripour A.N.",A method for the ontology-based risk management of PPP construction projects,2022,Construction Innovation,10.1108/CI-02-2022-0029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134948949&doi=10.1108%2fCI-02-2022-0029&partnerID=40&md5=b412446a8a00d03e14d8f65c3daa35be,"Purpose: With the increasing complexity of public–private partnership (PPP) projects, the amount of data generated during the construction process is massive. This paper aims to develop a new information management method to cope with the risk problems involved in dealing with such data, based on domain ontologies of the construction industry, to help manage PPP risks, share and reuse risk knowledge. Design/methodology/approach: Risk knowledge concepts are acquired and summarized through PPP failure cases and an extensive literature review to establish a domain framework for risk knowledge using ontology technology to help manage PPP risks. Findings: The results indicate that the risk ontology is capable of capturing key concepts and relationships involved in managing PPP risks and can be used to facilitate knowledge reuse and storage beneficial to risk management. Research limitations/implications: The classes in the risk knowledge ontology model constructed in this research do not yet cover all the information in PPP project risks and need to be further extended. Moreover, only the framework and basic methods needed are developed, while the construction of a working ontology model and the relationship between implicit and explicit knowledge is a complicated process that requires repeated modifications and evaluations before it can be implemented. Practical implications: The ontology provides a basis for turning PPP risk information into risk knowledge to allow the effective sharing and communication of project risks between different project stakeholders. It can also have the potential to help reduce the dependence on subjectivity by mining, using and storing tacit knowledge in the risk management process. Originality/value: The apparent suitability of the nine classes of PPP risk knowledge (project model, risk type, risk occurrence stage, risk source, risk consequence, risk likelihood, risk carrier, risk management measures and risk case) is identified, and the proposed construction method and steps for a complete domain ontology for PPP risk management are unique. A combination of criteria- and task-based evaluations is also developed for assessing the PPP risk ontology for the first time. © 2022, Emerald Publishing Limited.",Domain ontology; Project management; Public–private partnership; Risk knowledge; Risk management; Rule-based reasoning,Construction industry; Digital storage; Information management; Ontology; Project management; Risk assessment; Construction projects; Domain ontologies; Ontology model; Ontology-based; Project risk; Public/private partnerships; Risk knowledge; Risk ontologies; Risks management; Rule-based reasoning; Risk management,Article
10,"Herrera-Martín J.J., Castilla-Rodríguez I., González E.J., Martín-Dorta N.",A method for transferring BIM data into domain ontologies: A case study based on airport services,2022,Egyptian Informatics Journal,10.1016/j.eij.2022.04.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132657711&doi=10.1016%2fj.eij.2022.04.002&partnerID=40&md5=1ec69791fec511138e06618406ca1aea,"Building Information Modeling (BIM) has revolutionized the construction industry as a platform for core integrated design, modeling, asset planning, and collaboration. Although BIM simplifies the retrieval and use of information in construction projects, BIM tools use native formats that pose challenges for data reuse and exchange. This article proposes a method for mapping BIM data into sets of concepts of a specific domains, and the use of Semantic Web tools for the exchange of data and information. Domain ontologies are a widely used tool for the formal definition of a field of knowledge, which facilitates the exchange of information in heterogeneous systems through technologies such as the Semantic Web. The proposed mapping can be used to enrich information and improve data integration in systems based on semantic tools that manage services or maintain facilities and building infrastructures. The article also presents a case study based on the management of airport facilities to illustrate the practical application of the method. © 2022",Airport facilities; BIM; Ontologies; Semantic Web,Airports; Architectural design; Construction industry; Data integration; Information use; Knowledge management; Mapping; Reinforced concrete; Semantic Web; Airport facilities; Airport services; Asset planning; Building Information Modelling; Case-studies; Domain ontologies; Integrated design modeling; Modeling data; Ontology's; Semantic-Web; Ontology,Article
291,"El-Diraby T.E., Wang B.",A prototype e-society portal: Using a semantic model to represent sustainability aspects of highway projects to local communities,2005,Construction Research Congress 2005: Broadening Perspectives - Proceedings of the Congress,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-27644432504&partnerID=40&md5=c540c23dc931d6a8dbae1aeb97a62df3,"More than any other industry, the infrastructure has a direct impact on our communities and quality of life. There is a need to utilize the compendium of information technology research and applications to investigate how to engage local communities in the design and configuration of such projects. Systems are needed to explain to communities the various elements of projects, who is sponsoring them, who has the decision powers to develop and approve such components and, more importantly, the impacts of various design options on sustainability. This paper developed an ontology for sustainability in highway construction. An ontology is a conceptual semantic model that attempts to capture human knowledge (both explicit and tacit) in a consistent manner. Ontologies include three main elements: a taxonomy (common vocabulary presented in concept trees), set of relationships (linking concepts across trees) and axioms (limitation/constraints on the behavior of concepts). The ontology was used to develop a portal for broadcasting highway design features to local communities. By browsing through the portal, a user can learn about project elements, the impacts of each element on sustainability issues, who is sponsoring such element and what efforts have been made to reduce any impacts of such elements on local communities.",Community Involvement; E-Society; Highway construction; Sustainability,Construction industry; Information technology; Mathematical models; Portals; Semantics; Software prototyping; Sustainable development; Community involvement; E-society; Highway construction; Sustainability; Highway systems,Conference Paper
225,Cerovsek T.,A review and outlook for a 'Building Information Model' (BIM): A multi-standpoint framework for technological development,2011,Advanced Engineering Informatics,10.1016/j.aei.2010.06.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954424532&doi=10.1016%2fj.aei.2010.06.003&partnerID=40&md5=eb7116e33939766ccafee8fc74867c79,"This study provides a review of important issues for 'Building Information Modelling' (BIM) tools and standards and comprehensive recommendations for their advancement and development that may improve BIM technologies and provide a basis for inter-operability, integration, model-based communication, and collaboration in building projects. Based on a critical review of Building Product Modelling, including the development of standards for exchange and the features of over 150 AEC/O (Architecture, Engineering, Construction, and Operation) tools and digital models, a methodological framework is proposed for improvements to both BIM tools and schemata. The features relevant to the framework were studied using a conceptual process model and a 'BIM System-of-Systems' (BIM-SoS) model. The development, implementation, and use of the BIM Schema are analysed from the standpoint of standardisation. The results embrace the requirements for a BIM research methodology, with an example of methods and procedures, an R&D review with critique, and a multi-standpoint framework for developments with concrete recommendations, supported by BIM metrics, upon which the progress of tools, models, and standards may be measured, evaluated, streamlined, and judged. It is also proposed that any BIM Schema will never be 'completed' but should be developed as evolutionary ontology by 'segmented standpoint models' to better account for evolving tools and AEC/O practices. © 2010 Elsevier Ltd. All rights reserved.",Building Information Modelling; Engineering communication; Project information management; Standards; Standpoints,Building Information Model - BIM; Building Information Modelling; Building products; Critical review; Digital model; Engineering communication; In-buildings; Methodological frameworks; Model-based; Process model; Project information management; Research methodologies; Standardisation; Standpoints; System-of-Systems; Technological development; Buildings; Construction industry; Information management; Information theory; Models; Ontology; Standardization; Architectural design,Article
272,"Cutting-Decelle A.-F., Young B.I., Das B.P., Case K., Rahimifard S., Anumba C.J., Bouchlaghem D.M.",A review of approaches to supply chain communications: From manufacturing to construction,2007,Electronic Journal of Information Technology in Construction,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846286157&partnerID=40&md5=8bdf72f735905953476699f766a917d8,"With the increasing importance of computer-based communication technologies, communication networks are becoming crucial in supply chain management. Given the objectives of the supply chain: to have the right products in the right quantities, at the right place, at the right moment and at minimal cost, supply chain management is situated at the intersection of different professional sectors. This is particularly the case in construction, since building needs for its fabrication the incorporation of a number of industrial products. This paper provides a review of the main approaches to supply chain communications as used mainly in manufacturing industries. The paper analyses the extent to which these have been applied to construction. It also reviews the on-going developments and research activities in this domain.",Construction; Information exchanges; Knowledge sharing; Manufacturing; Ontology; Supply chain management,Computer aided manufacturing; Construction industry; Information dissemination; Research and development management; Telecommunication networks; Information exchanges; Knowledge sharing; Ontology; Supply chain management; Industrial management,Article
