,Authors,Article Title,Document Type,Author Keywords,Abstract,DOI,DOI Link
239,"Marir, F; Alshawi, M",A case-based design brief development and design plans generation for construction projects,Proceedings Paper,,"This paper presents CBDBrief system, which uses case-based reasoning (CBR) technology to address the problem of the design brief development and the dynamic generation of design plans. The client's design brief is a key business process in construction industry. In spite of the widely recognised concept in determining the value of a construction project, the brief remains an under-researched area as far as IT is concerned, and also the conventional process of briefing does not reflect the requirement changes of the client. This is due to the fact that the brief task is highly complex and design tasks are wicked problems and therefore are not accessible to structured methodologies or model-based problem solving. The complexity and the uncertainty that characterise these processes make them an ideal domain for case-based reasoning. CBDBrief proposes an alternative model for developing design brief which promote collaborative working between the client, designer and the builder by reusing records of successes and failures of previous construction stored in an integrated object database. To tackle the complexity of brief cases, CBDBrief adopts the decomposition of cases into a sensible hierarchy of sub-cases whilst ensuring that sub-cases from different buildings can be sensibly recomposed to produce novel designs plans. Also, CBDBrief introduces cases version concept to keep track of the participants' decisions and to reflect the client organisations state of dynamic changes and allow intermediate situation to be retrieved and amended as the brief, design and building unfold. Such a system will significantly shorten the design process by bridging the gap between the brief and the detailed design stages. It is expected that the project will break new ground in a most difficult area to manage i.e. the brief-design area, and will be the nucleus for future specifications and developments of IT systems in this field.",,
77,"Yue, SS; Wen, YN; Chen, M; Lu, GN; Hu, D; Zhang, F","A data description model for reusing, sharing and integrating geo-analysis models",Article,,"Geo-analysis models are necessary tools for understanding various geo-processes and phenomena in Earth's environment. Studying, reusing, sharing and integrating geo-analysis models can help researchers solve complicated and synthetic geo-problems with interdisciplinary knowledge, especially for researchers who collaborate with each other to build virtual geographic environments (VGEs). While the integration frameworks of geo-analysis models could permit their practical use, it is essential for model users to prepare data according to the specific requirements of the different geo-analysis models. Model users should invest adequate effort and time into preparing such model data, particularly when employing multi-disciplinary geo-analysis models. This paper proposed a data description model, the Universal Data eXchange (UDX) model that can reduce the effort and difficulties of model data preparation and pre-processing for model users. With the UDX model, researchers from interdiscipline can build a collaborative workspace in VGEs more conveniently. A hierarchical structure was employed in the UDX model for the flexible description of heterogeneous model data, and a set of basic data node types was designed to provide a relatively stable organization method for the various data contents. In the UDX model, the structural format data (e.g., the Shapefile and NetCDF data) and the flexible plain text data content can be described in a uniform way. In addition, model data information can be completely and unambiguously described with the items in the attachment libraries (e.g., unit and dimension library, semantic library, spatial reference library, and data description template library). Furthermore, two different model integration case studies were conducted to prove that various data processing methods and efforts can be accumulated and organized with the designed UDX data processing library.",10.1007/s12665-015-4270-5,0.0
43,"Zhou, YB; Li, YG; Wang, W",A feature-based fixture design methodology for the manufacturing of aircraft structural parts,Article,,"In fixture design for the manufacturing of aircraft structural parts, there are various challenges and serious problems in industry, such as difficulty in design knowledge capture and reuse, and the arbitrary or non-standard nature of design, which influence the efficiency and quality of fixture design. This paper proposes a feature-based fixture design methodology in which previous fixture design cases and design rules are described in association with features and thus the design knowledge is integrated with geometric information of aircraft structural parts, which are the main concern of this project. In this methodology, machining features of the structural parts and their associated attributes are identified by feature recognition technique from the 3 dimensional (3D) part models defined based on model-based definition (MBD) technique. The feature-based part information models are then established and are used to retrieve previous fixture design cases and design rules stored in the knowledge base. Fixture designers will choose the appropriate retrieved design cases as the starting point for new fixture design or use previous designs to assess his/her current design. In this way the process of new fixture design can be improved. In the current stage of the research, a prototype feature-based fixture design system based on CATIA for the manufacturing of aircraft structural parts has been developed and used by a large airplane manufacturer. (C) 2011 Elsevier Ltd. All rights reserved.",10.1016/j.rcim.2011.05.002,0.0
39,"Liu, JF; Zhou, HG; Liu, XJ; Jing, XW",A flexible process information reuse method for similar machining feature,Article,,"Dynamically changing machining conditions and uncertain manufacturing resource availability are forcing manufacturing enterprises to search advanced process planning in order to increase productivity and ensure product quality. As growing quantities of the three-dimensional process models are gradually applied, reusing the embedded manufacturing information in process models with less time and lower cost attracts a lot of attention. In this paper, a new flexible method is presented to reuse the existing process information based on retrieval of the similar machining feature. First, the three-level organization model is introduced to represent the process information; the machining feature which is seen as the parent layer carries the corresponding manufacturing information. To ensure accurately that the process information are obtained, the associated mechanism between the machining feature and process information is created. Second, an eight-node representation scheme is designed to represent the similar machining feature having same variations in topology and geometry. For accelerating similar feature retrieval, the extension-attributed adjacency graph and the topological relationship of the machining feature faces are built. Finally, some aircraft structural parts are utilized in the developed prototype module to verify the effectiveness of the proposed method. This method can be used as the basis for accumulation of the process information; it can promote the development and application of the intelligent process planning.",10.1007/s00170-017-0131-6,0.0
3,"Nian, SX; Pham, T; Haas, C; Ibrahim, N; Yoon, D; Bregman, H",A functional demonstration of adaptive reuse of waste into modular assemblies for structural applications: The case of bicycle frames,Article,,"Can waste that possesses convenient structural properties be repurposed into modular structural assemblies and thus contribute to a circular economy in the built environment? This is a largely novel idea that is under-explored. A structured and generalized framework is presented to address and evaluate this idea. Validation of the efficacy of the framework is based on functional demonstration for a particularly compelling waste stream opportunity presented by the large number of discarded bicycle frames in many world economies. Key imped-iments include but are not limited to, efficient solutions to materials disassembly, sorting, structural properties assessment, markets, and re-assembly designs. Detailed analysis of modular structural truss assemblies from bicycle frames helps to demonstrate the solution steps included in the framework. In particular, the functional demonstration of the research concepts validates the feasibility of adaptively reusing bicycle frames into a modular assembly with a maximum load capacity of 3.6 kPa. The methodology presented can be used to add value to specific waste streams, contribute to reducing environmental impacts, and serve as a model for other adaptive reuse applications beyond the structural design context. The findings point to implications for product stewardship, as well as design for disassembly, and support future project development plans for policymakers. Barriers addressed by this research include those related to structural competency, lifecycle optimization, and economic feasibility. This research inspires new ideas to employ waste material for structural designs and encourage circular economy practices.",10.1016/j.jclepro.2022.131162,0.0
140,"Zhu, DS; Zhang, ZJ; Shi, LL; Qian, JH; Qimuge, S; Song, D",A hierarchical assembly knowledge representation framework and microdevice assembly ontology,Article,,"Microdevice assembly knowledge is dispersed in different product development phases, such as assembly design, assembly simulation and assembly process, and a lot of essential knowledge is implicit and heterogeneous. It is difficult for researchers and computer-aided systems to share and reuse different assembly knowledge quickly and accurately, leading to inefficient and inaccurate assembly process planning. To integrate and structurally represent the assembly design knowledge, assembly simulation knowledge and assembly process knowledge of microdevice, this paper proposes a hierarchical assembly knowledge representation framework and develops a microdevice assembly ontology. There are four layers in the framework, including the organizational structure, the structural relationship, the assembly accuracy, and the process characteristics. The assembly design knowledge that is integrated involves the basic properties of the assembly object as well as the spatial, mating, and assembly relationship, etc. Assembly simulation knowledge refers to the permissible range of assembly force and contact force. Knowledge of assembly processes comprises assembly sequence and operating method of the part. The microdevice assembly ontology is developed based on METHONTOLOGY, and implemented with Prote ' ge '. The corresponding SWRL rules have been established to inference the implicit knowledge in assembly design. An ignition target assembly knowledge model based on the microdevice assembly ontology is con-structed. In the assembly task of the ignition target, engineers can quickly and accurately access the required assembly knowledge from the ignition target assembly knowledge model, thus verifying the integrity and validity of the microdevice assembly ontology.",10.1016/j.aei.2022.101705,0.0
209,"Zhang, M; Li, GX; Gong, JZ; Wu, BZ",A hierarchical functional solving framework with hybrid mappings for supporting the design process in the conceptual phase,Article,,"Inheritance and innovation play important roles in the conceptual design phase. Inheritance can achieve rapid design by reusing existing design knowledge, while innovation can realize innovative design by developing creative ideas and concepts. Thus, an ideal conceptual design model should administer to the implementation of inheritance and innovation. Considering rational design domains and mapping relations is beneficial to knowledge representation and inheritance. According with the thinking process of humans it is propitious to human intervention and innovation. To meet these requirements, this article proposes a hierarchical functional solving framework with hybrid mappings. In this framework, there are four design domains including function, working principle, behaviour and structure. The reasoning process of product function design consists of four mapping patterns, which are solving mapping pattern, reformulation mapping pattern, decomposition mapping pattern and derivative mapping pattern, totalling 15 basic mapping relations. The evolutionary logic of these mapping relations is developed in this article. In addition, the flow of the solving process from each design domain is established. The procedure in applying the proposed framework to the conceptual design is presented subsequently. Moreover, several embodiment strategies ensuring the effectiveness of identified design solutions are also proposed, including performance match analysis, behavioural compatibility analysis and structural compatibility analysis. Finally, a design case of the telescopic shuttle mechanism of an automatic storage/retrieval machine is studied to illustrate and demonstrate the feasibility of the proposed framework.",10.1177/0954405412450379,0.0
36,"Liu, CQ; Li, YG; Li, ZY",A machining feature definition approach by using two-times unsupervised clustering based on historical data for process knowledge reuse,Article,,"Machining features have been deemed as an effective way to accumulate and reuse machining process knowledge. The research gap for machining feature based method is how to define machining features, as the geometric shapes and machining processes of the same kind of machining features are only similar but not seriously unique. In order to address the issue mentioned above, a machining feature definition approach based on historical data for process knowledge reuse via two-times unsupervised clustering is proposed in this paper. Machining feature definition is realized based on learning machining feature patterns using unsupervised clustering by taking advantage of historical data. The feasibility of the proposed approach is validated by some aircraft structural parts, which provides an important theoretical reference for process planning and process reuse.",10.1016/j.jmsy.2018.08.003,0.0
22,"Dunant, CF; Skelton, ACH; Drewniok, MP; Cullen, JM; Allwood, JM",A marginal abatement cost curve for material efficiency accounting for uncertainty,Article,MACC; Material efficiency; Policy guidance,"Comparing costs of measures to mitigate greenhouse gas is challenging as there are many competing notions of costs, and uncertainties associated with cost estimates. In addition, there are many different types of mitigation measures, from supply-side investment solutions to demand-side efficiency improvements, which may interact, risking double-counting of abatement potentials. This paper presents a novel, transparent methodology for building a marginal abatement cost curve that allows abatement costs and potentials to be compared. This curve improves over existing methods as it allows for abatement measures to be pursued in parallel, takes into account the interplay between abatement measures and captures data on cost uncertainty. The method is applied to build the first bottom-up marginal abatement cost curve for greater material efficiency steel use in the UK. This curve is demonstrated via four material efficiency measures which do not require large changes in final uses of products: reusing steel beams in construction, specifying optimal lightweight beams in construction, choosing smaller cars and specifying high strength steel car bodies. The results show that these strategies could reduce UK steel demand and associated global emissions by approximately 12%. 17% of this potential would be viable at the Department for Business, Energy & Industrial Strategy (BEIS) 2030 carbon price for policy appraisal (79 pound/ t CO2) taking into account emissions savings associated with steel demand only. Once use-phase emissions savings are taken into account this share increases to 60%. These results can be traced directly back to underlying assumptions regarding costs and emissions allocations.",,
214,"Fei, GY; Gao, J; Owodunni, O; Tang, XQ",A method for engineering design change analysis using system modelling and knowledge management techniques,Article,,"Engineering design change management is very important to the success of engineering product development. It has been recognised that the earlier change issues are addressed, the greater product lifecycle costs can be saved. However, in practice, most engineering changes happen in the manufacturing phase, the later phase of product development. Change issues happening in the design phase, especially between the functional and the structural domains, have been a research focus in recent years, and thus there is significant research work that has been carried out to resolve early engineering change issues from different perspectives. This article presents a novel methodology that has been developed to help designers trace, analyse and evaluate engineering changes occurring in the product design phase. A modelling method is employed to enhance the traceability of potential design changes occurred between the functional and structural domains of design. Based on functional and physical models, a matrix-based method is developed to analyse change propagations between components and help find out design conflicts arising from design changes. A knowledge-based method has been proposed to resolve design conflicts by reusing previous design change knowledge. An industrial example about changes of a wind turbine cooling system has been used to help understand the methodology and prove its usefulness.",10.1080/0951192X.2011.562544,0.0
62,"Griffin, CT; Douville, E; Thompson, B; Hoffman, M",A multi-performance comparison of long-span structural systems,Proceedings Paper,,"When a building requires a long span, especially on the ground floor of a multistory building, the long span often determines the structural system used early in the design process without any other consideration. Commercial and residential buildings are responsible for roughly 40% of all carbon emissions and energy use, more than any other sector in the USA. Moreover, this excludes the significant energy and emissions required to extract, process, transport and assemble building components. Globally, the production of cement alone accounts for 4% of carbon dioxide emissions. Consequently, reducing the environmental impact of building construction and operations is critical to address interrelated issues such as global climate change. The role of structural systems in the overall performance of a building has been largely neglected. Very little consideration is given to other ways the structure could contribute to improving sustainable outcomes. This is in spite of the fact that the structure of a typical office building contributes roughly one-quarter of the total embodied energy and is, at the very least, the armature for all other building systems. Existing research into the embodied energy of structural systems focuses on hypothetical office buildings with uniform structural layouts, a range of comparable, existing office buildings or housing without comparing or accounting for the long spans. Like all other aspects of a building, the structural system needs to be understood in terms of wide range of sustainability issues: embodied energy, operational energy, longevity and reuse. If structural systems could be left exposed without additional finishes as well as be configured to provide a higher level of thermal comfort, more daylight and acoustic isolation, this could significantly reduce the operational energy and the initial materials required for new construction. These multi-performance structural systems, in contrast to high-performance structural materials that aim to only improve structural properties, offer considerable and largely untapped opportunities to improve new and existing buildings while potentially lowering construction costs. Using a five-story, 2,500 square-meter (27,000 square-foot) classroom building with 24.4 meters by 30.5 meters (80 feet by 100 feet) auditorium on the ground floor as a case study currently in design at Oregon State University, the multi-performance criteria for three long span systems, including steel, concrete and wood, are compared. These criteria include embodied energy and carbon, structural and spatial properties, acoustical properties, fire protection and thermal properties. This paper argues that the most efficient structural solution may not be the best in terms of overall sustainability outcomes, and the selection of a structural system should be based on multi-performance criteria.",,
70,"Liu, JF; Liu, XJ; Ni, ZH; Zhou, HG",A new method of reusing the manufacturing information for the slightly changed 3D CAD model,Article,,"Nowadays, growing quantities of process models in the process planning system are generated in enterprises based on the 3D design model. Usually, these process models contain a great deal of process information. So, how to reuse the embedded manufacturing information plays an important role in the competitive global market for the enterprises increasingly, because it can save enormous time and cost. In this paper, a new method is presented to reuse the existing manufacturing information for the slightly changed 3D design model. First, the hierarchical data structure of process route is introduced to represent the dynamic evolution process of mechanical part model, which takes working procedure model as the carrier of manufacturing information. Second, a multilevel machining feature descriptor which captures different levels of information for each process is designed to search the query machining feature. Moreover, the proposed algorithm of obtaining the main machining feature face for accelerating feature match is given to filter out unmatched feature. Then, the strategies of reusing the manufacturing information are proposed: the matched machining features can automatically obtain the manufacturing information and the unmatched machining features are dealt with by interactive mode. Finally, some slightly changed aircraft structural parts are utilized to verify our proposed method for reusing the manufacturing information. A prototype system has been developed to verify the effectiveness of the proposed method.",10.1007/s10845-016-1220-3,0.0
97,"Mou, WP; Gao, X",A reliable process planning approach based on fuzzy comprehensive evaluation method incorporating historical machining data,Article,,"The quality of process planning could directly affect product quality, machining efficiency and cost. In small batch production such as machining aircraft structural parts, human experience is dominant in the process planning of those parts with great variability. Inferior planning of the machining process directly leads to low efficiency and quality, which has serious impact on the lead time of aircraft structural parts. To address these problems, different from the existing process knowledge reuse method by estimating the geometric similarity, a more reliable process planning method based on fuzzy comprehensive evaluation via historical machining data is proposed in this article. As long as machining resources are determined, a feature-based historical machining data model can be built, and the similarities between new machining features and the features in the database are estimated accordingly. Machining strategy, which contains tool path strategy and machining parameters, can then be identified according to the evaluation results of the similar features based on entropy weight method. A prototype system is developed and successfully applied to the typical aircraft structural parts.",10.1177/0954405419889500,0.0
73,"Asdrubali, F; Ferracuti, B; Lombardi, L; Guattari, C; Evangelisti, L; Grazieschi, G","A review of structural, thermo-physical, acoustical, and environmental properties of wooden materials for building applications",Review,,"The current environmental and energetic crisis and the resulting regulations led to a new interest in using sustainable materials for building applications. Wood can be a material with high sustainable rates because it is recyclable, reusable and naturally renewable. Moreover, its excellent strength-to-weight ratios, thermal insulating and acoustical properties make it useful for different kinds of applications in buildings, ranging from structural beams and frames, insulating envelopes, windows, door frames, to wall and flooring materials and furniture. Although wood is commonly classified as a sustainable material, its real sustainability depends on different issues: appropriate forest management, manufacturing methods and site assembly, distance required for transportation and use of glues. Wood has also good seismic performances due to its lightweight and even if timber elements are not able to have a ductile behavior, using steel connection allows to build dissipative structure, as well platform frame and X-LAM panels systems. Insulation properties are related to low thermal conductivity values. Furthermore, wooden elements can be used to minimize sound transmission and they can be employed as sustainable materials as several Life Cycle Assessment studies demonstrate. This review paper aims to analyze the structural, thermal, acoustical and environmental properties of wooden materials for building applications; other properties such as fire resistance and durability were also taken into account. The work is completed by several tables and graphs with wood properties and by an updated and thorough reference list (C) 2016 Elsevier Ltd. All rights reserved.",10.1016/j.buildenv.2016.12.033,0.0
134,"Francia, D; Liverani, A; Donnici, G; Frizziero, L; Marinelli, N",A structured index describing the ease of disassembly for handcrafted product,Article,,"Both economic and environmental aspects significantly influence the design process since the early phases of preliminary design. The total Life Cycle Assessment (LCA) and the End of Life (EoL) of products have to be defined in the early design phases too but, for industrial products that are not feasible to automatic production, they are hard issues. However, the EoL of products can be assessed by evaluating the disassembly of joints assembling the product, even when the production process is subject to an important contribute of workmanship. In this paper, a useful method is proposed to analyze the disassembly plant of products, in order to optimize the design process in the early preliminary phases. The method quantitatively evaluates a Disassembly Index that describes the attitude of a product to be disassembled. A case study describes the disassembly attitude of structural subassemblies of a sailboat. In order to test the applicability of the model described to both manual and automated disassembly, a further application of the method is proposed on a Computer CPU. As result, the model demonstrated good sensitiveness to the testing of products quite different for dimensions, number of components, manufacturing processes and, in all cases, it quantified the disassembly easiness with good relevance.",10.1080/23311916.2019.1609178,0.0
224,"Huang, GQ; Li, L; Chen, X",A tandem evolutionary algorithm for platform product customization,Article,,"The increasing demand for reduction in time to market has led to new product development methodologies focusing on reuse. Platform product customization emerges as a basic idea for avoiding designing a new product completely from scratch, but reusing a product platform instead Key dimensions of some modules of the platform can be stretched or shrunk while modules themselves can be swapped to formulate multiple product variants in a family according to specific customer requirements. This paper formulates such a problem of platform product customization as an optimization problem consistent, with the manufacturer's goal in the design of product variant(s) while satisfying customer requirements and design constraints. Optimal customization takes place at the levels of product structure and module parameters. A tandem evolutionary algorithm is proposed for identifying the optimal structural composition and the optimal parameters of the corresponding structure. The encoding schemes and genetic operators for structure and parameter optimization are designed, respectively. A case study of gantry crane customization is given to illustrate how the proposed evolutionary customization design method is used. The effectiveness of the method is also evaluated through a series of sensitivity analyses.",10.1115/1.2720883,0.0
