,Unnamed: 0.1,Unnamed: 0,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Use in Thesis,Priority,Use for Thesis,index
10,14.0,18.0,2NYCAYHU,thesis,,"Verhoeven, Joran",Towards a circular built environment,,,,,,No Abstract,,2022-11-09 09:35:08,2022-11-23 09:04:18,,,,,,,,,,,,,,,en,,Master Thesis,,,Zotero,,,,/Users/leonhardschonfelder/Zotero/storage/AQK23L99/Verhoeven - towards a circular built environment.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,tbd,
11,18.0,22.0,5X2G4HC4,thesis,,"Menasce, Anna",Information flow for building components reuse. Potential applications of Materials Passports.,,,,,,No Abstract,,2022-11-14 17:11:06,2022-11-23 09:03:52,,,,,,,,,,,,,,,,,,,,,,,,/Users/leonhardschonfelder/Zotero/storage/KC8PI9WT/01_Report_AMenasce.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,use formalization of Knowledge - Use of Framework for formalization,
12,19.0,23.0,S8MDDQVS,conferencePaper,,"Hobbs, Gilli; Adams, Katherine",Reuse of building products and materials – barriers and opportunities,,,,,,"BRE have been working with the reclamation sector in the UK for around 20 years to promote the reuse of end-of-life building products and materials in preference to recycling and recovery. Much of this has been dedicated to the promotion of pre-demolition and prerefurbishment audits to facilitate targets being set and markets for reusable resources sourced prior to work commencing. Against this backdrop the surveys undertaken to measure levels of reclamation in the UK over a 15 year period showed a significant decline. The cause of this decline was investigated and revealed a number of challenges which were affecting both the supply and demand for reclaimed products and materials. Many of the challenges to reuse are connected to the availability and robustness of data. Therefore, the work currently being undertaken as part of the H2020 funded project BAMB (Building As Material Banks) provides a great opportunity to address such gaps in buildings of the future. However, since the existing built environment will have a major impact on resource flows for many years, it is also important to consider approaches to improve data in this context also. Therefore, this presentation will summarise the challenges for reuse of building products and materials in existing and future buildings. It will then briefly describe the opportunities and solutions to address these challenges in the context of improved data access, management and evaluation. Finally, the BAMB research which should contribute to providing solutions will be explored.",,2022-11-23 15:33:39,2022-11-27 11:19:58,,,,,,,,,,,,,,,,,,,,,,,,/Users/leonhardschonfelder/Zotero/storage/MQRD3TKB/Reuse-of-building-products-and-materials-barriers-and-opportunities.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International HISER Conference on Advances in Recycling and Management of Construction and Demolition Waste,,,,,,,,,,,,,,,,,1.0,Reuse - why it is important and connection to data,
13,20.0,24.0,JSJ5FLHT,conferencePaper,,"Henrotay, C.",How do current policies support a transition towards a circular economy in the built environment?,,,,,,"Building and construction industry consumes huge quantities of materials in an unsustainable way. As a result of a linear design approach and economic model, at the end of use, but also throughout the cycle, buildings or parts of buildings are demolished and remnants treated as waste or –best case– down-cycled. This creation of waste as well as the use of virgin resources leads to an important environmental, economic and societal impact. To create a sustainable build environment, the building sector needs to move towards a circular economy in which circular and dynamic buildings as well as their component and materials preserve value. Policies and regulations in member states and across the EU will influence the ability to transition to a circular economy – positively and negatively. Within the H2020 Buildings As Materials Banks (BAMB) Project work is underway to understand where the opportunities and barriers lie in a complex and, sometimes contradictory, regulatory landscape. This paper presents an overview of the current policy instruments that are considered to have relevance in relation to promoting, or possibly hindering, the adoption of circular economy opportunities in the built environment. The analysis of the current policy instruments has been done on a European level and on a member state level for 4 different countries being: Belgium, Portugal, Sweden and UK. The paper will mainly focus on the European Level and Belgium.",,2022-11-23 15:33:39,2022-11-27 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,/Users/leonhardschonfelder/Zotero/storage/VMZR8544/How-do-current-policies-support-a-transition-towards-a-circular-economy-in-the-built-environment.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International HISER Conference on Advances in Recycling and Management of Construction and Demolition Waste,,,,,,,,,,,,,,,,,3.0,Introduction - Regulations in EU context on Reuse and CE,
14,22.0,26.0,G2F96DNX,conferencePaper,,"Debacker, Wim; Manshoven; Peters; Ribeiro; De Weerdt",Circular economy and design for change within the built environment: preparing the transition,,,,,,"The built environment is considered as a key sector in which circular economy can be implemented. Within the H2020 project “Building as Material Banks” (BAMB), two innovative solutions are being forward to support this transition: i.e. Materials Passports and Reversible Building Design Protocols. Based on desk research and interviews with frontrunners, key opportunities and barriers have been identified related to the implementation of both innovative solutions within policy, commercial, societal and R&D realms. In order to better understand these opportunities and barriers five emerging trends putting the current socio-technical system under pressure are explained. In addition, value chain and value network analyses of business-as-usual and stateof-the-art practices have been examined over major building phases: conceptualisation & design, construction, usage/operation, demolition/deconstruction & repurposing. We observed that that it is unlikely that an actor will be involved within all phases of the building and that the availability of building (product) information over all building phases is restricted. By supporting the development of Materials Passports and Reversible Building Design Protocols actors involves within the conceptualisation, design and construction stages will better understand why circular and change-supporting building design strategies are necessary. Moreover, the development of Materials Passport IT Platform and a BIM prototype will serve as a proof-of-concept on exchanging information on building products and the building's operation to actors involved within reverse logistics.",,2022-11-23 15:33:40,2022-11-27 11:21:31,,,,,,,,,,,,,,,,,,,,,,,,/Users/leonhardschonfelder/Zotero/storage/QR28IN55/Circular-economy-and-design-for-change-within-the-built-environment_prep....pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International HISER Conference on Advances in Recycling and Management of Construction and Demolition Waste,,,,,,,,,,,,,,,,,2.0,Look into the Material Passport IT Platform and BIM-Prototype,
15,23.0,28.0,63ZHWBWN,journalArticle,2020.0,"Hartmann, Timo; Trappey, Amy",Advanced Engineering Informatics - Philosophical and methodological foundations with examples from civil and construction engineering,Developments in the Built Environment,,26661659,10.1016/j.dibe.2020.100020,https://linkinghub.elsevier.com/retrieve/pii/S2666165920300168,"We argue that the representation and formalization of complex engineering knowledge is the main aim of inquiries in the scientiﬁc ﬁeld of Advanced Engineering Informatics. We introduce ontology and logic as underlying methods to formalize knowledge. We also suggest that it is important to account for the purpose of engineers and the context they work in while representing and formalizing knowledge. Based on the concepts of ontology, logic, purpose, and context, we discuss different possible research methods and approaches that scholars can use to formalize complex engineering knowledge and to validate whether a speciﬁc formalization can support engineers with their complex tasks. On the grounds of this discussion, we suggest that Advanced Engineering research efforts should be conducted in a bottom-up manner closely involving engineering practitioners. We also suggest that researchers make use of social science methods while eliciting knowledge to formalize and while validating their formalized knowledge.",2020-11-01 00:00:00,2022-11-15 12:46:22,2022-11-15 12:46:22,2022-11-15 12:46:22,100020,,,4,,Developments in the Built Environment,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/leonhardschonfelder/Zotero/storage/32XB9G68/Hartmann und Trappey - 2020 - Advanced Engineering Informatics - Philosophical a.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Methodology - why and how this approach has been chosen for the Thesis,
16,24.0,29.0,LL7JBQKB,journalArticle,2021.0,"İzmirli, Damla; Ekren, Banu Y.; Kumar, Vikas; Pongsakornrungsilp, Siwarit",Omni-Chanel Network Design towards Circular Economy under Inventory Share Policies,Sustainability,,2071-1050,10.3390/su13052875,https://www.mdpi.com/2071-1050/13/5/2875,"In this paper, we study inventory share policies in an omni-channel supply network, to contribute to the circular economy (CE) concept. Lateral inventory share implementation provides ﬂexibility and proﬁtability in the supply chain by allowing inventory share between the same echelon locations in a network. Total holding costs and transportation costs can be reduced by lateral inventory share applications, which also contribute to decreased material usage for production over time, as well as reduced CO2 emission released by transportation. Technological and Internet of Things (IoT) developments make it possible for companies to share their real-time information with each other for uninterrupted marketing experiences. With such a connected network, companies aim to increase their proﬁtability and responsiveness to their customers. We explore a well-designed inventory share policy towards the CE concept under an (s, S) inventory control policy. We simulate several pre-deﬁned share designs by Arena 16.0 commercial software and compare their performances in terms of cost, responsiveness, transportation frequency, inventory held, etc. The results show that, by the implementation of a well-designed lateral inventory share policy, an omni-channel network can beneﬁt from decreased holding cost and transportation cost, contributing to the CE concept.",2021-03-07,2021-12-29 12:44:05,2022-04-21 14:36:10,2021-12-29 12:44:05,2875,,5.0,13,,Sustainability,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/leonhardschonfelder/Zotero/storage/MN42Z4R2/İzmirli et al. - 2021 - Omni-Chanel Network Design towards Circular Econom.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,tbd - look at conclusion to see what they exactly do. Inventory? ,
17,25.0,30.0,4MVSG5PA,journalArticle,,"John, Dr Viola",von Baukomponenten (RE-USE),,,,,,No Abstract,,2022-04-16 21:26:51,2022-11-08 14:22:38,,102,,,,,,,,,,,,,de,,,,,Zotero,,,,/Users/leonhardschonfelder/Zotero/storage/TYQ8DG6X/John - von Baukomponenten (RE-USE).pdf,,Reuse; Reusability; Inventory Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,tbd,
18,26.0,31.0,4FRMD8FZ,journalArticle,2019.0,"Rose, Colin M; Stegemann, Julia A",Characterising existing buildings as material banks (E-BAMB) to enable component reuse,Proceedings of the Institution of Civil Engineers - Engineering Sustainability,,"1478-4629, 1751-7680",10.1680/jensu.17.00074,https://www.icevirtuallibrary.com/doi/10.1680/jensu.17.00074,"As-built records for existing buildings tend to be poor. Components that make up the existing building stock must be better characterised to prevent them becoming waste. The first record of materials in an existing building is often the waste report, which classifies materials for waste management and gathers information after the opportunity for higher-value reuse of components has passed. Policy at various levels aims to increase reuse, but an understanding of ‘existing buildings as material banks’ (E-BAMB) is a necessary precursor to overcoming other barriers. This paper reviews the current means of understanding E-BAMB and identifies its shortfalls. This analysis leads to the conception of a strategy in which the various approaches are organised as an information system. The future role of technology and mandatory provision of E-BAMB information at the planning stage are explored. The proposed system would enable specifiers, manufacturers and academics to assess the wealth of materials that can be reused, repurposed or upcycled in new projects or businesses. This does not guarantee that actual reuse will occur, as financial, technical and legal barriers may remain. However, it creates the context for assessing secondary components against their virgin equivalents and the enabling conditions for new circular business models.",2019-05-01,2022-04-16 21:27:35,2022-04-16 22:39:16,2022-04-16 21:27:35,129-140,,3.0,172,,Proceedings of the Institution of Civil Engineers - Engineering Sustainability,,,,,,,,en,,,,,DOI.org (Crossref),,BAMB,,/Users/leonhardschonfelder/Zotero/storage/NVCKYYV4/Rose und Stegemann - 2019 - Characterising existing buildings as material bank.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,tbd,
19,27.0,32.0,M2KCRNAZ,journalArticle,2021.0,"Munaro, Mayara Regina; Tavares, Sergio Fernando",Materials passport's review: challenges and opportunities toward a circular economy building sector,Built Environment Project and Asset Management,,2044-124X,10.1108/BEPAM-02-2020-0027,https://www.emerald.com/insight/content/doi/10.1108/BEPAM-02-2020-0027/full/html,"Purpose – Reuse and recycling building materials depend on an efficient set of information and tracking, which can be obtained by the materials passport (MP) tool. Although MP introduces principles of circular economy (CE) and brings environmental, social and economic benefits, it is little-explored in the construction sector. The purpose of this study is to explore the adoption of the MP in the sector to raise awareness about this tool. This analysis leads to the conception of a model and identifies the main challenges and opportunities to increase MP implementation in the sector.",2021-10-21,2022-04-16 21:29:43,2022-11-08 14:32:02,2022-04-16 21:29:43,767-782,,4.0,11,,BEPAM,Materials passport's review,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/leonhardschonfelder/Zotero/storage/7ZY99QXH/Munaro und Tavares - 2021 - Materials passport's review challenges and opport.pdf,,Inventory Process; Material passport; Invormation of Audits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Material Passports - Understanding and information (set of information),
20,28.0,33.0,FKD7BEM8,journalArticle,2017.0,"Bougrain, Frédéric; Laurenceau, Sylvain",Reuse of building components: an economic analysis,,,,,,"In France the building industry accounts for the largest share of greenhouse gas emissions. It represents about one quarter of France’s national emissions. To deal with this challenge, the French energy transition for Green Growth law was adopted in July 2015. Buildings renovation, clean transport, renewable energy and the circular economy are at the agenda. The law sets several ambitious objectives for construction and demolition wastes (C&DW). The goal is to recycle 70% of construction and engineering waste by 2020 while around 60% of construction and demolition wastes (C&DW) are currently reused, recycled or recovered.",2017,2022-04-16 21:30:00,2022-04-16 21:37:16,,5,,,,,,,,,,,,,en,,,,,Zotero,,,,/Users/leonhardschonfelder/Zotero/storage/XR4Z6MAS/Bougrain und Laurenceau - 2017 - Reuse of building components an economic analysis.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Look at conclusion - Maybe good argument for reuse from economical side (?),
21,29.0,34.0,HT67PES6,journalArticle,2015.0,"Billiet, Lionel; Seys, Sophie",Vade-mecum pour le réemploi hors site,,,,,,No Abstract,2015,2022-04-16 21:30:24,2022-04-16 22:38:38,,8,,,,,,,,,,,,,fr,,,,,Zotero,,Inventory,,/Users/leonhardschonfelder/Zotero/storage/8EDMIUCX/Billiet und Seys - 2015 - Vade-mecum pour le réemploi hors site.pdf; /Users/leonhardschonfelder/Zotero/storage/TVWIQ7QB/ROTOR_guide.to.extract.reusable.material.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,tbd,
