,Unnamed: 0.1,Unnamed: 0,Authors,Title,Year,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Type,Article Title,Keywords Plus,Publication Date,Publication Year,DOI Link,Use in Thesis,Priority,Use for Thesis
14,101,63,"El Asri H., Jebbor F., Benhlima L.",Building a Domain Ontology for the Construction Industry: Towards Knowledge Sharing,2021.0,10.1007/978-3-030-73882-2_97,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111245375&doi=10.1007%2f978-3-030-73882-2_97&partnerID=40&md5=42c7a11122be6466d9950c186a6fa9ec,"As the construction industry has crucial interplays with many related fields, all in a constant state of flux, the use of a domain ontology to capture various relevant entries from related subdomains has become of paramount importance. The purpose of this article is to conceptualize the utility of ontologies in the construction industry as a solution for inter-sectorial transactions. Thereafter, upon presenting the process of ontology development, a real-life company was taken as a case study to implement the developed ontology. The purpose behind this study is to fully automate the generation of a domain ontology from Excel to OWL files. The methodology and process followed are thoroughly explained in the paper. The process is meant to be generic in such a way it could be reused in other projects for other industries, provided that the data is hierarchical and presented under Excel. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Construction; Domain ontology; Knowledge sharing,,Conference Paper,,,,,,,,1,show process of how to create ontologies for a company - read conlcusion and method. 
15,103,53,"Sauter E.M., Lemmens R.L.G., Pauwels P.",CEO & CAMO ontologies: A circulation medium for materials in the construction industry,2019.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063937015&partnerID=40&md5=4abd842f3cffd7a9ba96ebfe58b486e3,"This paper evaluates the potential of semantic technologies to facilitate building material circulation in the construction industry within the Circular Economy (CE) context. It suggests building material passports as a data source for the materials to be circulated and then integrates them by means of Linked Data.A common language is proposed to combine and re-use the material data in the CE with the creation of two ontologies: Circular Exchange Ontology (CEO) and the Circular Materials and Activities Ontology (CAMO). The ontologies annotate materials under a CE classification scheme and describe the elements required for material exchange to occur: actors, the activities they perform and the referents of these activities (resources, products, tools and waste).An evaluation of the ontologies is made by means of use case-driven SPARQL queries. Further, a wide-scale evaluation addresses how a decentralized data ecosystem can enable users to publish information and dynamically interact with different repositories to exchange materials. Results indicate that these ontologies can foster a circulation medium between diverse construction industry resources. Future work contemplates validation of both ontologies in a real-world-setting with computer scientists and companies in the construction sector in the Benelux area. © 2019 Taylor & Francis Group, London",,Building materials; Construction industry; Life cycle; Semantics; Circular economy; Classification scheme; Common languages; Computer scientists; Construction sectors; Material circulation; Real world setting; Semantic technologies; Ontology,Conference Paper,,,,,,,,1,Ontologie for Circular economy
18,125,363,"Schevers H., Drogemuller R.",Converting the industry foundation classes to the web ontology language,2005.0,10.1109/SKG.2005.59,https://www.scopus.com/inward/record.uri?eid=2-s2.0-42749104905&doi=10.1109%2fSKG.2005.59&partnerID=40&md5=86294af672b5c48370ba06a59fd38faa,"The upcoming next generation of the internet, often referred to as the Semantic Web, will bring a lot of new technologies, one of which is the Web Ontology Language (OWL). One feature of this language is to support interoperability between software applications, including web services and intelligent agents. Another technology to bring interoperability between software programs is ISO-10303 Standard Exchange of Product data (STEP). The Industry Foundation Classes (IFC) have been developed as a building information model for the building and construction industry using technology from STEP. Converting IFC to OWL can be done on different ways. A unidirectional conversion from an IFC to an OWL has been developed for research purposes. The developed prototype converts not all the IFC data to OWL but supports the search for a more appropriate mapping. As the conversion is not straightforward, reengineering the building model to gain more advantages of functionality offered by OWL has to be investigated. © 2006 IEEE.",,Computer programming languages; Data structures; Intelligent agents; Interoperability; Ontology; Semantic Web; Information model; Standard Exchange of Product data (STEP); Web Ontology Language (OWL); World Wide Web,Conference Paper,,,,,,,,2,Connection to Powels? Read Conclusion
20,134,276,Tweed C.,Developing and using ontologies in practice,2011.0,10.1007/978-0-85729-724-2_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032271332&doi=10.1007%2f978-0-85729-724-2_11&partnerID=40&md5=31ec102f533449f0804d74d5b8f4462f,"The previous sections have presented and described ontologies developed for use in a wide range of applications linked to the urban built environment domain. In many cases these ontologies have been developed through university-based research projects to achieve interoperability between different software systems. The interface, therefore, is between systems. In contrast, this section of the book seeks to explore some of the issues that arise when ontologies are introduced into working organisations. What happens at the user-ontology interface? And how does an ontology impinge on the working practices of an organisation? Although it is beyond the scope of the COST Action C21 to answer such questions, we can begin to consider what shape the answers may take. © Springer-Verlag London Limited 2011.",,,Book Chapter,,,,,,,,3,Look at conclusion. More interesting for Work / Zirkular.
21,140,216,"Zhang L., Issa R.R.A.",Development of IFC-based construction industry ontology for information retrieval from IFC models,2014.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912567136&partnerID=40&md5=5dbc7434cf037e0bc1808537d7932f80,"The Industry Foundation Classes (IFC) is the preferred format for addressing the interoperability issues in using Building Information Modeling (BIM) in the information-intensive construction industry. IFC specifies virtual representation of building objects as well as their attributes and relationships. Although IFC is an open standard, its complex nature makes information retrieval from an IFC model difficult. This paper proposes an ontology built with Web Ontology Language (OWL) based on IFC specifications to help the information retrieval process from an IFC model. With simple reasoning build into the ontology, an information retrieval system could query the IFC model in XML format directly. The development of the ontology is reviewed and test cases are designed to validate the ontology. Limitations and future studies are also discussed at the end.",,Architectural design; Construction industry; Information retrieval; Intelligent computing; Building Information Model - BIM; Complex nature; Industry Foundation Classes - IFC; Open Standards; Test case; Virtual representations; Web ontology language; XML format; Search engines,Conference Paper,,,,,,,,2,Requirements for database? Link ifcOWL to onthology for CE.
24,152,184,"Pauwels P., Terkaj W.",EXPRESS to OWL for construction industry: Towards a recommendable and usable ifcOWL ontology,2016.0,10.1016/j.autcon.2015.12.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952362213&doi=10.1016%2fj.autcon.2015.12.003&partnerID=40&md5=7b68d6f1ef26264826834638644175ab,"An increasing number of information management and information exchange applications in construction industry is relying on semantic web technologies or tools from the Linked Open Data (LOD) domain to support data interoperability, flexible data exchange, distributed data management and the development of reusable tools. These goals tend to be overlapped with the purposes of the Industry Foundation Classes (IFC), which is a standard for the construction industry defined through an EXPRESS schema. A connecting point between semantic web technologies and the IFC standard would be represented by an agreed Web Ontology Language (OWL) ontology for IFC (termed ifcOWL) that allows to (1) keep on using the well-established IFC standard for representing construction data, (2) exploit the enablers of semantic web technologies in terms of data distribution, extensibility of the data model, querying, and reasoning, and (3) re-use general purpose software implementations for data storage, consistency checking and knowledge inference. Therefore, in this paper we will look into existing efforts in obtaining an ifcOWL ontology from the EXPRESS schemas of IFC and analyse which features would be required in a usable and recommendable ifcOWL ontology. In making this analysis, we present our implementations of an EXPRESS-to-OWL converter and the key features of the resulting ifcOWL ontology. © 2015 Elsevier B.V. All rights reserved.",Building; Construction; Industry Foundation Classes (IFC); Information technology; Resource Description Framework (RDF); Semantic web; Web Ontology Language (OWL),Birds; Buildings; Computational linguistics; Computer software reusability; Construction; Construction industry; Digital storage; Electronic data interchange; Information management; Information technology; Ontology; World Wide Web; Distributed data managements; General purpose software; Industry Foundation Classes - IFC; Information exchanges; Linked open data (LOD); Resource description framework; Semantic Web technology; Web ontology language; Semantic Web,Article,,,,,,,,1,"IFc and ontology - necessity to link ifc, semantic web technologies and other applications"
25,159,156,"Pauwels P., Krijnen T., Terkaj W., Beetz J.",Enhancing the ifcOWL ontology with an alternative representation for geometric data,2017.0,10.1016/j.autcon.2017.03.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017365533&doi=10.1016%2fj.autcon.2017.03.001&partnerID=40&md5=e0baaa1cdebd7436e114ace83089d39f,"Over the past few years, several suggestions have been made of how to convert an EXPRESS schema into an OWL ontology. The conversion from EXPRESS to OWL is of particular use to the architectural design and construction industry, because one of the key data models in this domain, namely the Industry Foundation Classes (IFC), is represented using the EXPRESS information modelling language. These conversion efforts have by now resulted in a recommended ifcOWL ontology that stays semantically close to the EXPRESS schema. Two major improvements could be made in addition to this ifcOWL basis. First, the ontology could be split into diverse modules, making it easier to use subsets of the entire ontology. Second, geometric aggregated data (e.g. lists of coordinates) could be serialised into alternative, less complex semantic structures. The purpose of both improvements is to make ifcOWL data smaller in size and complexity. In this article, we focus entirely on the second topic, namely the optimization of geometric data in the semantic representation. We outline and discuss the diverse available options in optimizing the data representations used. We quantify the impact of these measures on the ifcOWL ontology and instance model size. We conclude with an explicit recommendation and give an indication of how this recommendation might be implemented in combination with the already available ifcOWL ontology. © 2017 Elsevier B.V.",BIM; Data exchange; Geometry; IFC; Linked data; OWL,Architectural design; Birds; Construction industry; Electronic data interchange; Geometry; Modeling languages; Semantics; Aggregated datum; Complex semantic structures; Data representations; Design and construction; Industry Foundation Classes - IFC; Information modelling; Linked datum; Semantic representation; Ontology,Article,,,,,,,,3,"IFC and ontologies - only necessary to read if ""Express to OWL construction industry: Towards a recommendable and usable ifcOWL ontology"" is useful. "
26,164,94,Gómez-Pérez A.,Evaluation of ontologies,2001.0,10.1002/1098-111X(200103)16:3<391::AID-INT1014>3.0.CO;2-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035278980&doi=10.1002%2f1098-111X%28200103%2916%3a3%3c391%3a%3aAID-INT1014%3e3.0.CO%3b2-2&partnerID=40&md5=af50901aa7996cd735d9656357e92bec,"The evaluation of ontologies is an emerging field. At present, there is an absence of a deep core of preliminary ideas and guidelines for evaluating ontologies. This paper presents a brief summary of previous work done on evaluating ontologies and the criteria (consistency, completeness, conciseness, expandability, and sensitiveness) used to evaluate and to assess ontologies. It also addresses the possible types of errors made when domain knowledge is structured in taxonomies in an ontology and in knowledge bases: circularity errors, exhaustive and nonexhaustive class partition errors, redundancy errors, grammatical errors, semantic errors, and incompleteness errors. It also describes the process followed to evaluate the standard-units ontology already published at the Ontology Server.",,Computational complexity; Computational linguistics; Computer programming languages; Errors; Knowledge engineering; Knowledge sharing; Ontology; Ontology server; Knowledge based systems,Article,,,,,,,,2,"Use to test ontologies and own ontology, if developed. "
27,166,197,"Kamsu-Foguem B., Abanda F.H.",Experience modeling with graphs encoded knowledge for construction industry,2015.0,10.1016/j.compind.2015.02.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928492020&doi=10.1016%2fj.compind.2015.02.004&partnerID=40&md5=93eba9dbafb3562b50d0ea18aafce4b9,"The Architecture, Engineering and Construction (AEC) industry is becoming increasingly knowledge intensive. Knowledge management has been hailed as an enabler for tapping this knowledge to improve efficiency in the AEC industry. In this study, the main concepts and benefits of knowledge management, relationships between knowledge management and continuous improvement have been examined. Furthermore, emphasis has been laid on knowledge management through experience feedback processes which constitute valuable assets for the AEC industry. This is done through the employment of ontologies and graph-based reasoning operations in eliciting and visualizing knowledge concepts in the AEC domain. The proposed approach which consists of two main aspects provides the opportunity to examine the conceptual and ontological knowledge models with associated reasoning. In the first, the concepts of knowledge management, their significance and application in the AEC field are discussed. The second deals with a methodological framework for the modeling and reasoning in the domain ontology. To facilitate automation, an ontology graph-based editor, Conceptual Graphs User Interface (CoGui) was used to model knowledge and encoded reasoning in the knowledge base. CoGui encodes knowledge as conceptual graphs and reasoning as graph operations that can be visualized in a logically precise way, based on domain ontologies. It emerged that CoGui could be very useful in acquiring information that can be used in collaboration with others to continuously improve information sharing and re-use. A French AEC company located in the Southwest region was employed as a case study in illustrating knowledge modeling through the experience feedback process. For each phase of experience feedback, actions that were implemented in the company are discussed. © 2015 Elsevier B.V. All rights reserved.",AEC industry; Conceptual graphs; Domain ontology; Knowledge formalization; Visual reasoning,Construction industry; Graphic methods; Knowledge based systems; Ontology; User interfaces; AEC industry; Conceptual graph; Domain ontologies; Knowledge formalizations; Visual reasoning; Knowledge management,Article,,,,,,,,3,"Graph based knowledge representation - look at conlcusion, method. Connection to Ontologies and GraphDB?"
28,175,222,"Costa R., Lima C., Sarraipa J., Jardim-Gonçalves R.",Facilitating knowledge sharing and reuse in building and construction domain: An ontology-based approach,2013.0,10.1007/s10845-013-0856-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027945652&doi=10.1007%2fs10845-013-0856-5&partnerID=40&md5=a8a9a662740f10cda8ff32f85a989a83,"This paper brings a contribution focused on collaborative engineering projects where knowledge plays a key role in the process. Collaboration is the arena, engineering projects are the target, knowledge is the currency used to provide harmony into the arena since it can potentially support innovation and, hence, a successful collaboration. The building and construction domain is challenged with significant problems for exchanging, sharing and integrating information between actors. For example, semantic gaps or lack of meaning definition at the conceptual and technical level, are problems fundamentally created through the employment of representations to map the ‘world’ into models in an endeavour to anticipate different actors’ views, vocabulary, and objectives. One of the primary research challenges addressed in this work is the process of formalization and representation of document content, where most existing approaches are limited in their capability and only take into account the explicit, word-based information in the document. The research described in this paper explores how traditional knowledge representations can be enriched by incorporation of implicit information derived from the complex relationships (the Semantic Associations) modelled by domain ontologies combined with the information presented in documents, thereby providing a baseline for facilitating knowledge interpretation and sharing between humans and machines. The paper introduces a novel conceptual framework for representation of knowledge sources, where each knowledge source is semantically represented (within its domain of use) by a Semantic Vector. This work contributes to the enrichment of Semantic Vectors, using the classical vector space model approach extended with ontological support, employing ontology concepts and their relations in the enrichment process. The test bed for the assessment of the approach is the Building and Construction industry, using an appropriateB&CdomainOntology. Preliminary results were collected using a clustering algorithm for document classification, which indicates that the proposed approach does improve the precision and recall of classifications. Future work and open issues are also discussed. © Springer Science+Business Media New York 2013.",Knowledge sharing; Ontology engineering; Semantic interoperability; Unsupervised document classification; Vector space models,Clustering algorithms; Construction; Construction industry; Data mining; Engineering research; Information management; Information retrieval systems; Knowledge management; Knowledge representation; Ontology; Semantics; Vectors; Document Classification; Knowledge-sharing; Ontology engineering; Semantic interoperability; Vector space models; Vector spaces,Article,,,,,,,,3,"Look at knowledge formalization - if not, discard"
30,190,72,"Fierro G., Koh J., Nagare S., Zang X., Agarwal Y., Gupta R.K., Culler D.E.",Formalizing Tag-Based Metadata With the Brick Ontology,2020.0,10.3389/fbuil.2020.558034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092310442&doi=10.3389%2ffbuil.2020.558034&partnerID=40&md5=1481596d9f9fc9b06d102c1fad1111c8,"Current efforts establishing semantic metadata standards for the built environment span academia, industry and standards bodies. For these standards to be effective, they must be clearly defined and easily extensible, encourage consistency in their usage, and integrate cleanly with existing industrial standards, such as BACnet. There is a natural tension between informal tag-based systems that rely upon idiom and convention for meaning, and formal ontologies amenable to automated tooling. We present a qualitative analysis of Project Haystack, a popular tagging system for building metadata, and identify a family of inherent interpretability and consistency issues in the tagging model that stem from its lack of a formal definition. To address these issues, we present the design and implementation of the Brick+ ontology, a drop-in replacement for Brick with clear formal semantics that enables the inference of a valid Brick model from an informal Haystack model, and demonstrate this inference across five Haystack models. © Copyright © 2020 Fierro, Koh, Nagare, Zang, Agarwal, Gupta and Culler.",Brick; building management; metadata; ontologies; OWL; Project Haystack; RDF; smart buildings,,Article,,,,,,,,3,"Look at BACnet, BRICK and BRICK+. Read conclusion, discard. "
31,191,297,"Ramaprasad A., Prakash A.N.",Fostering knowledge sharing in project management,2009.0,10.1109/HICSS.2009.222,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650760329&doi=10.1109%2fHICSS.2009.222&partnerID=40&md5=0a0fe3fe218909428f580be44bea3787,"We present an ontological analysis of the problem of fostering knowledge sharing in project management. The ontology has five dimensions derived by parsing the problem statement, namely: (a) fostering methods, (b) fostering factors, (c) fostering functions, (d) knowledge types, and (e) knowledge sharing methods. Each dimension is a taxonomy of discrete categories. The exhaustive set of combinations of categories across the five dimensions, together with appropriate connecting words and phrases, constitutes a closed description of the problem. We map (a) the extant literature on knowledge sharing, and (b) the extensive experience of one of the authors in construction project management, to these combinations to synthesize (a) the current state-of-the-knowledge on the topic, (b) the gaps in it, and (c) an agenda for further research. The method is systematic, logical, repeatable, and extensible. © 2009 IEEE.",,Construction project managements; Knowledge types; Knowledge-sharing; Ontological analysis; Problem statements; Construction industry; Ontology; Taxonomies; Project management,Conference Paper,,,,,,,,2,Look at (a) extant literature on knowledge sharing - find source for formalization of knowledge?
32,210,263,"Zhang L., Issa R.R.A.",IFC-based construction industry ontology and semantic web services framework,2011.0,10.1061/41182(416)81,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053167665&doi=10.1061%2f41182%28416%2981&partnerID=40&md5=5bd35c8cca834737260a9270f60ef8f6,"A construction project is a multi-disciplinary team effort combining inputs from various domains, for which interoperability is of great importance. Currently existing data exchange problems between different software applications is adversely impacting the overall productivity of the Architecture, Engineering and Construction (AEC) industry. The use of Industry Foundation Classes (IFC) has been proposed to help address the lack of interoperability throughout construction industry. But the IFC specification itself is too complicated for normal users without special training. This paper proposes a semantic Web Services framework utilizing IFC-based industry ontology to address the interoperability problem. First, the possibility of building an IFC-based construction industry ontology is reviewed. Then, a framework to build semantic Web Services on this ontology is suggested. Both a core service and an assistant service is included. The framework could be easily expanded as long as the same Web Services model and the common ontology is observed. Once implemented, the framework could be utilized by any IFC-supported BIM applications, as well as personnel without extensive knowledge of IFC specifications, for more precise, consistent and up-to-date project information retrieval. This approach is expected to further the effort of IFC and enhance and improve interoperability in the AEC industry without requiring extremely technologically savvy users. © 2011 ASCE.",Construction industry; Information management; Internet,"AEC industry; Architecture , engineering and construction industries; Construction projects; Industry Foundation Classes - IFC; Multi-disciplinary teams; Software applications; Architectural design; Civil engineering; Construction industry; Electronic data interchange; Information management; Information retrieval; Internet; Interoperability; Ontology; Semantic Web; Specifications; Web services",Conference Paper,,,,,,,,3,Interoperability of IFC-ontology. Read conlcusion. Maybe discard
33,213,358,Ekholm A.,ISO 12006-2 and IFC - Prerequisites for coordination of standards for classification and interoperability,2005.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-26844580927&partnerID=40&md5=43bca29cc462b87f94bb94b5e9ef2411,"There are two major candidates for Core Ontologies for the construction and facilities management sector, the ISO 12006-2 Framework for classification of information, and the Industry Foundation Classes, IFC. ISO 12006-2 has been developed to harmonize different national and regional classification systems. It is applied world wide in the development of classification systems for everyday use in the construction industry. The IFCs are intended to enable effective information sharing within the AEC/FM industry, but are still mainly at a prototype stage of development. The standards have similar objectives but show fundamental differences in semantics and structure. This work compares the standards and points out similarities and differences, firstly in order to understand their structure, and secondly to initiate a discussion about the need and the possibility to coordinate them. An integration of IFC with ISO 12006-2 would facilitate and speed up the application in everyday practise of object-based information management. According to the documentation, the starting point of IFC was to reject classification, and therefore integration with ISO 12006-2 would require a major shift of approach. Development of a common meta model, a generic domain model, and a coordinated domain framework are considered necessary tasks.",Construction classification; IFC; Interoperability; ISO 12006-2; Onstruction ontology,,Review,,,,,,,,3,Need to say why IFC and not ISO12006-2 used for integration/ use for ontology? 
34,216,299,"Beetz J., Van Leeuwen J., De Vries B.",IfcOWL: A case of transforming EXPRESS schemas into ontologies,2009.0,10.1017/S0890060409000122,https://www.scopus.com/inward/record.uri?eid=2-s2.0-68349154149&doi=10.1017%2fS0890060409000122&partnerID=40&md5=c7747d560e734da00c4cc439139b474b,"Ontologies have been successfully applied as a semantic enabler of communication between both users and applications in fragmented, heterogeneous multinational business environments. In this paper we discuss the underlying principles, their current implementation status, and most importantly, their applicability to problems in the building information modeling domain. We introduce the development of an ontology for the building and construction sector based on the industry foundation classes. We discuss several approaches of lifting modeling information that is based on the express family of languages for data modeling onto a logically rigid and semantically enhanced ontological level encoded in the W3C Ontology Web Language. We exemplify the added value of such formal notation of building models by providing several examples where generic query and reasoning algorithms can be applied to problems that otherwise have to be manually hard-wired into applications for processing building information. Furthermore, we show how the underlying resource description framework and the set of technologies evolving around it can be tailored to the need of distributed collaborative work in the building and construction industry. Copyright © 2009 Cambridge University Press.",Building Information Modeling; Knowledge Representation; Model-Driven Architectures; Ontologies,Added values; Building and construction; Building Information Modeling; Building model; Collaborative Work; Data modeling; Formal notations; Industry Foundation Classes - IFC; Model-Driven Architectures; Multinational business; Ontology web language; Reasoning algorithms; Resource description framework; Schemas; Underlying principles; Architectural design; Construction industry; Knowledge representation; Linguistics; Model buildings; Query languages; Systems analysis; Ontology,Article,,,,,,,,2,"Check if from Powels. ifcOWL, ontology and connection to w3C owl."
36,228,190,"Niknam M., Karshenas S.",Integrating BIM and Project Schedule Information Using Semantic Web Technology,2016.0,10.1061/9780784479827.070,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976428115&doi=10.1061%2f9780784479827.070&partnerID=40&md5=e8abcd9a2c88f96e97baf94f1dfbd678,"A construction project requires collaboration of a large number of individuals working in different organizations to deliver the project on time and within the budget. Architecture, engineering, and construction industry spends time and money to solve the information sharing and interoperability issues between different domains. With the advent of building information modeling, a 3D CAD model of a project is used as a shared knowledge resource during the design, construction, and facility management phases of a project's life cycle. Currently, 4D models are created by combining CAD and schedule information. A 4D model is useful for detecting potential construction conflicts during the project planning and design and a valuable tool during construction. However, creating 4D models requires a great amount of human involvement. An approach that facilitates integrating BIM and schedule information can improve efficiency and is highly desirable. This paper presents a new approach to information modeling using the Semantic Web technology. The Semantic Web provides an infrastructure and a data modeling format that allows computers to access and combine information distributed over the Internet. The paper discusses: (1) ontologies that the authors have developed for BIM and project schedule information; (2) how ontologies are used for creating project knowledge bases in RDF/OWL format; and (3) how project knowledge bases can facilitate machine processing of project information and semantic interoperability among project knowledge bases. The Semantic Web approach allows information to be saved once at the provider source and be used by authorized users as needed. This means BIM information is created and maintained by designers and project schedule is created and maintained by schedulers on their respective servers. This would allow the latest BIM and project schedule information to be accessed over the Internet and combined for various purposes. © ASCE.",,"Architectural design; Budget control; Computer aided design; Construction industry; Information analysis; Information management; Information theory; Information use; Internet; Interoperability; Life cycle; Office buildings; Semantic Web; Architecture , engineering , and constructions; Building Information Model - BIM; Construction projects; Information Modeling; Project informations; Semantic interoperability; Semantic web approach; Semantic Web technology; Project management",Conference Paper,,,,,,,,3,Look at point (2) how ontologies are used for creating project knowledge bases in RDF/OWL format
37,233,135,"Usman Z.S., Tah J.H.M., Abanda F.H., Nche C.",Integration of an ontology with ifc for efficient knowledge discovery in the construction domain,2018.0,10.1201/9780429506215-54,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079330758&doi=10.1201%2f9780429506215-54&partnerID=40&md5=4ad6d2ad1201101e5ffe93fe7b9f41d4,"In the most recent years, the Semantic Web applied to Building Information Modelling and Industry Foundation Classes are the most widely recognized efforts in the digitalization of products in the architectural, engineering and construction industry. This study performs knowledge discovery of construction products from domain experts to build an ontology. However, ontology developed becomes an isolated conceptualization. In order to get rich domain ontology, novel approach is to retrieve knowledge from domain-specific online product repositories such as the industry foundation classes. This study identifies similarities between the industry foundation classes and ontology likewise their differences with the hope that it would develop an enhanced knowledge conceptualization of the domain. Integration of IFC and ontology will mean that concepts represent well-established standard terms rich in domain knowledge. Other semantic web technologies can then be exploited on the resulting application to perform data querying, consistency checking, data reasoning, knowledge inference and so much more. Thus, the resulting ontology could be standardized and be easily applied for use in practice in the industry. © 2018 Taylor & Francis Group, London.",Industry Foundation Classes (IFC); Ontology; Photovoltaic Systems (PV); Semantic Web (SW); Web Ontology Language (OWL),"Construction industry; Foundations; Photovoltaic cells; Process engineering; Semantic Web; Architectural , engineering and constructions; Building Information Modelling; Construction products; Industry Foundation Classes - IFC; Knowledge conceptualization; Photovoltaic systems; Semantic Web technology; Web ontology language; Ontology",Conference Paper,,,,,,,,3,compare with Powels - otherwise discard
41,297,56,"Karlapudi J., Valluru P., Menzel K.",Ontological approach for LOD-sensitive BIM-data management,2021.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124426983&partnerID=40&md5=0d4795a39b7451e22b2d0a9a231c7fbc,"The construction industry is a collaborative environment with the involvement of multiple disciplines and activities throughout the Building Lifecycle Stages. The collaboration requires the iterative and coordinated exchange of information for significant improvement of the building design, construction and management. The successful representation of these information refinements enables the identification of the required level of detail (LOD) for data sharing parameters between the multiple disciplines. Since the last decade, LOD is a promising approach for efficient representation of semantically rich BIM data in different levels. Despite the improvement, there is a lack of efficient implementation in building lifecycle functionalities, because of their fundamental heterogeneity, versatility and adaptability. The proposed approach enables the representation of LOD-sensitive BIM data through the formal definition of ontologies. The paper validates this approach based on the concept of competency questions and their respective SPARQL queries. With the demonstration and validation, the paper provides the conceptual proof for the practical application of the developed approach. The proposed solution can also be easily adaptable and applicable to the present BIM process since the representation of BIM data in different ontologies (BOT, ifcOWL, etc.) are within reach. © 2021 Copyright for this paper by its authors.",BIM; Competency questions; LOD; Ontologies; SPARQL queries,Architectural design; Construction; Construction industry; Information management; Life cycle; BIM; Building life cycle; Collaborative environments; Competency question; Exchange of information; Level-of-detail; Life cycle stages; Multiple disciplines; Ontological approach; Ontology's; Ontology,Conference Paper,,,,,,,,3,Look at SPARQL-Queries and read conclusion
44,324,236,"Karshenas S., Niknam M.",Ontology-based building information modeling,2013.0,10.1061/9780784413029.060,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887400134&doi=10.1061%2f9780784413029.060&partnerID=40&md5=4f54c6e4d1f9a854d3000aaba5dda8e4,"The World Wide Web has provided a vast distributed information space that is primarily designed for human consumption. The enmeshment of the Web and various business processes has made it imperative to define business information in a format that facilitates machine-to-machine exchange and automated processing. The construction industry is not an exception; construction business processes depend on a diverse set of information sources. For efficient processing of the construction business information, it is necessary to publish the information in a format that allows computer applications to easily discover, query and share the information. Currently, the standard for representing, accessing, and sharing a building model is the Industry Foundation Classes (IFCs) data model. Several researchers have investigated the limitations of IFCs data model for interoperability among heterogeneous software applications. This paper presents the results of an on-going research on an ontology-based approach to building information modeling to facilitate information exchange among different knowledge domain applications. The approach developed in this study is based on a shared building ontology that models building domain element types and element relationships. The information systems to be integrated should be modeled using the shared ontology; each knowledge domain adds its own element properties to the shared building ontology. SWRL rules are used for mapping element properties from one domain to another. An example demonstrates how the developed approach can facilitate project information sharing between design and estimating domains. © 2013 American Society of Civil Engineers.",,Application programs; Architectural design; Construction industry; Information systems; Information theory; Knowledge management; Ontology; Query processing; Building Information Model - BIM; Business information; Construction business; Distributed information; Heterogeneous software applications; Industry Foundation Classes - IFC; Information exchanges; Project informations; Information dissemination,Conference Paper,,,,,,,,2,Understanding of developing and connecting ontologies. 
45,325,227,"Park M., Lee K.-W., Lee H.-S., Jiayi P., Yu J.",Ontology-based construction knowledge retrieval system,2013.0,10.1007/s12205-013-1155-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886292123&doi=10.1007%2fs12205-013-1155-6&partnerID=40&md5=10cd78de4b0f1b18ecac5afd92a1f213,"Managing knowledge effectively is critical to the competitive power of a company. Knowledge is used as an important resource in many industrial areas, and so it follows that there is a growing interest in knowledge management within the construction industry. Yet because of the unique characteristics of construction knowledge created during projects, there are limitations to its capture and reuse. The knowledge produced during construction projects is project-oriented, experiential, and context specific; due to these characteristics, the reuse of knowledge is difficult. In this research, research team focus on capturing and identifying the characteristics of construction knowledge, then propose a method for applying these characteristics to the development of an ontology-based construction knowledge retrieval system. Moreover, research team developed a system prototype that applies ontology in suggesting related search words during the search process and validated the effectiveness of the prototype in terms of precision and recall rate. By applying the prototype, the precision and recall rate was improved by approximately 10∼30%. © 2013 Korean Society of Civil Engineers and Springer-Verlag Berlin Heidelberg.",construction knowledge; information technology; knowledge retrieval; ontology,Competitive power; Construction knowledge; Construction projects; Industrial area; Knowledge retrieval; Precision and recall; Research teams; System prototype; Construction industry; Information retrieval; Information technology; Knowledge management; Research; Ontology,Article,,,,,,,,1,"Building an ontology for construction industry - and construction knowledge retrieval system - might be used as a method to ""capture"" the knowledge of Zirkular?"
